rgn_name,rgn_id,Year,perc_closed
Connecticut,5,2005,5.2
Connecticut,5,2006,5.641025641025641
Connecticut,5,2007,3.4193548387096775
Connecticut,5,2008,4.565217391304348
Connecticut,5,2009,3.6000000000000005
Connecticut,5,2010,3.7567567567567566
Connecticut,5,2011,7.8431372549019605
Connecticut,5,2012,4.166666666666666
Connecticut,5,2013,2.864864864864865
Connecticut,5,2014,3.5454545454545454
Connecticut,5,2015,2.5517241379310343
Connecticut,5,2016,5.125
Connecticut,5,2017,4.8125
Maine,6,2005,6.75
Maine,6,2006,7.411764705882352
Maine,6,2007,6.241379310344827
Maine,6,2008,6.65
Maine,6,2009,6.393939393939394
Maine,6,2010,7.481481481481482
Maine,6,2011,6.277777777777778
Maine,6,2012,4.6190476190476195
Maine,6,2013,10.185185185185187
Maine,6,2014,6.735294117647059
Maine,6,2015,6.702702702702703
Maine,6,2016,3.5142857142857142
Maine,6,2017,2.9375
Massachusetts-North,7,2005,4.71830985915493
Massachusetts-North,7,2006,10.5
Massachusetts-North,7,2007,4.72463768115942
Massachusetts-North,7,2008,6.223684210526316
Massachusetts-North,7,2009,6.566371681415929
Massachusetts-North,7,2010,6.290697674418605
Massachusetts-North,7,2011,7.056179775280899
Massachusetts-North,7,2012,6.3
Massachusetts-North,7,2013,6.734939759036145
Massachusetts-North,7,2014,6.306122448979592
Massachusetts-North,7,2015,10.642857142857142
Massachusetts-North,7,2016,6.800000000000001
Massachusetts-North,7,2017,5.906976744186046
Massachusetts-South,8,2005,2.1999999999999997
Massachusetts-South,8,2006,6.225806451612903
Massachusetts-South,8,2007,3.225806451612903
Massachusetts-South,8,2008,2.5
Massachusetts-South,8,2009,4.081632653061225
Massachusetts-South,8,2010,4.206896551724138
Massachusetts-South,8,2011,3.9375
Massachusetts-South,8,2012,4.352941176470589
Massachusetts-South,8,2013,3.763888888888889
Massachusetts-South,8,2014,5.035714285714286
Massachusetts-South,8,2015,5.083333333333333
Massachusetts-South,8,2016,3.7647058823529407
Massachusetts-South,8,2017,4.3125
New Hampshire,9,2005,1
New Hampshire,9,2006,4.6
New Hampshire,9,2007,2
New Hampshire,9,2008,3.25
New Hampshire,9,2009,2.4
New Hampshire,9,2010,3.2
New Hampshire,9,2011,3.0000000000000004
New Hampshire,9,2012,2
New Hampshire,9,2013,4.500000000000001
New Hampshire,9,2014,3.75
New Hampshire,9,2015,2
New Hampshire,9,2016,6
New Hampshire,9,2017,3.0000000000000004
New York,10,2005,7.717647058823529
New York,10,2006,11.926605504587156
New York,10,2007,10.85593220338983
New York,10,2008,10.859649122807017
New York,10,2009,12.01639344262295
New York,10,2010,6
New York,10,2011,8.921787709497208
New York,10,2012,12.733870967741936
New York,10,2013,10.254237288135593
New York,10,2014,11.076271186440678
New York,10,2015,12.347457627118644
New York,10,2016,8.82051282051282
New York,10,2017,16.045801526717558
Rhode Island,11,2005,8.799999999999999
Rhode Island,11,2006,36.199999999999996
Rhode Island,11,2007,4.571428571428571
Rhode Island,11,2008,6.190476190476191
Rhode Island,11,2009,10.555555555555555
Rhode Island,11,2010,3.8571428571428577
Rhode Island,11,2011,4.333333333333334
Rhode Island,11,2012,2.8461538461538463
Rhode Island,11,2013,6.733333333333334
Rhode Island,11,2014,2.6875
Rhode Island,11,2015,3.833333333333333
Rhode Island,11,2016,3.571428571428571
Rhode Island,11,2017,6.2
