Layer,Description,Target,Source
Jobs in Tourism Sectors,National Ocean Economics Program (NOEP) Ocean Economy data for number of jobs in tourism sectors that directly or indirectly depend upon the ocean,Annual job growth in ocean related sectors is equal to or greater than the national annual average job growth,"<a href=""http://www.oceaneconomics.org/"">National Ocean Economics Program</a>"
Beach Closures,Number of beach day closures as recorded by the EPA Beach Closure Data,"At least 100 days free of any beach closures, representing the average length of the swimming season for the region","<a href=""https://watersgeo.epa.gov/beacon2/"">EPA BEACON 2.0</a>"
Coastal Access,Coastal points identified for human use by NOAA's Environmental Sensitivity Index,At least one access point every mile of coastline,"<a href=""https://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html"">NOAA Office of Response & Restoration</a>"
