point,min,state
8,0.028597548513459844,RI
9,0.028597548513459844,RI
10,0.43633596936909314,RI
13,0.4076775551884506,RI
14,0.4076775551884506,RI
18,0.014433293082759539,RI
19,0.014433293082759539,RI
21,0.955280384100772,RI
22,0.955280384100772,RI
23,0.3318826123929658,RI
24,0.3318826123929658,RI
27,0.23464734046683305,RI
28,0.02454192542923602,RI
29,0.02454192542923602,RI
33,0.7413711829966302,RI
34,0.7413711829966302,RI
37,0.6306777722922174,RI
38,0.20385715712599434,RI
39,0.02838665288961099,RI
40,0.02838665288961099,RI
41,0.03362320945395247,RI
42,0.03362320945395247,RI
43,0.26171079670139,RI
44,0.20084241258768487,RI
45,0.16852349857981816,RI
46,0.16852349857981816,RI
47,0.5607730915216679,RI
48,0.5607730915216679,RI
49,0.2755761322060572,RI
50,0.2755761322060572,RI
52,0.03687830387243155,RI
53,0.03687830387243155,RI
54,0.8581665437694488,RI
58,0.06159401012572363,RI
59,0.06159401012572363,RI
60,0.06865059214366727,RI
61,0.22016398791973046,RI
64,0.03333469511672764,RI
65,0.02252420014959298,RI
66,0.02252420014959298,RI
67,0.014874794148973755,RI
68,0.014874794148973755,RI
69,0.25561590436439224,RI
70,0.26967193692820773,RI
71,0.27289918966846016,RI
72,0.37258567859105457,RI
73,0.007986587385071336,RI
74,0.007986587385071336,RI
75,0.39535953545751984,RI
76,0.39535953545751984,RI
83,0.5555739818871198,RI
84,0.5555739818871198,RI
87,0.38053997802099765,RI
88,0.38053997802099765,RI
89,0.9036424755368726,RI
90,0.9036424755368726,RI
94,0.044895973042341344,RI
95,0.044895973042341344,RI
96,0.6506263160389982,RI
97,0.6506263160389982,RI
98,0.017691867149440852,RI
99,0.017691867149440852,RI
101,0.10641739125293065,RI
102,0.10641739125293065,RI
103,0.5550748936832516,RI
109,0.016895221896004117,RI
110,0.016895221896004117,RI
111,0.05872674610675511,RI
113,0.1360843170090219,RI
114,0.1360843170090219,RI
117,0.09698930112385083,RI
118,0.013508730979284744,RI
119,0.013508730979284744,RI
120,0.12524973158822345,RI
121,0.12524973158822345,RI
123,0.070348325935097,RI
124,0.070348325935097,RI
125,0.026562580432574496,RI
126,0.026562580432574496,RI
127,0.040340920749357745,RI
128,0.022978021763815425,RI
129,0.022978021763815425,RI
130,0.42008883465281566,RI
131,0.42008883465281566,RI
133,0.18141522652815584,RI
134,0.062143165859664076,RI
135,0.062143165859664076,RI
136,0.04405427811930053,RI
137,0.04405427811930053,RI
138,0.09093053518674274,RI
139,0.32759363434549066,RI
140,0.4355021748457517,RI
141,0.4355021748457517,RI
144,0.16958150168152916,RI
145,0.16958150168152916,RI
146,0.36364416975277575,RI
153,0.9572309416537463,RI
154,0.24801584782288216,RI
155,0.10113468144100081,RI
156,0.10113468144100081,RI
157,0.13300370147083293,RI
158,0.3190910800784453,RI
159,0.43192095202894093,RI
160,0.13300370147083293,RI
161,0.14800358809410663,RI
162,0.14800358809410663,RI
163,0.13183294275246227,RI
164,0.13183294275246227,RI
165,0.4710512067137278,RI
166,0.07275611311370274,RI
167,0.07275611311370274,RI
168,0.06122154554051966,RI
169,0.06122154554051966,RI
173,0.17000250634031638,RI
174,0.17000250634031638,RI
175,0.6233075095367071,RI
176,0.07603700019361537,RI
177,0.07603700019361537,RI
178,0.12624362195590316,RI
180,0.03818466810951599,RI
181,0.03818466810951599,RI
182,0.05319941348619194,RI
183,0.05319941348619194,RI
184,0.05432272584179472,RI
191,0.7216660953191454,RI
192,0.7216660953191454,RI
193,0.472744105631432,RI
194,0.472744105631432,RI
195,0.6715260655358223,RI
196,0.6715260655358223,RI
198,0.0109096694570284,RI
199,0.6020585608467874,RI
200,0.6064699055885193,RI
201,0.0109096694570284,RI
202,0.37361789026861386,RI
203,0.02055893694196737,RI
204,0.02055893694196737,RI
205,0.05715918533347982,RI
206,0.02712008793760817,RI
207,0.3395613915871106,RI
208,0.3395613915871106,RI
209,0.4920512276195786,RI
210,0.4920512276195786,RI
211,0.6654294386967482,RI
212,0.747909089733991,RI
213,0.6969886448410724,RI
214,0.6969886448410724,RI
220,0.06738040941025114,RI
221,0.06738040941025114,RI
222,0.7527074308374219,RI
223,0.46054899480266287,RI
224,0.46054899480266287,RI
227,0.06260275310408715,RI
228,0.06260275310408715,RI
229,0.04648122542459733,RI
230,0.04648122542459733,RI
235,0.9427251828273001,RI
236,0.9427251828273001,RI
237,0.24946209604579353,RI
238,0.24946209604579353,RI
239,0.12427391747525957,RI
240,0.12427391747525957,RI
241,0.0774840520278106,RI
242,0.0774840520278106,RI
244,0.8367495371473036,RI
245,0.8367495371473036,RI
248,0.1148156334534917,RI
249,0.1148156334534917,RI
250,0.1442367574776656,RI
251,0.10845423779815548,RI
252,0.022089361683107076,RI
253,0.011834530491632245,RI
254,0.022089361683107076,RI
255,0.011834530491632245,RI
256,0.22524500602401168,RI
257,0.1691410660937231,RI
258,0.04774425040034276,RI
259,0.04774425040034276,RI
260,0.15505639372100033,RI
261,0.2645651951843427,RI
267,0.586075869797721,RI
268,0.586075869797721,RI
277,0.1792323557079148,RI
278,0.21324730831789032,RI
279,0.1792323557079148,RI
280,0.44302007757328793,RI
281,0.023958911952598843,RI
282,0.014909087735369904,RI
283,0.014909087735369904,RI
284,0.015378923669122137,RI
285,0.02933741588889299,RI
286,0.02933741588889299,RI
287,0.07485244716947197,RI
288,0.0771897599358861,RI
289,0.20640547130323458,RI
293,0.05974702678487582,RI
294,0.05974702678487582,RI
295,0.18924733467227298,RI
296,0.18924733467227298,RI
297,0.5737957484859332,RI
298,0.36419617047732683,RI
299,0.14546972365363725,RI
300,0.14546972365363725,RI
301,0.11504912337757557,RI
302,0.08952568994036937,RI
303,0.08952568994036937,RI
304,0.32501063803025093,RI
307,0.6924140885959278,RI
308,0.6924140885959278,RI
310,0.7355541021315791,RI
311,0.7355541021315791,RI
313,0.3696134214974279,RI
314,0.3696134214974279,RI
315,0.7009997394443802,RI
316,0.026861392620897498,RI
317,0.026861392620897498,RI
318,0.06748413683484003,RI
319,0.06748413683484003,RI
320,0.05736898268626356,RI
321,0.03841983341046161,RI
322,0.05736898268626356,RI
323,0.03841983341046161,RI
324,0.06946068701706185,RI
325,0.06946068701706185,RI
326,0.4340856526412979,RI
327,0.46335195095884596,RI
328,0.46335195095884596,RI
340,0.8542602456665589,RI
341,0.8542602456665589,RI
345,0.9390275270420978,RI
346,0.9390275270420978,RI
362,0.31895606624138956,RI
363,0.31895606624138956,RI
364,0.0686441409981465,RI
365,0.0686441409981465,RI
374,0.3647276108900807,RI
375,0.3647276108900807,RI
376,0.3724282563977378,RI
377,0.3724282563977378,RI
378,0.3767946117824358,RI
380,0.0699451852541605,RI
381,0.0699451852541605,RI
386,0.49480172475728673,RI
387,0.07781396738849411,RI
388,0.03978170910119612,RI
389,0.03978170910119612,RI
390,0.0565925723534098,RI
391,0.06776096441610224,RI
393,0.08390342711152482,RI
394,0.08390342711152482,RI
395,0.21010183802078258,RI
396,0.029013756904486945,RI
397,0.029013756904486945,RI
400,0.512546184701783,RI
401,0.512546184701783,RI
403,0.6228301790726556,RI
404,0.6228301790726556,RI
455,0.1256207702494336,RI
456,0.1256207702494336,RI
463,0.06126784626409855,RI
464,0.06126784626409855,RI
467,0.6441803882469893,RI
468,0.6441803882469893,RI
469,0.37345675412389434,RI
470,0.37345675412389434,RI
471,0.5547792290189834,RI
477,0.309696740375319,RI
478,0.2882455633756275,RI
479,0.21307291632395509,RI
480,0.2253078040889915,RI
481,0.1792127300659912,RI
482,0.1792127300659912,RI
484,0.2761313575700381,RI
485,0.2761313575700381,RI
486,0.3370761151364335,RI
487,0.8476921475515571,RI
488,0.8476921475515571,RI
489,0.308168687448948,RI
490,0.308168687448948,RI
492,0.14570150344931415,RI
493,0.14570150344931415,RI
496,0.04608687218910768,RI
497,0.1633357013133636,RI
498,0.04608687218910768,RI
499,0.11132792338385487,RI
500,0.05309994176635245,RI
501,0.031825276603144236,RI
502,0.031825276603144236,RI
505,0.1430545428744824,RI
506,0.1430545428744824,RI
507,0.07501617076032424,RI
508,0.01760194731812638,RI
509,0.01760194731812638,RI
510,0.1129449498117863,RI
511,0.042327168712355874,RI
512,0.042327168712355874,RI
513,0.04282666100148043,RI
514,0.27315219026566295,RI
515,0.05695641303380759,RI
516,0.04282666100148043,RI
517,0.0619206094378699,RI
518,0.05156363599163682,RI
519,0.03061565144592851,RI
520,0.03061565144592851,RI
521,0.4349132585040123,RI
522,0.36919585809065836,RI
523,0.36919585809065836,RI
526,0.06054745089704069,RI
527,0.1985265783566232,RI
528,0.06054745089704069,RI
531,0.03432393632497892,RI
532,0.03432393632497892,RI
535,0.26747564484683883,RI
536,0.1678224583144492,RI
537,0.1678224583144492,RI
540,0.4790917473243462,RI
541,0.2940427415771283,RI
542,0.9975927534823148,RI
543,0.2940427415771283,RI
544,0.09021738656713556,RI
545,0.07064088782740403,RI
546,0.07064088782740403,RI
547,0.12720594385666845,RI
548,0.09356973562731492,RI
549,0.07588673416088393,RI
550,0.08073457316343884,RI
551,0.07588673416088393,RI
553,0.305321921551141,RI
554,0.11282071699384812,RI
555,0.07401522191267403,RI
556,0.07401522191267403,RI
557,0.0734991161331687,RI
558,0.09261754693987738,RI
559,0.0935087875005002,RI
560,0.0734991161331687,RI
561,0.0935087875005002,RI
562,0.10346074205519672,RI
575,0.6378561506159701,RI
576,0.6378561506159701,RI
580,0.5281816885152313,RI
581,0.5281816885152313,RI
591,0.9545183332749841,RI
592,0.5493969162421654,RI
593,0.530492999253897,RI
594,0.530492999253897,RI
600,0.009340585109109905,RI
601,0.009340585109109905,RI
602,0.35284247884736325,RI
603,0.35284247884736325,RI
604,0.1032900388320959,RI
605,0.10933340370243048,RI
606,0.1032900388320959,RI
608,0.12770673414067735,RI
609,0.06232171169334886,RI
610,0.06232171169334886,RI
611,0.19294736850386043,RI
612,0.18509152274474627,RI
613,0.18509152274474627,RI
614,0.05172611945222188,RI
615,0.05172611945222188,RI
616,0.19518154161999707,RI
617,0.20464768840937933,RI
618,0.9938572440892479,RI
619,0.9511805106644703,RI
620,0.9511805106644703,RI
624,0.9023862444305777,RI
625,0.9023862444305777,RI
627,0.7516886807250005,RI
628,0.7516886807250005,RI
629,0.13766410351005753,RI
630,0.13766410351005753,RI
631,0.21201102221076387,RI
633,0.36914971544405545,RI
634,0.36914971544405545,RI
635,0.8234199501761372,RI
638,0.09401139977483426,RI
639,0.09401139977483426,RI
640,0.8643758768722662,RI
650,0.24577591264214915,RI
651,0.9316811820005021,RI
652,0.24577591264214915,RI
656,0.14713712794702782,RI
657,0.14713712794702782,RI
658,0.15415944422746053,RI
660,0.36965067717194494,RI
661,0.36965067717194494,RI
664,0.36246994242941516,RI
665,0.08747711240391727,RI
666,0.08747711240391727,RI
667,0.5627251477526418,RI
668,0.5627251477526418,RI
672,0.9319264604247717,RI
673,0.9359650224999262,RI
674,0.9319264604247717,RI
680,0.017661143669323275,RI
681,0.0709448984697918,RI
682,0.017661143669323275,RI
683,0.7051797687237529,RI
689,0.494895187326378,RI
690,0.494895187326378,RI
