point,min,state
1,0.5490713660048478,CT
2,0.5490713660048478,CT
5,0.39212572380377303,CT
6,0.15246988176072657,CT
7,0.15246988176072657,CT
10,0.31523439777992157,CT
11,0.31523439777992157,CT
12,0.0737801584102686,CT
13,0.0737801584102686,CT
16,0.05417446258612743,CT
17,0.05417446258612743,CT
18,0.3430567385986591,CT
19,0.3430567385986591,CT
23,0.2152012395810388,CT
24,0.2152012395810388,CT
25,0.5071123147925163,CT
26,0.5071123147925163,CT
31,0.5539022586421123,CT
32,0.5539022586421123,CT
35,0.40200330817700985,CT
36,0.40200330817700985,CT
37,0.8041555703951209,CT
44,0.9685379670415198,CT
45,0.9685379670415198,CT
46,0.371931615109928,CT
47,0.371931615109928,CT
48,0.4331041232757349,CT
49,0.26161254353237656,CT
50,0.26161254353237656,CT
63,0.16782536710469204,CT
64,0.16782536710469204,CT
65,0.13351303700087386,CT
66,0.13351303700087386,CT
74,0.9393038091886745,CT
75,0.9393038091886745,CT
80,0.8170833125742789,CT
81,0.8170833125742789,CT
82,0.9721284947772951,CT
87,0.8503760694984777,CT
88,0.2393313220996225,CT
89,0.13544319148601977,CT
90,0.13544319148601977,CT
92,0.995635623249319,CT
93,0.6638202993077769,CT
94,0.6638202993077769,CT
95,0.09018819203737338,CT
96,0.09018819203737338,CT
100,0.5910971950082929,CT
101,0.5910971950082929,CT
113,0.6603001689464751,CT
114,0.6603001689464751,CT
121,0.09699994379075023,CT
122,0.03712230741814281,CT
123,0.03712230741814281,CT
125,0.4415429285223757,CT
126,0.4415429285223757,CT
127,0.8671394523870446,CT
128,0.8671394523870446,CT
129,0.52182311267377,CT
130,0.52182311267377,CT
143,0.22380216705329534,CT
144,0.22380216705329534,CT
145,0.12615358614932146,CT
146,0.3012277356268274,CT
147,0.3255690167677282,CT
148,0.12615358614932146,CT
149,0.4851946731823885,CT
150,0.19173671369804515,CT
151,0.46737567414310555,CT
152,0.19173671369804515,CT
153,0.9557404424793061,CT
154,0.9557404424793061,CT
155,0.9655167336070615,CT
156,0.9655167336070615,CT
158,0.763743343621151,CT
159,0.763743343621151,CT
161,0.9669797204945192,CT
162,0.9669797204945192,CT
163,0.8349317626378635,CT
164,0.8349317626378635,CT
165,0.9055691927267625,CT
169,0.3590924176266155,CT
170,0.3590924176266155,CT
173,0.2296027273055483,CT
174,0.2296027273055483,CT
175,0.4942429903207942,CT
183,0.5951658452783363,CT
184,0.5951658452783363,CT
198,0.5745216943281921,CT
199,0.2617008464463685,CT
200,0.2617008464463685,CT
202,0.8473748389499318,CT
203,0.8473748389499318,CT
220,0.22409012536863274,CT
221,0.22409012536863274,CT
222,0.6214534200791161,CT
223,0.6214534200791161,CT
230,0.4611027050656469,CT
231,0.4611027050656469,CT
233,0.6080713269078866,CT
234,0.6080713269078866,CT
236,0.9143658423241945,CT
237,0.9143658423241945,CT
238,0.6166254188748144,CT
239,0.6166254188748144,CT
240,0.7779977684307782,CT
241,0.17274639387973226,CT
242,0.17274639387973226,CT
243,0.2055531593216306,CT
244,0.2055531593216306,CT
249,0.2777891734321888,CT
250,0.2777891734321888,CT
251,0.19025975849289828,CT
252,0.056109980354045436,CT
253,0.056109980354045436,CT
254,0.1568484509749681,CT
261,0.7776464608516107,CT
262,0.5790227058793228,CT
263,0.14717931814923935,CT
264,0.14717931814923935,CT
265,0.311458035986559,CT
268,0.6332164237817326,CT
269,0.6332164237817326,CT
272,0.2192559083435837,CT
273,0.3785480230081489,CT
274,0.2192559083435837,CT
275,0.3785480230081489,CT
276,0.14836173991526003,CT
277,0.14836173991526003,CT
278,0.17915902067422493,CT
280,0.8039511844574809,CT
281,0.8039511844574809,CT
284,0.6433645450001779,CT
285,0.6433645450001779,CT
289,0.20855150674235165,CT
290,0.20855150674235165,CT
291,0.39160962395692367,CT
292,0.39160962395692367,CT
293,0.9692183877345932,CT
294,0.7466814135134452,CT
295,0.7466814135134452,CT
298,0.7810568326800118,CT
299,0.7810568326800118,CT
304,0.9020987968656815,CT
305,0.9020987968656815,CT
310,0.31757657863260996,CT
311,0.31757657863260996,CT
312,0.6696136318385907,CT
313,0.6696136318385907,CT
315,0.41939980010110295,CT
316,0.43289784279475707,CT
317,0.23471279886315152,CT
318,0.17261726538278274,CT
319,0.17261726538278274,CT
320,0.2515517668591099,CT
321,0.23471279886315152,CT
323,0.20980397139549736,CT
324,0.20980397139549736,CT
325,0.14504563845120938,CT
326,0.14504563845120938,CT
327,0.3466401897106657,CT
330,0.06486797652625731,CT
331,0.06486797652625731,CT
332,0.5334722556838832,CT
333,0.05880038072262527,CT
334,0.05880038072262527,CT
335,0.2831112100167039,CT
340,0.025236914554481574,CT
341,0.025236914554481574,CT
343,0.34787960039252863,CT
344,0.34787960039252863,CT
