point,min,state
3,0.41759254872182294,NH
4,0.41759254872182294,NH
5,0.6211551035481465,NH
6,0.16965738665501628,NH
7,0.16965738665501628,NH
8,0.7222908005886722,NH
15,0.30382540918887746,NH
16,0.8676152763300968,NH
17,0.30382540918887746,NH
18,0,NH
19,0,NH
20,0.4271323047159217,NH
21,0.4271323047159217,NH
22,0.18204646652193254,NH
23,0.18204646652193254,NH
24,0.1278599272164035,NH
25,0.11200552342901772,NH
26,0.1278599272164035,NH
27,0.0832354301793906,NH
28,0.0832354301793906,NH
29,0.1435046170367818,NH
30,0.09357937795343664,NH
31,0.03333990119359131,NH
32,0.03333990119359131,NH
33,0.13937998305315816,NH
34,0.13937998305315816,NH
35,0.12431446324620923,NH
36,0,NH
37,0,NH
38,0,NH
39,0,NH
40,0,NH
41,0,NH
42,0,NH
43,0,NH
44,0,NH
45,0.018700570279282024,NH
46,0.03740703084469319,NH
47,0.03740703084469319,NH
48,0.10209535315862522,NH
49,0.17995117198743332,NH
50,0.17995117198743332,NH
51,0.10242060939435867,NH
52,0.08668902851169208,NH
53,0.0360361667237278,NH
54,0.10242060939435867,NH
55,0.0360361667237278,NH
56,0.084412703575948,NH
57,0.03643942661691386,NH
58,0.08099759520170265,NH
59,0.006183018628823177,NH
60,0.006183018628823177,NH
61,0.06768965212255595,NH
62,0.022464081702878835,NH
63,0.05098444370018812,NH
64,0.05098444370018812,NH
65,0.06768965212255595,NH
66,0.06313744290846131,NH
67,0.04438089956864851,NH
68,0.13390433504015853,NH
69,0.01434160282173599,NH
70,0.01434160282173599,NH
71,0.16391072328936057,NH
74,0.8282438434831871,NH
75,0.7818455950597718,NH
76,0.7818455950597718,NH
77,0.6190745762618151,NH
78,0.6280084971406431,NH
79,0.6190745762618151,NH
80,0.620746092379661,NH
81,0.620746092379661,NH
84,0.09305793560890485,NH
85,0.09305793560890485,NH
86,0.2736726184847268,NH
87,0.07702705402857672,NH
88,0.07702705402857672,NH
89,0.16721646995130449,NH
90,0.17598182212887772,NH
91,0.17598182212887772,NH
92,0.03935324090857207,NH
93,0.03935324090857207,NH
94,0.30446057667568877,NH
95,0.30446057667568877,NH
97,0.04822327142259952,NH
98,0.04822327142259952,NH
99,0.07276549945946358,NH
100,0.07276549945946358,NH
101,0.8563128592110025,NH
102,0.03108339640931956,NH
103,0.03108339640931956,NH
104,0.30698458627062775,NH
105,0.30698458627062775,NH
106,0.2380962307170499,NH
107,0.2380962307170499,NH
108,0.6169993738129077,NH
109,0.2986747297854892,NH
110,0.20039707347129623,NH
111,0.20039707347129623,NH
116,0.22865574193829752,NH
117,0.22865574193829752,NH
118,0.1143060253929872,NH
119,0.1143060253929872,NH
120,0,NH
121,0,NH
122,0.13806196326050363,NH
123,0.19489061584717085,NH
124,0.6887627850662532,NH
125,0.08325526480809198,NH
126,0.29417781214717,NH
127,0.08325526480809198,NH
128,0.12425663744862905,NH
129,0.12425663744862905,NH
130,0.12932694084714735,NH
131,0.33141293163485186,NH
132,0.16380324703420404,NH
133,0.037498866504489616,NH
134,0.12767851675126046,NH
135,0.037498866504489616,NH
136,0.06428907530464037,NH
137,0.068263046757135,NH
138,0.10929114698407384,NH
142,0.9864112197595077,NH
143,0.6411844654571441,NH
144,0.6411844654571441,NH
146,0.8133326907760567,NH
147,0.8133326907760567,NH
173,0.5527133804247798,NH
174,0.5527133804247798,NH
177,0.5959526013304228,NH
178,0.5959526013304228,NH
179,0.43246980280332364,NH
180,0.21667849513896126,NH
181,0.194890354989229,NH
182,0.1787516233083312,NH
183,0.1787516233083312,NH
185,0.9763863996669444,NH
186,0.9763863996669444,NH
192,0.7176765917209778,NH
193,0.7176765917209778,NH
