"","year","compliance_score","enforcement_score","rgn_id","rgn_name"
"1",2005,NA,0.818273891340519,"1","Offshore"
"2",2005,NA,0.818273891340519,"2","Georges Bank"
"3",2005,NA,0.818273891340519,"3","Gulf of Maine"
"4",2005,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"5",2005,NA,0.818273891340519,"5","Connecticut"
"6",2005,NA,0.818273891340519,"6","Maine"
"7",2005,NA,0.818273891340519,"7","Massachusetts-North"
"8",2005,NA,0.818273891340519,"8","Massachusetts-South"
"9",2005,NA,0.818273891340519,"9","New Hampshire"
"10",2005,NA,0.818273891340519,"10","New York"
"11",2005,NA,0.818273891340519,"11","Rhode Island"
"12",2006,NA,0.818273891340519,"1","Offshore"
"13",2006,NA,0.818273891340519,"2","Georges Bank"
"14",2006,NA,0.818273891340519,"3","Gulf of Maine"
"15",2006,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"16",2006,NA,0.818273891340519,"5","Connecticut"
"17",2006,NA,0.818273891340519,"6","Maine"
"18",2006,NA,0.818273891340519,"7","Massachusetts-North"
"19",2006,NA,0.818273891340519,"8","Massachusetts-South"
"20",2006,NA,0.818273891340519,"9","New Hampshire"
"21",2006,NA,0.818273891340519,"10","New York"
"22",2006,NA,0.818273891340519,"11","Rhode Island"
"23",2007,NA,0.818273891340519,"1","Offshore"
"24",2007,NA,0.818273891340519,"2","Georges Bank"
"25",2007,NA,0.818273891340519,"3","Gulf of Maine"
"26",2007,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"27",2007,NA,0.818273891340519,"5","Connecticut"
"28",2007,NA,0.818273891340519,"6","Maine"
"29",2007,NA,0.818273891340519,"7","Massachusetts-North"
"30",2007,NA,0.818273891340519,"8","Massachusetts-South"
"31",2007,NA,0.818273891340519,"9","New Hampshire"
"32",2007,NA,0.818273891340519,"10","New York"
"33",2007,NA,0.818273891340519,"11","Rhode Island"
"34",2008,NA,0.818273891340519,"1","Offshore"
"35",2008,NA,0.818273891340519,"2","Georges Bank"
"36",2008,NA,0.818273891340519,"3","Gulf of Maine"
"37",2008,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"38",2008,NA,0.818273891340519,"5","Connecticut"
"39",2008,NA,0.818273891340519,"6","Maine"
"40",2008,NA,0.818273891340519,"7","Massachusetts-North"
"41",2008,NA,0.818273891340519,"8","Massachusetts-South"
"42",2008,NA,0.818273891340519,"9","New Hampshire"
"43",2008,NA,0.818273891340519,"10","New York"
"44",2008,NA,0.818273891340519,"11","Rhode Island"
"45",2009,NA,0.818273891340519,"1","Offshore"
"46",2009,NA,0.818273891340519,"2","Georges Bank"
"47",2009,NA,0.818273891340519,"3","Gulf of Maine"
"48",2009,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"49",2009,NA,0.818273891340519,"5","Connecticut"
"50",2009,NA,0.818273891340519,"6","Maine"
"51",2009,NA,0.818273891340519,"7","Massachusetts-North"
"52",2009,NA,0.818273891340519,"8","Massachusetts-South"
"53",2009,NA,0.818273891340519,"9","New Hampshire"
"54",2009,NA,0.818273891340519,"10","New York"
"55",2009,NA,0.818273891340519,"11","Rhode Island"
"56",2010,NA,0.818273891340519,"1","Offshore"
"57",2010,NA,0.818273891340519,"2","Georges Bank"
"58",2010,NA,0.818273891340519,"3","Gulf of Maine"
"59",2010,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"60",2010,NA,0.818273891340519,"5","Connecticut"
"61",2010,NA,0.818273891340519,"6","Maine"
"62",2010,NA,0.818273891340519,"7","Massachusetts-North"
"63",2010,NA,0.818273891340519,"8","Massachusetts-South"
"64",2010,NA,0.818273891340519,"9","New Hampshire"
"65",2010,NA,0.818273891340519,"10","New York"
"66",2010,NA,0.818273891340519,"11","Rhode Island"
"67",2011,NA,0.818273891340519,"1","Offshore"
"68",2011,NA,0.818273891340519,"2","Georges Bank"
"69",2011,NA,0.818273891340519,"3","Gulf of Maine"
"70",2011,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"71",2011,NA,0.818273891340519,"5","Connecticut"
"72",2011,NA,0.818273891340519,"6","Maine"
"73",2011,NA,0.818273891340519,"7","Massachusetts-North"
"74",2011,NA,0.818273891340519,"8","Massachusetts-South"
"75",2011,NA,0.818273891340519,"9","New Hampshire"
"76",2011,NA,0.818273891340519,"10","New York"
"77",2011,NA,0.818273891340519,"11","Rhode Island"
"78",2012,NA,0.818273891340519,"1","Offshore"
"79",2012,NA,0.818273891340519,"2","Georges Bank"
"80",2012,NA,0.818273891340519,"3","Gulf of Maine"
"81",2012,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"82",2012,NA,0.818273891340519,"5","Connecticut"
"83",2012,NA,0.818273891340519,"6","Maine"
"84",2012,NA,0.818273891340519,"7","Massachusetts-North"
"85",2012,NA,0.818273891340519,"8","Massachusetts-South"
"86",2012,NA,0.818273891340519,"9","New Hampshire"
"87",2012,NA,0.818273891340519,"10","New York"
"88",2012,NA,0.818273891340519,"11","Rhode Island"
"89",2013,NA,0.818273891340519,"1","Offshore"
"90",2013,NA,0.818273891340519,"2","Georges Bank"
"91",2013,NA,0.818273891340519,"3","Gulf of Maine"
"92",2013,NA,0.818273891340519,"4","Mid-Atlantic Bight"
"93",2013,NA,0.818273891340519,"5","Connecticut"
"94",2013,NA,0.818273891340519,"6","Maine"
"95",2013,NA,0.818273891340519,"7","Massachusetts-North"
"96",2013,NA,0.818273891340519,"8","Massachusetts-South"
"97",2013,NA,0.818273891340519,"9","New Hampshire"
"98",2013,NA,0.818273891340519,"10","New York"
