"","species","rgn_id","rgn_name"
"152","crab, species not specified",2,"Georges Bank"
"153","crab, species not specified",3,"Gulf of Maine"
"154","crab, species not specified",4,"Mid-Atlantic Bight"
"155","crab, species not specified",5,"Connecticut"
"156","crab, species not specified",6,"Maine"
"157","crab, species not specified",7,"Massachusetts-Gulf of Maine"
"158","crab, species not specified",8,"Massachusetts-Virginian"
"159","crab, species not specified",9,"New Hampshire"
"160","crab, species not specified",10,"New York"
"161","crab, species not specified",11,"Rhode Island"
"162","crab, spider",1,"Offshore"
"163","crab, spider",2,"Georges Bank"
"164","crab, spider",3,"Gulf of Maine"
"165","crab, spider",4,"Mid-Atlantic Bight"
"166","crab, spider",5,"Connecticut"
"167","crab, spider",6,"Maine"
"168","crab, spider",7,"Massachusetts-Gulf of Maine"
"169","crab, spider",8,"Massachusetts-Virginian"
"170","crab, spider",9,"New Hampshire"
"171","crab, spider",10,"New York"
"172","crab, spider",11,"Rhode Island"
"173","crevalle",4,"Mid-Atlantic Bight"
"174","crevalle",5,"Connecticut"
"175","crevalle",10,"New York"
"176","crevalle",11,"Rhode Island"
"177","croaker, atlantic",1,"Offshore"
"178","croaker, atlantic",4,"Mid-Atlantic Bight"
"179","croaker, atlantic",5,"Connecticut"
"180","croaker, atlantic",8,"Massachusetts-Virginian"
"181","croaker, atlantic",10,"New York"
"182","croaker, atlantic",11,"Rhode Island"
"183","cunner",1,"Offshore"
"184","cunner",2,"Georges Bank"
"185","cunner",3,"Gulf of Maine"
"186","cunner",4,"Mid-Atlantic Bight"
"187","cunner",5,"Connecticut"
"188","cunner",6,"Maine"
"189","cunner",7,"Massachusetts-Gulf of Maine"
"190","cunner",8,"Massachusetts-Virginian"
"191","cunner",9,"New Hampshire"
"192","cunner",10,"New York"
"193","cunner",11,"Rhode Island"
"194","cusk",1,"Offshore"
"195","cusk",2,"Georges Bank"
"196","cusk",3,"Gulf of Maine"
"197","cusk",4,"Mid-Atlantic Bight"
"198","cusk",6,"Maine"
"199","cusk",7,"Massachusetts-Gulf of Maine"
"200","cusk",8,"Massachusetts-Virginian"
"201","cusk",9,"New Hampshire"
"202","cusk",11,"Rhode Island"
"203","dogfish, chain",1,"Offshore"
"204","dogfish, chain",2,"Georges Bank"
"205","dogfish, chain",4,"Mid-Atlantic Bight"
"206","dogfish, chain",8,"Massachusetts-Virginian"
"207","dogfish, smooth",1,"Offshore"
"208","dogfish, smooth",2,"Georges Bank"
"209","dogfish, smooth",3,"Gulf of Maine"
"210","dogfish, smooth",4,"Mid-Atlantic Bight"
"211","dogfish, smooth",5,"Connecticut"
"212","dogfish, smooth",7,"Massachusetts-Gulf of Maine"
"213","dogfish, smooth",8,"Massachusetts-Virginian"
"214","dogfish, smooth",10,"New York"
"215","dogfish, smooth",11,"Rhode Island"
"216","dogfish, species not specified",2,"Georges Bank"
"217","dogfish, species not specified",3,"Gulf of Maine"
"218","dogfish, species not specified",6,"Maine"
"219","dogfish, species not specified",7,"Massachusetts-Gulf of Maine"
"220","dogfish, species not specified",8,"Massachusetts-Virginian"
"221","dogfish, species not specified",9,"New Hampshire"
"222","dogfish, spiny",1,"Offshore"
"223","dogfish, spiny",2,"Georges Bank"
"224","dogfish, spiny",3,"Gulf of Maine"
"225","dogfish, spiny",4,"Mid-Atlantic Bight"
"226","dogfish, spiny",5,"Connecticut"
"227","dogfish, spiny",6,"Maine"
"228","dogfish, spiny",7,"Massachusetts-Gulf of Maine"
"229","dogfish, spiny",8,"Massachusetts-Virginian"
"230","dogfish, spiny",9,"New Hampshire"
"231","dogfish, spiny",10,"New York"
"232","dogfish, spiny",11,"Rhode Island"
"233","dolphin fish / mahi-mahi",1,"Offshore"
"234","dolphin fish / mahi-mahi",2,"Georges Bank"
"235","dolphin fish / mahi-mahi",3,"Gulf of Maine"
"236","dolphin fish / mahi-mahi",4,"Mid-Atlantic Bight"
"237","dolphin fish / mahi-mahi",7,"Massachusetts-Gulf of Maine"
"238","dolphin fish / mahi-mahi",8,"Massachusetts-Virginian"
"239","drum, black",4,"Mid-Atlantic Bight"
"240","drum, black",5,"Connecticut"
"241","drum, black",10,"New York"
"242","drum, black",11,"Rhode Island"
"243","eel, american",1,"Offshore"
"244","eel, american",2,"Georges Bank"
"245","eel, american",4,"Mid-Atlantic Bight"
"246","eel, american",5,"Connecticut"
"247","eel, american",8,"Massachusetts-Virginian"
"248","eel, american",10,"New York"
"249","eel, american",11,"Rhode Island"
"250","eel, conger",1,"Offshore"
"251","eel, conger",2,"Georges Bank"
"252","eel, conger",4,"Mid-Atlantic Bight"
"253","eel, conger",5,"Connecticut"
"254","eel, conger",8,"Massachusetts-Virginian"
"255","eel, conger",10,"New York"
"256","eel, conger",11,"Rhode Island"
"257","eel, species not specified",1,"Offshore"
"258","eel, species not specified",2,"Georges Bank"
"259","eel, species not specified",4,"Mid-Atlantic Bight"
"260","eel, species not specified",5,"Connecticut"
"261","eel, species not specified",8,"Massachusetts-Virginian"
"262","eel, species not specified",10,"New York"
"263","eel, species not specified",11,"Rhode Island"
"264","flounder, american plaice /dab",1,"Offshore"
"265","flounder, american plaice /dab",2,"Georges Bank"
"266","flounder, american plaice /dab",3,"Gulf of Maine"
"267","flounder, american plaice /dab",4,"Mid-Atlantic Bight"
"268","flounder, american plaice /dab",5,"Connecticut"
"269","flounder, american plaice /dab",6,"Maine"
"270","flounder, american plaice /dab",7,"Massachusetts-Gulf of Maine"
"271","flounder, american plaice /dab",8,"Massachusetts-Virginian"
"272","flounder, american plaice /dab",9,"New Hampshire"
"273","flounder, american plaice /dab",10,"New York"
"274","flounder, american plaice /dab",11,"Rhode Island"
"275","flounder, fourspot",1,"Offshore"
"276","flounder, fourspot",2,"Georges Bank"
"277","flounder, fourspot",3,"Gulf of Maine"
"278","flounder, fourspot",4,"Mid-Atlantic Bight"
"279","flounder, fourspot",5,"Connecticut"
"280","flounder, fourspot",6,"Maine"
"281","flounder, fourspot",7,"Massachusetts-Gulf of Maine"
"282","flounder, fourspot",8,"Massachusetts-Virginian"
"283","flounder, fourspot",9,"New Hampshire"
"284","flounder, fourspot",10,"New York"
"285","flounder, fourspot",11,"Rhode Island"
"286","flounder, sand-dab / windowpane / brill",1,"Offshore"
"287","flounder, sand-dab / windowpane / brill",2,"Georges Bank"
"288","flounder, sand-dab / windowpane / brill",4,"Mid-Atlantic Bight"
"289","flounder, sand-dab / windowpane / brill",5,"Connecticut"
"290","flounder, sand-dab / windowpane / brill",8,"Massachusetts-Virginian"
"291","flounder, sand-dab / windowpane / brill",10,"New York"
"292","flounder, sand-dab / windowpane / brill",11,"Rhode Island"
"293","flounder, sand-dab / windowpane / brill",3,"Gulf of Maine"
"294","flounder, sand-dab / windowpane / brill",6,"Maine"
"295","flounder, sand-dab / windowpane / brill",7,"Massachusetts-Gulf of Maine"
"296","flounder, sand-dab / windowpane / brill",9,"New Hampshire"
"297","flounder, southern",2,"Georges Bank"
"298","flounder, southern",3,"Gulf of Maine"
"299","flounder, southern",7,"Massachusetts-Gulf of Maine"
"300","flounder, southern",8,"Massachusetts-Virginian"
"301","flounder, summer / fluke",1,"Offshore"
"302","flounder, summer / fluke",2,"Georges Bank"
"303","flounder, summer / fluke",3,"Gulf of Maine"
"304","flounder, summer / fluke",4,"Mid-Atlantic Bight"
"305","flounder, summer / fluke",5,"Connecticut"
"306","flounder, summer / fluke",6,"Maine"
"307","flounder, summer / fluke",7,"Massachusetts-Gulf of Maine"
"308","flounder, summer / fluke",8,"Massachusetts-Virginian"
"309","flounder, summer / fluke",9,"New Hampshire"
"310","flounder, summer / fluke",10,"New York"
"311","flounder, summer / fluke",11,"Rhode Island"
"312","flounder, winter / blackback",1,"Offshore"
"313","flounder, winter / blackback",2,"Georges Bank"
"314","flounder, winter / blackback",3,"Gulf of Maine"
"315","flounder, winter / blackback",6,"Maine"
"316","flounder, winter / blackback",7,"Massachusetts-Gulf of Maine"
"317","flounder, winter / blackback",9,"New Hampshire"
"318","flounder, winter / blackback",4,"Mid-Atlantic Bight"
"319","flounder, winter / blackback",5,"Connecticut"
"320","flounder, winter / blackback",8,"Massachusetts-Virginian"
"321","flounder, winter / blackback",10,"New York"
"322","flounder, winter / blackback",11,"Rhode Island"
"323","flounder, witch / gray sole",1,"Offshore"
"324","flounder, witch / gray sole",2,"Georges Bank"
"325","flounder, witch / gray sole",3,"Gulf of Maine"
"326","flounder, witch / gray sole",4,"Mid-Atlantic Bight"
"327","flounder, witch / gray sole",5,"Connecticut"
"328","flounder, witch / gray sole",6,"Maine"
"329","flounder, witch / gray sole",7,"Massachusetts-Gulf of Maine"
"330","flounder, witch / gray sole",8,"Massachusetts-Virginian"
"331","flounder, witch / gray sole",9,"New Hampshire"
"332","flounder, witch / gray sole",10,"New York"
"333","flounder, witch / gray sole",11,"Rhode Island"
"334","flounder, yellowtail",2,"Georges Bank"
"335","flounder, yellowtail",3,"Gulf of Maine"
"336","flounder, yellowtail",6,"Maine"
"337","flounder, yellowtail",7,"Massachusetts-Gulf of Maine"
"338","flounder, yellowtail",8,"Massachusetts-Virginian"
"339","flounder, yellowtail",9,"New Hampshire"
"340","flounder, yellowtail",1,"Offshore"
"341","flounder, yellowtail",4,"Mid-Atlantic Bight"
"342","flounder, yellowtail",5,"Connecticut"
"343","flounder, yellowtail",10,"New York"
"344","flounder, yellowtail",11,"Rhode Island"
"345","flounder,not specified",1,"Offshore"
"346","flounder,not specified",2,"Georges Bank"
"347","flounder,not specified",3,"Gulf of Maine"
"348","flounder,not specified",4,"Mid-Atlantic Bight"
"349","flounder,not specified",5,"Connecticut"
"350","flounder,not specified",6,"Maine"
"351","flounder,not specified",7,"Massachusetts-Gulf of Maine"
"352","flounder,not specified",8,"Massachusetts-Virginian"
"353","flounder,not specified",9,"New Hampshire"
"354","flounder,not specified",10,"New York"
"355","flounder,not specified",11,"Rhode Island"
"356","haddock",1,"Offshore"
"357","haddock",2,"Georges Bank"
"358","haddock",3,"Gulf of Maine"
"359","haddock",4,"Mid-Atlantic Bight"
"360","haddock",7,"Massachusetts-Gulf of Maine"
"361","haddock",8,"Massachusetts-Virginian"
"362","haddock",10,"New York"
"363","haddock",11,"Rhode Island"
"364","haddock",6,"Maine"
"365","haddock",9,"New Hampshire"
"366","hagfish",2,"Georges Bank"
"367","hagfish",3,"Gulf of Maine"
"368","hagfish",6,"Maine"
"369","hagfish",7,"Massachusetts-Gulf of Maine"
"370","hagfish",8,"Massachusetts-Virginian"
"371","hagfish",9,"New Hampshire"
"372","hake, red / ling",2,"Georges Bank"
"373","hake, red / ling",3,"Gulf of Maine"
"374","hake, red / ling",6,"Maine"
"375","hake, red / ling",7,"Massachusetts-Gulf of Maine"
"376","hake, red / ling",8,"Massachusetts-Virginian"
"377","hake, red / ling",9,"New Hampshire"
"378","hake, red / ling",1,"Offshore"
"379","hake, red / ling",4,"Mid-Atlantic Bight"
"380","hake, red / ling",5,"Connecticut"
"381","hake, red / ling",10,"New York"
"382","hake, red / ling",11,"Rhode Island"
"383","hake, silver / whiting",2,"Georges Bank"
"384","hake, silver / whiting",3,"Gulf of Maine"
"385","hake, silver / whiting",6,"Maine"
"386","hake, silver / whiting",7,"Massachusetts-Gulf of Maine"
"387","hake, silver / whiting",8,"Massachusetts-Virginian"
"388","hake, silver / whiting",9,"New Hampshire"
"389","hake, silver / whiting",1,"Offshore"
"390","hake, silver / whiting",4,"Mid-Atlantic Bight"
"391","hake, silver / whiting",5,"Connecticut"
"392","hake, silver / whiting",10,"New York"
"393","hake, silver / whiting",11,"Rhode Island"
"394","hake, species not specified",1,"Offshore"
"395","hake, species not specified",2,"Georges Bank"
"396","hake, species not specified",3,"Gulf of Maine"
"397","hake, species not specified",4,"Mid-Atlantic Bight"
"398","hake, species not specified",6,"Maine"
"399","hake, species not specified",7,"Massachusetts-Gulf of Maine"
"400","hake, species not specified",8,"Massachusetts-Virginian"
"401","hake, species not specified",9,"New Hampshire"
"402","hake, species not specified",10,"New York"
"403","hake, species not specified",11,"Rhode Island"
"404","hake, white",1,"Offshore"
"405","hake, white",2,"Georges Bank"
"406","hake, white",3,"Gulf of Maine"
"407","hake, white",4,"Mid-Atlantic Bight"
"408","hake, white",5,"Connecticut"
"409","hake, white",6,"Maine"
"410","hake, white",7,"Massachusetts-Gulf of Maine"
"411","hake, white",8,"Massachusetts-Virginian"
"412","hake, white",9,"New Hampshire"
"413","hake, white",10,"New York"
"414","hake, white",11,"Rhode Island"
"415","hake,spotted",1,"Offshore"
"416","hake,spotted",2,"Georges Bank"
"417","hake,spotted",4,"Mid-Atlantic Bight"
"418","hake,spotted",8,"Massachusetts-Virginian"
"419","hake,spotted",10,"New York"
"420","halibut, atlantic",1,"Offshore"
"421","halibut, atlantic",2,"Georges Bank"
"422","halibut, atlantic",3,"Gulf of Maine"
"423","halibut, atlantic",4,"Mid-Atlantic Bight"
"424","halibut, atlantic",6,"Maine"
"425","halibut, atlantic",7,"Massachusetts-Gulf of Maine"
"426","halibut, atlantic",8,"Massachusetts-Virginian"
"427","halibut, atlantic",9,"New Hampshire"
"428","halibut, atlantic",11,"Rhode Island"
"429","halibut, greenland",3,"Gulf of Maine"
"430","halibut, greenland",6,"Maine"
"431","halibut, greenland",7,"Massachusetts-Gulf of Maine"
"432","halibut, greenland",9,"New Hampshire"
"433","hard quahog",2,"Georges Bank"
"434","hard quahog",4,"Mid-Atlantic Bight"
"435","hard quahog",8,"Massachusetts-Virginian"
"436","hard quahog",11,"Rhode Island"
"437","herring, atlantic",1,"Offshore"
"438","herring, atlantic",2,"Georges Bank"
"439","herring, atlantic",3,"Gulf of Maine"
"440","herring, atlantic",4,"Mid-Atlantic Bight"
"441","herring, atlantic",5,"Connecticut"
"442","herring, atlantic",6,"Maine"
"443","herring, atlantic",7,"Massachusetts-Gulf of Maine"
"444","herring, atlantic",8,"Massachusetts-Virginian"
"445","herring, atlantic",9,"New Hampshire"
"446","herring, atlantic",10,"New York"
"447","herring, atlantic",11,"Rhode Island"
"448","herring, blue back",1,"Offshore"
"449","herring, blue back",2,"Georges Bank"
"450","herring, blue back",3,"Gulf of Maine"
"451","herring, blue back",4,"Mid-Atlantic Bight"
"452","herring, blue back",5,"Connecticut"
"453","herring, blue back",6,"Maine"
"454","herring, blue back",7,"Massachusetts-Gulf of Maine"
"455","herring, blue back",8,"Massachusetts-Virginian"
"456","herring, blue back",10,"New York"
"457","herring, blue back",11,"Rhode Island"
"458","john dory",1,"Offshore"
"459","john dory",2,"Georges Bank"
"460","john dory",3,"Gulf of Maine"
"461","john dory",4,"Mid-Atlantic Bight"
"462","john dory",5,"Connecticut"
"463","john dory",8,"Massachusetts-Virginian"
"464","john dory",10,"New York"
"465","john dory",11,"Rhode Island"
"466","lobster, american",1,"Offshore"
"467","lobster, american",2,"Georges Bank"
"468","lobster, american",3,"Gulf of Maine"
"469","lobster, american",4,"Mid-Atlantic Bight"
"470","lobster, american",5,"Connecticut"
"471","lobster, american",6,"Maine"
"472","lobster, american",7,"Massachusetts-Gulf of Maine"
"473","lobster, american",8,"Massachusetts-Virginian"
"474","lobster, american",9,"New Hampshire"
"475","lobster, american",10,"New York"
"476","lobster, american",11,"Rhode Island"
"477","lumpfish",1,"Offshore"
"478","lumpfish",2,"Georges Bank"
"479","lumpfish",3,"Gulf of Maine"
"480","lumpfish",4,"Mid-Atlantic Bight"
"481","lumpfish",6,"Maine"
"482","lumpfish",7,"Massachusetts-Gulf of Maine"
"483","lumpfish",8,"Massachusetts-Virginian"
"484","lumpfish",9,"New Hampshire"
"485","mackerel, atlantic",1,"Offshore"
"486","mackerel, atlantic",2,"Georges Bank"
"487","mackerel, atlantic",3,"Gulf of Maine"
"488","mackerel, atlantic",4,"Mid-Atlantic Bight"
"489","mackerel, atlantic",5,"Connecticut"
"490","mackerel, atlantic",6,"Maine"
"491","mackerel, atlantic",7,"Massachusetts-Gulf of Maine"
"492","mackerel, atlantic",8,"Massachusetts-Virginian"
"493","mackerel, atlantic",9,"New Hampshire"
"494","mackerel, atlantic",10,"New York"
"495","mackerel, atlantic",11,"Rhode Island"
"496","mackerel, chub",1,"Offshore"
"497","mackerel, chub",2,"Georges Bank"
"498","mackerel, chub",3,"Gulf of Maine"
"499","mackerel, chub",4,"Mid-Atlantic Bight"
"500","mackerel, chub",5,"Connecticut"
"501","mackerel, chub",6,"Maine"
"502","mackerel, chub",7,"Massachusetts-Gulf of Maine"
"503","mackerel, chub",8,"Massachusetts-Virginian"
"504","mackerel, chub",9,"New Hampshire"
"505","mackerel, chub",10,"New York"
"506","mackerel, chub",11,"Rhode Island"
"507","mackerel, king",4,"Mid-Atlantic Bight"
"508","mackerel, king",5,"Connecticut"
"509","mackerel, king",8,"Massachusetts-Virginian"
"510","mackerel, king",10,"New York"
"511","mackerel, king",11,"Rhode Island"
"512","mackerel, spanish",1,"Offshore"
"513","mackerel, spanish",2,"Georges Bank"
"514","mackerel, spanish",4,"Mid-Atlantic Bight"
"515","mackerel, spanish",5,"Connecticut"
"516","mackerel, spanish",8,"Massachusetts-Virginian"
"517","mackerel, spanish",10,"New York"
"518","mackerel, spanish",11,"Rhode Island"
"519","menhaden",1,"Offshore"
"520","menhaden",2,"Georges Bank"
"521","menhaden",3,"Gulf of Maine"
"522","menhaden",4,"Mid-Atlantic Bight"
"523","menhaden",5,"Connecticut"
"524","menhaden",6,"Maine"
"525","menhaden",7,"Massachusetts-Gulf of Maine"
"526","menhaden",8,"Massachusetts-Virginian"
"527","menhaden",9,"New Hampshire"
"528","menhaden",10,"New York"
"529","menhaden",11,"Rhode Island"
"530","monk heads",1,"Offshore"
"531","monk heads",2,"Georges Bank"
"532","monk heads",3,"Gulf of Maine"
"533","monk heads",4,"Mid-Atlantic Bight"
"534","monk heads",5,"Connecticut"
"535","monk heads",6,"Maine"
"536","monk heads",7,"Massachusetts-Gulf of Maine"
"537","monk heads",8,"Massachusetts-Virginian"
"538","monk heads",9,"New Hampshire"
"539","monk heads",10,"New York"
"540","monk heads",11,"Rhode Island"
"541","monk livers",1,"Offshore"
"542","monk livers",2,"Georges Bank"
"543","monk livers",3,"Gulf of Maine"
"544","monk livers",4,"Mid-Atlantic Bight"
"545","monk livers",5,"Connecticut"
"546","monk livers",6,"Maine"
"547","monk livers",7,"Massachusetts-Gulf of Maine"
"548","monk livers",8,"Massachusetts-Virginian"
"549","monk livers",9,"New Hampshire"
"550","monk livers",10,"New York"
"551","monk livers",11,"Rhode Island"
"552","monk tails",1,"Offshore"
"553","monk tails",2,"Georges Bank"
"554","monk tails",3,"Gulf of Maine"
"555","monk tails",4,"Mid-Atlantic Bight"
"556","monk tails",5,"Connecticut"
"557","monk tails",6,"Maine"
"558","monk tails",7,"Massachusetts-Gulf of Maine"
"559","monk tails",8,"Massachusetts-Virginian"
"560","monk tails",9,"New Hampshire"
"561","monk tails",10,"New York"
"562","monk tails",11,"Rhode Island"
"563","monkfish / anglerfish / goosefish",1,"Offshore"
"564","monkfish / anglerfish / goosefish",2,"Georges Bank"
"565","monkfish / anglerfish / goosefish",3,"Gulf of Maine"
"566","monkfish / anglerfish / goosefish",4,"Mid-Atlantic Bight"
"567","monkfish / anglerfish / goosefish",5,"Connecticut"
"568","monkfish / anglerfish / goosefish",6,"Maine"
"569","monkfish / anglerfish / goosefish",7,"Massachusetts-Gulf of Maine"
"570","monkfish / anglerfish / goosefish",8,"Massachusetts-Virginian"
"571","monkfish / anglerfish / goosefish",9,"New Hampshire"
"572","monkfish / anglerfish / goosefish",10,"New York"
"573","monkfish / anglerfish / goosefish",11,"Rhode Island"
"574","ocean pout",1,"Offshore"
"575","ocean pout",2,"Georges Bank"
"576","ocean pout",3,"Gulf of Maine"
"577","ocean pout",4,"Mid-Atlantic Bight"
"578","ocean pout",5,"Connecticut"
"579","ocean pout",7,"Massachusetts-Gulf of Maine"
"580","ocean pout",8,"Massachusetts-Virginian"
"581","ocean pout",10,"New York"
"582","ocean pout",11,"Rhode Island"
"583","ocean quahog",1,"Offshore"
"584","ocean quahog",2,"Georges Bank"
"585","ocean quahog",3,"Gulf of Maine"
"586","ocean quahog",4,"Mid-Atlantic Bight"
"587","ocean quahog",5,"Connecticut"
"588","ocean quahog",6,"Maine"
"589","ocean quahog",7,"Massachusetts-Gulf of Maine"
"590","ocean quahog",8,"Massachusetts-Virginian"
"591","ocean quahog",10,"New York"
"592","ocean quahog",11,"Rhode Island"
"593","other finfish",1,"Offshore"
"594","other finfish",2,"Georges Bank"
"595","other finfish",3,"Gulf of Maine"
"596","other finfish",4,"Mid-Atlantic Bight"
"597","other finfish",5,"Connecticut"
"598","other finfish",6,"Maine"
"599","other finfish",7,"Massachusetts-Gulf of Maine"
"600","other finfish",8,"Massachusetts-Virginian"
"601","other finfish",9,"New Hampshire"
"602","other finfish",10,"New York"
"603","other finfish",11,"Rhode Island"
"604","perch, white",4,"Mid-Atlantic Bight"
"605","perch, white",5,"Connecticut"
"606","perch, white",10,"New York"
"607","perch, white",11,"Rhode Island"
"608","pollock",1,"Offshore"
"609","pollock",2,"Georges Bank"
"610","pollock",3,"Gulf of Maine"
"611","pollock",4,"Mid-Atlantic Bight"
"612","pollock",5,"Connecticut"
"613","pollock",6,"Maine"
"614","pollock",7,"Massachusetts-Gulf of Maine"
"615","pollock",8,"Massachusetts-Virginian"
"616","pollock",9,"New Hampshire"
"617","pollock",10,"New York"
"618","pollock",11,"Rhode Island"
