"","rgn_id","rgn_name","year","prop_area","target","fish_area_score"
"1","1","Offshore",2017,0.37749593971463,0.3,1
"2","2","Georges Bank",2017,0.230418518456763,0.3,0.768061728189211
"3","3","Gulf of Maine",2017,0.00251393075472194,0.3,0.00837976918240646
"4","4","Mid-Atlantic Bight",2017,0.0482494788924279,0.3,0.160831596308093
"5","5","Connecticut",2017,0.000661428064251436,0.3,0.00220476021417145
"6","6","Maine",2017,0.000744489592499743,0.3,0.00248163197499914
"7","7","Massachusetts-North",2017,0.0154750842591867,0.3,0.0515836141972891
"8","8","Massachusetts-South",2017,0.0120505214741465,0.3,0.0401684049138217
"9","9","New Hampshire",2017,0.12538328651424,0.3,0.417944288380801
"10","10","New York",2017,0.0273808244472895,0.3,0.0912694148242982
"11","11","Rhode Island",2017,0.000184240985486145,0.3,0.00061413661828715
"12","1","Offshore",2016,0.37749593971463,0.3,1
"13","2","Georges Bank",2016,0.230418518456763,0.3,0.768061728189211
"14","3","Gulf of Maine",2016,0.00251393075472194,0.3,0.00837976918240646
"15","4","Mid-Atlantic Bight",2016,0.0482494788924279,0.3,0.160831596308093
"16","5","Connecticut",2016,0.000661428064251436,0.3,0.00220476021417145
"17","6","Maine",2016,0.000744489592499743,0.3,0.00248163197499914
"18","7","Massachusetts-North",2016,0.0154750842591867,0.3,0.0515836141972891
"19","8","Massachusetts-South",2016,0.0120505214741465,0.3,0.0401684049138217
"20","9","New Hampshire",2016,0.12538328651424,0.3,0.417944288380801
"21","10","New York",2016,0.0273808244472895,0.3,0.0912694148242982
"22","11","Rhode Island",2016,0.000184240985486145,0.3,0.00061413661828715
"23","1","Offshore",2015,0.00269136428243888,0.3,0.00897121427479626
"24","2","Georges Bank",2015,0.230418518456763,0.3,0.768061728189211
"25","3","Gulf of Maine",2015,0.00251393075472194,0.3,0.00837976918240646
"26","4","Mid-Atlantic Bight",2015,0.0367771395116194,0.3,0.122590465038731
"27","5","Connecticut",2015,0.000661428064251436,0.3,0.00220476021417145
"28","6","Maine",2015,0.000744489592499743,0.3,0.00248163197499914
"29","7","Massachusetts-North",2015,0.0154750842591867,0.3,0.0515836141972891
"30","8","Massachusetts-South",2015,0.0120505214741465,0.3,0.0401684049138217
"31","9","New Hampshire",2015,0.12538328651424,0.3,0.417944288380801
"32","10","New York",2015,0.0273808244472895,0.3,0.0912694148242982
"33","11","Rhode Island",2015,0.000184240985486145,0.3,0.00061413661828715
"34","1","Offshore",2014,0.00269136428243888,0.3,0.00897121427479626
"35","2","Georges Bank",2014,0.230418518456763,0.3,0.768061728189211
"36","3","Gulf of Maine",2014,0.00251393075472194,0.3,0.00837976918240646
"37","4","Mid-Atlantic Bight",2014,0.0367771395116194,0.3,0.122590465038731
"38","5","Connecticut",2014,0.000661428064251436,0.3,0.00220476021417145
"39","6","Maine",2014,0.000744489592499743,0.3,0.00248163197499914
"40","7","Massachusetts-North",2014,0.0154750842591867,0.3,0.0515836141972891
"41","8","Massachusetts-South",2014,0.0120505214741465,0.3,0.0401684049138217
"42","9","New Hampshire",2014,0.12538328651424,0.3,0.417944288380801
"43","10","New York",2014,0.0273808244472895,0.3,0.0912694148242982
"44","11","Rhode Island",2014,0.000184240985486145,0.3,0.00061413661828715
"45","1","Offshore",2013,0.00269136428243888,0.3,0.00897121427479626
"46","2","Georges Bank",2013,0.230418518456763,0.3,0.768061728189211
"47","3","Gulf of Maine",2013,0.00251393075472194,0.3,0.00837976918240646
"48","4","Mid-Atlantic Bight",2013,0.0367771395116194,0.3,0.122590465038731
"49","5","Connecticut",2013,0.000661428064251436,0.3,0.00220476021417145
"50","6","Maine",2013,0.000744489592499743,0.3,0.00248163197499914
"51","7","Massachusetts-North",2013,0.0154750842591867,0.3,0.0515836141972891
"52","8","Massachusetts-South",2013,0.0120505214741465,0.3,0.0401684049138217
"53","9","New Hampshire",2013,0.12538328651424,0.3,0.417944288380801
"54","10","New York",2013,0.0273808244472895,0.3,0.0912694148242982
"55","11","Rhode Island",2013,0.000184240985486145,0.3,0.00061413661828715
"56","1","Offshore",2012,0.00269136428243888,0.3,0.00897121427479626
"57","2","Georges Bank",2012,0.230418518456763,0.3,0.768061728189211
"58","3","Gulf of Maine",2012,0.00251393075472194,0.3,0.00837976918240646
"59","4","Mid-Atlantic Bight",2012,0.0367771395116194,0.3,0.122590465038731
"60","5","Connecticut",2012,0.000661428064251436,0.3,0.00220476021417145
"61","6","Maine",2012,0.000744489592499743,0.3,0.00248163197499914
"62","7","Massachusetts-North",2012,0.0154750842591867,0.3,0.0515836141972891
"63","8","Massachusetts-South",2012,0.0120505214741465,0.3,0.0401684049138217
"64","9","New Hampshire",2012,0.12538328651424,0.3,0.417944288380801
"65","10","New York",2012,0.0273808244472895,0.3,0.0912694148242982
"66","11","Rhode Island",2012,0.000184240985486145,0.3,0.00061413661828715
"67","1","Offshore",2011,0.00269136428243888,0.3,0.00897121427479626
"68","2","Georges Bank",2011,0.230418518456763,0.3,0.768061728189211
"69","3","Gulf of Maine",2011,0.00251393075472194,0.3,0.00837976918240646
"70","4","Mid-Atlantic Bight",2011,0.0367771395116194,0.3,0.122590465038731
"71","5","Connecticut",2011,0.000661428064251436,0.3,0.00220476021417145
"72","6","Maine",2011,0.000744489592499743,0.3,0.00248163197499914
"73","7","Massachusetts-North",2011,0.0154750842591867,0.3,0.0515836141972891
"74","8","Massachusetts-South",2011,0.0120505214741465,0.3,0.0401684049138217
"75","9","New Hampshire",2011,0.12538328651424,0.3,0.417944288380801
