"","year","staff_score","num_patrols_score","out_reach_num_score","ole_enforcement_score"
"1",2015,0.939393939393939,0.947858472998138,0.748344370860927,0.878532261084335
"2",2016,0.878787878787879,1,0.900662251655629,0.926483376814503
"3",2017,0.787878787878788,0.951582867783985,0.95364238410596,0.897701346589578
"4",2018,0.718,0.662942271880819,1,0.793647423960273
