Layer,Description,Target,Source
Commercial fishing engagement,Measures the presence of commercial fishing through fishing activity as shown through permits and vessel landings.,10% higher than the highest regional level,"<a href=""https://www.st.nmfs.noaa.gov/humandimensions/social-indicators/map"">NOAA Social Vulnerability Index</a>"
Recreational fishing reliance,Measures the presence of recreational fishing in relation to the population of a community,10% higher than the highest regional level,"<a href=""https://www.st.nmfs.noaa.gov/humandimensions/social-indicators/map"">NOAA Social Vulnerability Index</a>"
