"","species","us_rank_review_yr","natserve_yr_last_reviewed","natserve_yr_lst_changed"
"55","Alopias superciliosus",NA,"2014","2014"
"56","Squalus acanthias",NA,"2015","2015"
"57","Alosa aestivalis","2011","2014","2011"
"58","Alosa mediocris","2011","2011","2011"
"59","Alosa pseudoharengus","1996","2016","1996"
"60","Alosa sapidissima","1996","2017","1996"
"61","Anchoa hepsetus",NA,"1997","1997"
"62","Anchoa lyolepis",NA,NA,NA
"63","Anchoa mitchilli","1996","2011","1996"
"64","Brevoortia tyrannus","1996","1996","1996"
"65","Clupea harengus",NA,NA,NA
"66","Harengula jaguana","1996","1996","1996"
"67","Opisthonema oglinum","1996","1996","1996"
"68","Cyprinodon variegatus","1996","2011","1996"
"69","Fundulus heteroclitus","1996","2015","1996"
"70","Fundulus majalis","1996","1996","1996"
"71","Lucania parva","1996","1996","1996"
"72","Echeneis naucrates",NA,NA,NA
"73","Remora remora",NA,NA,NA
"74","Chaetodipterus faber","1996","1997","1997"
"75","Enchelyopus cimbrius",NA,"2017","2017"
"76","Merluccius albidus",NA,"2017","2017"
"77","Merluccius bilinearis",NA,"2017","2017"
"78","Physiculus fulvus",NA,NA,NA
"79","Urophycis regia",NA,NA,NA
"80","Fistularia tabacaria",NA,NA,NA
"81","Gasterosteus wheatlandi",NA,"2017","1996"
"82","Nesiarchus nasutus",NA,NA,NA
"83","Gobiesox strumosus","1996","1997","1997"
"84","Gobiosoma bosc","1996","2006","1996"
"85","Gobiosoma ginsburgi",NA,NA,NA
"86","Orthopristis chrysoptera","1996","1996","1996"
"87","Homarus americanus",NA,"2017","2017"
"88","Histrio histrio",NA,NA,NA
"89","Dibranchus atlanticus",NA,"2017","2017"
"90","Lutjanus griseus","1996","1997","1997"
"91","Lopholatilus chamaeleonticeps",NA,NA,NA
"92","Phocoena phocoena","1997","2016","1996"
"93","Stenella clymene","1997","1996","1996"
"94","Lagenorhynchus albirostris","1997","2016","1996"
"95","Mesoplodon europaeus","1997","1998","1996"
"96","Globicephala melas","1996","2016","1996"
"97","Eubalaena glacialis","1997","2016","1996"
"98","Ziphius cavirostris","1997","2016","1996"
"99","Phoca vitulina","1996","2016","1996"
"100","Stenella coeruleoalba","1997","2016","1996"
"101","Balaenoptera musculus","1997","2016","1999"
"102","Balaenoptera edeni","1997","2000","2000"
"103","Mesoplodon mirus",NA,"1998","1997"
"104","Orcinus orca","1996","2016","1996"
"105","Halichoerus grypus","1996","2017","2017"
"106","Megaptera novaeangliae","2008","2016","2008"
"107","Lagenorhynchus acutus","1997","2017","2017"
"108","Tursiops truncatus","1997","1996","1996"
"109","Physeter macrocephalus","1997","2016","1996"
"110","Mesoplodon densirostris","1997","2016","1996"
"111","Kogia breviceps","1997","1996","1996"
"112","Kogia sima","1997","1996","1996"
"113","Balaenoptera acutorostrata","1997","2016","1996"
"114","Balaenoptera physalus","1997","2016","1997"
"115","Grampus griseus","1997","2016","1996"
"116","Stenella attenuata","1997","1996","1996"
"117","Stenella frontalis","1997","1996","1996"
"118","Stenella longirostris","1997","1996","1996"
"119","Globicephala macrorhynchus","1997","2016","1996"
"120","Delphinus delphis","1997","2017","1996"
"121","Balaenoptera borealis","1997","1996","1996"
"122","Hyperoodon ampullatus","1997","2016","1996"
"123","Morone saxatilis","1996","1996","1996"
"124","Mugil cephalus","1996","1996","1996"
"125","Mugil curema","1996","1996","1996"
"126","Lampadena speculigera",NA,"2017","2017"
"127","Myctophum affine",NA,"2017","2017"
"128","Lepophidium profundorum",NA,"2017","2017"
"129","Ophidion marginatum",NA,NA,NA
"130","Pomatomus saltatrix","1996","1997","1997"
"131","Sphoeroides maculatus","1996","1996","1996"
"132","Rachycentron canadum",NA,NA,NA
"133","Eretmochelys imbricata","1996","2014","1996"
"134","Dermochelys coriacea","2001","2014","2001"
"135","Chelonia mydas","1996","2014","1996"
"136","Lepidochelys olivacea","1996","2009","1996"
"137","Caretta caretta","1996","2014","1996"
"138","Bairdiella chrysoura","1996","1996","1996"
"139","Cynoscion nebulosus","1996","1996","1996"
"140","Larimus fasciatus",NA,NA,NA
"141","Leiostomus xanthurus","1996","1996","1996"
"142","Menticirrhus americanus",NA,NA,NA
"143","Menticirrhus saxatilis",NA,NA,NA
"144","Micropogonias undulatus","1996","1996","1996"
"145","Pogonias cromis",NA,NA,NA
"146","Archosargus probatocephalus","1996","1996","1996"
"147","Lagodon rhomboides","1996","1996","1996"
"148","Stenotomus chrysops",NA,NA,NA
"149","Zostera marina",NA,"2016","1984"
"150","Centropristis striata",NA,NA,NA
"151","Sphyraena guachancho","1996","1997","1997"
"152","Peprilus paru","1996","1997","1997"
"153","Lontra canadensis","1996","2016","1996"
"154","Thunnus alalunga",NA,"2017","2017"
