"","rgn_id","area_km2","SID"
"244",4,36345,153538
"245",5,1453,153538
"246",6,6675,153538
"247",7,3398,153538
"248",8,2675,153538
"249",9,180,153538
"250",10,4395,153538
"251",11,1119,153538
"252",1,105282,15421
"253",2,49938,15421
"254",3,59638,15421
"255",4,42218,15421
"256",5,1453,15421
"257",6,6675,15421
"258",7,3398,15421
"259",8,2675,15421
"260",9,180,15421
"261",10,4395,15421
"262",11,1119,15421
"263",1,199,154624
"264",2,6010,154624
"265",4,36519,154624
"266",5,1453,154624
"267",7,2,154624
"268",8,2587,154624
"269",10,4395,154624
"270",11,1119,154624
"271",1,103764,154712
"272",2,17917,154712
"273",4,5128,154712
"274",1,105282,154729
"275",2,49938,154729
"276",3,56852,154729
"277",4,42218,154729
"278",5,1453,154729
"279",6,1562,154729
"280",7,3398,154729
"281",8,2675,154729
"282",9,180,154729
"283",10,4393,154729
"284",11,1119,154729
"285",1,199,154767
"286",4,31242,154767
"287",5,1453,154767
"288",10,4395,154767
"289",11,717,154767
"290",1,255,154807
"291",2,47646,154807
"292",3,53076,154807
"293",4,38211,154807
"294",5,1453,154807
"295",6,6675,154807
"296",7,3398,154807
"297",8,2675,154807
"298",9,180,154807
"299",10,4395,154807
"300",11,1119,154807
"301",1,13541,154815
"302",2,20212,154815
"303",3,13806,154815
"304",6,576,154815
"305",1,105282,154820
"306",2,49938,154820
"307",3,59638,154820
"308",4,42218,154820
"309",5,1453,154820
"310",6,6675,154820
"311",7,3398,154820
"312",8,2675,154820
"313",9,180,154820
"314",10,4395,154820
"315",11,1119,154820
"316",1,59366,154916
"317",4,2830,154928
"318",1,47144,154929
"319",2,1953,154929
"320",4,3621,154929
"321",1,200,154970
"322",2,13992,154970
"323",3,10624,154970
"324",4,38207,154970
"325",5,1453,154970
"326",7,3383,154970
"327",8,2675,154970
"328",10,4395,154970
"329",11,1119,154970
"330",1,105154,154998
"331",2,12230,154998
"332",3,741,154998
"333",4,20148,154998
"334",6,92,154998
"335",1,205,155014
"336",2,11682,155014
"337",3,14340,155014
