Layer,Description,Target,Source
Salt Marsh,Salt Marsh land cover change through time from NOAA's Coastal Change Analysis Program (C-CAP),No loss of salt marsh habitat from historical reference year (~1850’s),"<a href=""https://coast.noaa.gov/digitalcoast/data/ccapregional.html"" target = ""_blank"">NOAA Coastal Change Analysis Program (C-CAP)</a>"
Eelgrass,Eelgrass habitat coverage from the Past Eelgrass Surveys data layer from the Northeast Data Portal plus Water quality index values for all eelgrass beds from the EPA's National Coastal Condition Assessment Water Quality Index data,Water Quality Index in all eelgrass beds is classified as “Good” by the EPA,"<a href=""https://www.northeastoceandata.org/eelgrass/past-eelgrass-surveys/"" target = ""_blank"">NE Ocean Data Portal</a>
             <a href=""https://www.epa.gov/national-aquatic-resource-surveys/ncca"" target = ""_blank"">EPA National Coastal Condition Assessment</a>"
Seabed habitats,Percent disturbance from fishing efforts across 18 different seabed habitats types as calculated the the Fishing Effects model developed by the New England Fishery Management Council,No habitat disturbance from fishing effort across all seabed habitat types,"<a href=""http://archive.nefmc.org/habitat/council_mtg_docs/June2009/Doc4_SASI_summary.pdf"" target = ""_blank"">NEFSC Fishing Effects Model</a>"
Species,Species range maps from the Northeast Data Portal and International Union for Conservation of Nature’s (IUCN) and Species conservation status from NatureServe and IUCN,No marine species are at risk of extinction and all are classified as of Least Concern using The International Union for Conservation of Nature’s (IUCN) Red List of Threatened Species criteria,"<a href=""https://www.northeastoceandata.org/data-explorer/?mammals-turtles"" target = ""_blank"">NE Ocean Data Portal</a>
             <a href=""https://www.natureserve.org/"" target = ""_blank"">NatureServe</a>
             <a href=""https://www.iucnredlist.org/"" target = ""_blank"">IUCN Red List</a>"
