"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1528",NA,"Falco columbarius","IUCN",22696453,"NY","S3?B",NA,"NY"
"1529",NA,"Falco columbarius","IUCN",22696453,"RI","N4B,N4N",NA,"RI"
"1530",NA,"Falco columbarius","IUCN",22696453,"IUCN","LC - Least concern",NA,"IUCN"
"1531",NA,"Falco columbarius","IUCN",22696453,"USA","N4B,N4N",NA,"USA"
"1532",NA,"Falco peregrinus","IUCN",45354964,"CT","S1B",NA,"CT"
"1533",NA,"Falco peregrinus","IUCN",45354964,"ME","S1S2N,S2B",NA,"ME"
"1534",NA,"Falco peregrinus","IUCN",45354964,"MA","S2B,S3N",NA,"MA"
"1535",NA,"Falco peregrinus","IUCN",45354964,"NH","N4B,N4N",NA,"NH"
"1536",NA,"Falco peregrinus","IUCN",45354964,"NY","S3B",NA,"NY"
"1537",NA,"Falco peregrinus","IUCN",45354964,"RI","S1B",NA,"RI"
"1538",NA,"Falco peregrinus","IUCN",45354964,"IUCN","LC - Least concern",NA,"IUCN"
"1539",NA,"Falco peregrinus","IUCN",45354964,"USA","N4B,N4N",NA,"USA"
"1540",NA,"Histrionicus histrionicus","IUCN",22680423,"ME","S2S3N",NA,"ME"
"1541",NA,"Histrionicus histrionicus","IUCN",22680423,"MA","S2N",NA,"MA"
"1542",NA,"Histrionicus histrionicus","IUCN",22680423,"NY","S1N",NA,"NY"
"1543",NA,"Histrionicus histrionicus","IUCN",22680423,"RI","S1N",NA,"RI"
"1544",NA,"Histrionicus histrionicus","IUCN",22680423,"IUCN","LC - Least concern",NA,"IUCN"
"1545",NA,"Histrionicus histrionicus","IUCN",22680423,"USA","N4B,N4N",NA,"USA"
"1546",NA,"Hydrobates castro","IUCN",22735803,NA,"LC","Decreasing","IUCN"
"1547",NA,"Hydrobates leucorhous","IUCN",22698511,NA,"VU","Decreasing","IUCN"
"1548",NA,"Ixobrychus exilis","IUCN",22697314,"CT","S2B",NA,"CT"
"1549",NA,"Ixobrychus exilis","IUCN",22697314,"ME","S2B",NA,"ME"
"1550",NA,"Ixobrychus exilis","IUCN",22697314,"MA","S1S2B",NA,"MA"
"1551",NA,"Ixobrychus exilis","IUCN",22697314,"NH","S1B",NA,"NH"
"1552",NA,"Ixobrychus exilis","IUCN",22697314,"NY","S3B,S1N",NA,"NY"
"1553",NA,"Ixobrychus exilis","IUCN",22697314,"RI","S2B,S2N",NA,"RI"
"1554",NA,"Ixobrychus exilis","IUCN",22697314,"IUCN","LC - Least concern",NA,"IUCN"
"1555",NA,"Ixobrychus exilis","IUCN",22697314,"USA","N5B,N5N",NA,"USA"
"1556",NA,"Ammospiza maritima","IUCN",22721123,NA,"LC","Decreasing","IUCN"
"1557",NA,"Ammospiza nelsoni","IUCN",22728393,NA,"LC","Stable","IUCN"
"1558",NA,"Mareca americana","IUCN",22680163,"CT","N5B,N5N",NA,"CT"
"1559",NA,"Mareca americana","IUCN",22680163,"ME","S1S2B,S3N",NA,"ME"
"1560",NA,"Mareca americana","IUCN",22680163,"MA","S1B,S4N",NA,"MA"
"1561",NA,"Mareca americana","IUCN",22680163,"NH","N5B,N5N",NA,"NH"
"1562",NA,"Mareca americana","IUCN",22680163,"NY","S3",NA,"NY"
"1563",NA,"Mareca americana","IUCN",22680163,"RI","N5B,N5N",NA,"RI"
"1564",NA,"Mareca americana","IUCN",22680163,"IUCN","LC - Least concern",NA,"IUCN"
"1565",NA,"Mareca americana","IUCN",22680163,"USA","N5B,N5N",NA,"USA"
"1566",NA,"Mareca penelope","IUCN",22680157,"CT","N3N",NA,"CT"
"1567",NA,"Mareca penelope","IUCN",22680157,"MA","S1N",NA,"MA"
"1568",NA,"Mareca penelope","IUCN",22680157,"NY","N3N",NA,"NY"
"1569",NA,"Mareca penelope","IUCN",22680157,"RI","S1N",NA,"RI"
"1570",NA,"Mareca penelope","IUCN",22680157,"IUCN","LC - Least concern",NA,"IUCN"
"1571",NA,"Mareca penelope","IUCN",22680157,"USA","N3N",NA,"USA"
"1572",NA,"Larus atricilla","IUCN",22694455,"CT","N5B,N5N",NA,"CT"
"1573",NA,"Larus atricilla","IUCN",22694455,"ME","S2S3B",NA,"ME"
"1574",NA,"Larus atricilla","IUCN",22694455,"MA","S2B",NA,"MA"
"1575",NA,"Larus atricilla","IUCN",22694455,"NH","N5B,N5N",NA,"NH"
"1576",NA,"Larus atricilla","IUCN",22694455,"NY","S1",NA,"NY"
"1577",NA,"Larus atricilla","IUCN",22694455,"RI","N5B,N5N",NA,"RI"
"1578",NA,"Larus atricilla","IUCN",22694455,"IUCN","LC - Least concern",NA,"IUCN"
"1579",NA,"Larus atricilla","IUCN",22694455,"USA","N5B,N5N",NA,"USA"
"1580",NA,"Larus fuscus","IUCN",22694373,"CT","N2N3N",NA,"CT"
"1581",NA,"Larus fuscus","IUCN",22694373,"MA","S1N",NA,"MA"
"1582",NA,"Larus fuscus","IUCN",22694373,"NY","N2N3N",NA,"NY"
"1583",NA,"Larus fuscus","IUCN",22694373,"RI","S1N",NA,"RI"
"1584",NA,"Larus fuscus","IUCN",22694373,"IUCN","LC - Least concern",NA,"IUCN"
"1585",NA,"Larus fuscus","IUCN",22694373,"USA","N2N3N",NA,"USA"
"1586",NA,"Larus glaucoides","IUCN",22694346,"CT","N3N4N",NA,"CT"
"1587",NA,"Larus glaucoides","IUCN",22694346,"ME","S1N",NA,"ME"
"1588",NA,"Larus glaucoides","IUCN",22694346,"MA","S2N",NA,"MA"
"1589",NA,"Larus glaucoides","IUCN",22694346,"NH","N3N4N",NA,"NH"
"1590",NA,"Larus glaucoides","IUCN",22694346,"NY","N3N4N",NA,"NY"
"1591",NA,"Larus glaucoides","IUCN",22694346,"RI","S2N",NA,"RI"
"1592",NA,"Larus glaucoides","IUCN",22694346,"IUCN","LC - Least concern",NA,"IUCN"
"1593",NA,"Larus glaucoides","IUCN",22694346,"USA","N3N4N",NA,"USA"
"1594",NA,"Larus philadelphia","IUCN",22694432,"CT","N5B,N5N",NA,"CT"
"1595",NA,"Larus philadelphia","IUCN",22694432,"ME","S4N",NA,"ME"
"1596",NA,"Larus philadelphia","IUCN",22694432,"MA","S4N",NA,"MA"
"1597",NA,"Larus philadelphia","IUCN",22694432,"NH","N5B,N5N",NA,"NH"
"1598",NA,"Larus philadelphia","IUCN",22694432,"NY","N5B,N5N",NA,"NY"
"1599",NA,"Larus philadelphia","IUCN",22694432,"RI","N5B,N5N",NA,"RI"
"1600",NA,"Larus philadelphia","IUCN",22694432,"IUCN","LC - Least concern",NA,"IUCN"
"1601",NA,"Larus philadelphia","IUCN",22694432,"USA","N5B,N5N",NA,"USA"
"1602",NA,"Larus ridibundus","IUCN",22694420,"CT","N3N",NA,"CT"
"1603",NA,"Larus ridibundus","IUCN",22694420,"ME","S1N",NA,"ME"
"1604",NA,"Larus ridibundus","IUCN",22694420,"MA","S1B,S2N",NA,"MA"
"1605",NA,"Larus ridibundus","IUCN",22694420,"NH","N3N",NA,"NH"
"1606",NA,"Larus ridibundus","IUCN",22694420,"NY","N3N",NA,"NY"
"1607",NA,"Larus ridibundus","IUCN",22694420,"RI","S1N",NA,"RI"
"1608",NA,"Larus ridibundus","IUCN",22694420,"IUCN","LC - Least concern",NA,"IUCN"
"1609",NA,"Larus ridibundus","IUCN",22694420,"USA","N3N",NA,"USA"
"1610",NA,"Limnodromus griseus","IUCN",22693344,"CT","N5B,N5N",NA,"CT"
"1611",NA,"Limnodromus griseus","IUCN",22693344,"ME","S4N",NA,"ME"
"1612",NA,"Limnodromus griseus","IUCN",22693344,"MA","S4N",NA,"MA"
"1613",NA,"Limnodromus griseus","IUCN",22693344,"NH","N5B,N5N",NA,"NH"
"1614",NA,"Limnodromus griseus","IUCN",22693344,"NY","N5B,N5N",NA,"NY"
"1615",NA,"Limnodromus griseus","IUCN",22693344,"RI","N5B,N5N",NA,"RI"
"1616",NA,"Limnodromus griseus","IUCN",22693344,"IUCN","LC - Least concern",NA,"IUCN"
"1617",NA,"Limnodromus griseus","IUCN",22693344,"USA","N5B,N5N",NA,"USA"
"1618",NA,"Limosa haemastica","IUCN",22693154,"CT","N3?B",NA,"CT"
"1619",NA,"Limosa haemastica","IUCN",22693154,"ME","S2N",NA,"ME"
"1620",NA,"Limosa haemastica","IUCN",22693154,"MA","S3N",NA,"MA"
"1621",NA,"Limosa haemastica","IUCN",22693154,"NH","N3?B",NA,"NH"
"1622",NA,"Limosa haemastica","IUCN",22693154,"NY","N3?B",NA,"NY"
"1623",NA,"Limosa haemastica","IUCN",22693154,"RI","S2N",NA,"RI"
"1624",NA,"Limosa haemastica","IUCN",22693154,"IUCN","LC - Least concern",NA,"IUCN"
"1625",NA,"Limosa haemastica","IUCN",22693154,"USA","N3?B",NA,"USA"
"1626",NA,"Lophodytes cucullatus","IUCN",22680472,"CT","S3B",NA,"CT"
"1627",NA,"Lophodytes cucullatus","IUCN",22680472,"ME","S5",NA,"ME"
"1628",NA,"Lophodytes cucullatus","IUCN",22680472,"MA","S4B,S5N",NA,"MA"
"1629",NA,"Lophodytes cucullatus","IUCN",22680472,"NH","S5",NA,"NH"
"1630",NA,"Lophodytes cucullatus","IUCN",22680472,"NY","S4",NA,"NY"
"1631",NA,"Lophodytes cucullatus","IUCN",22680472,"RI","S1B",NA,"RI"
"1632",NA,"Lophodytes cucullatus","IUCN",22680472,"IUCN","LC - Least concern",NA,"IUCN"
"1633",NA,"Lophodytes cucullatus","IUCN",22680472,"USA","N5B,N5N",NA,"USA"
"1634",NA,"Mergus merganser","IUCN",22680492,"CT","S3B",NA,"CT"
"1635",NA,"Mergus merganser","IUCN",22680492,"ME","S5",NA,"ME"
"1636",NA,"Mergus merganser","IUCN",22680492,"MA","S2B,S5N",NA,"MA"
"1637",NA,"Mergus merganser","IUCN",22680492,"NH","S4",NA,"NH"
"1638",NA,"Mergus merganser","IUCN",22680492,"NY","S5",NA,"NY"
"1639",NA,"Mergus merganser","IUCN",22680492,"RI","N5B,N5N",NA,"RI"
"1640",NA,"Mergus merganser","IUCN",22680492,"IUCN","LC - Least concern",NA,"IUCN"
"1641",NA,"Mergus merganser","IUCN",22680492,"USA","N5B,N5N",NA,"USA"
"1642",NA,"Mycteria americana","IUCN",22697648,"IUCN","LC - Least concern",NA,"IUCN"
"1643",NA,"Mycteria americana","IUCN",22697648,"USA","N3",NA,"USA"
"1644",NA,"Phalacrocorax carbo","IUCN",22696792,"CT","N1B,N4N",NA,"CT"
"1645",NA,"Phalacrocorax carbo","IUCN",22696792,"ME","S3B,S3N",NA,"ME"
"1646",NA,"Phalacrocorax carbo","IUCN",22696792,"MA","S1B,S4N",NA,"MA"
"1647",NA,"Phalacrocorax carbo","IUCN",22696792,"NH","N1B,N4N",NA,"NH"
"1648",NA,"Phalacrocorax carbo","IUCN",22696792,"NY","N1B,N4N",NA,"NY"
"1649",NA,"Phalacrocorax carbo","IUCN",22696792,"RI","N1B,N4N",NA,"RI"
"1650",NA,"Phalacrocorax carbo","IUCN",22696792,"IUCN","LC - Least concern",NA,"IUCN"
"1651",NA,"Phalacrocorax carbo","IUCN",22696792,"USA","N1B,N4N",NA,"USA"
"1652",NA,"Numenius phaeopus","IUCN",22693178,"CT","N5B,N5N",NA,"CT"
"1653",NA,"Numenius phaeopus","IUCN",22693178,"ME","S2N",NA,"ME"
"1654",NA,"Numenius phaeopus","IUCN",22693178,"MA","S3N",NA,"MA"
