"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1763",NA,"Podiceps grisegena","IUCN",22696599,"IUCN","LC - Least concern",NA,"IUCN"
"1764",NA,"Podiceps grisegena","IUCN",22696599,"USA","N5B,N5N",NA,"USA"
"1765",NA,"Pterodroma cahow","IUCN",22698088,NA,"EN","Increasing","IUCN"
"1766",NA,"Pterodroma deserta","IUCN",22736135,NA,"VU","Stable","IUCN"
"1767",NA,"Corvus ossifragus","IUCN",22705993,"CT","S4",NA,"CT"
"1768",NA,"Corvus ossifragus","IUCN",22705993,"ME","S1?B",NA,"ME"
"1769",NA,"Corvus ossifragus","IUCN",22705993,"MA","S4",NA,"MA"
"1770",NA,"Corvus ossifragus","IUCN",22705993,"NH","S3",NA,"NH"
"1771",NA,"Corvus ossifragus","IUCN",22705993,"NY","S4",NA,"NY"
"1772",NA,"Corvus ossifragus","IUCN",22705993,"RI","S2B,S2N",NA,"RI"
"1773",NA,"Corvus ossifragus","IUCN",22705993,"IUCN","LC - Least concern",NA,"IUCN"
"1774",NA,"Corvus ossifragus","IUCN",22705993,"USA","N5",NA,"USA"
"1775",NA,"Cistothorus palustris","IUCN",22711374,"CT","S4B",NA,"CT"
"1776",NA,"Cistothorus palustris","IUCN",22711374,"ME","S4B",NA,"ME"
"1777",NA,"Cistothorus palustris","IUCN",22711374,"MA","S2S3B",NA,"MA"
"1778",NA,"Cistothorus palustris","IUCN",22711374,"NH","S3B",NA,"NH"
"1779",NA,"Cistothorus palustris","IUCN",22711374,"NY","S5",NA,"NY"
"1780",NA,"Cistothorus palustris","IUCN",22711374,"RI","S2B,S3N",NA,"RI"
"1781",NA,"Cistothorus palustris","IUCN",22711374,"IUCN","LC - Least concern",NA,"IUCN"
