Layer,Description,Target,Source
Salt Marsh,Salt Marsh land cover change through time from NOAA's Coastal Change Analysis Program (C-CAP),No loss of salt marsh habitat from historical reference year (~1850’s),"<a href=""https://coast.noaa.gov/digitalcoast/data/ccapregional.html"" target = ""_blank"">NOAA Coastal Change Analysis Program (C-CAP)</a>"
Eelgrass,Eelgrass habitat coverage from the Past Eelgrass Surveys data layer from the Northeast Data Portal plus Water quality index values for all eelgrass beds from the EPA's National Coastal Condition Assessment Water Quality Index data,Water Quality Index in all eelgrass beds is classified as “Good” by the EPA,"<a href=""https://www.northeastoceandata.org/eelgrass/past-eelgrass-surveys/"" target = ""_blank"">NE Ocean Data Portal</a>
             <a href=""https://www.epa.gov/national-aquatic-resource-surveys/ncca"" target = ""_blank"">EPA National Coastal Condition Assessment</a>"
Seabed habitats,Percent disturbance from fishing efforts across 18 different seabed habitats types as calculated by the Fishing Effects model developed by the New England Fishery Management Council,No habitat disturbance from fishing effort across all seabed habitat types,"<a href=""https://www.nefmc.org/library/fishing-effects-model"" target = ""_blank"">NEFSC Fishing Effects Model</a>"
