"","SID","rgn_id","rgn_name"
"151",13485631,11,"Rhode Island"
"152",13485631,4,"Mid-Atlantic Bight"
"153",13485631,5,"Connecticut"
"154",13485631,10,"New York"
"155",13485635,6,"Maine"
"156",13485635,3,"Gulf of Maine"
"157",13485635,9,"New Hampshire"
"158",13485635,2,"Georges Bank"
"159",13485635,7,"Massachusetts-Gulf of Maine"
"160",13485635,1,"Offshore"
"161",13485635,8,"Massachusetts-Virginian"
"162",13485635,11,"Rhode Island"
"163",13485635,4,"Mid-Atlantic Bight"
"164",13485635,5,"Connecticut"
"165",13485635,10,"New York"
"166",13485675,2,"Georges Bank"
"167",13485675,1,"Offshore"
"168",13486199,6,"Maine"
"169",13486199,3,"Gulf of Maine"
"170",13486199,9,"New Hampshire"
"171",13486199,2,"Georges Bank"
"172",13486199,7,"Massachusetts-Gulf of Maine"
"173",13486199,1,"Offshore"
"174",13486199,8,"Massachusetts-Virginian"
"175",13486199,11,"Rhode Island"
"176",13486199,4,"Mid-Atlantic Bight"
"177",13486199,5,"Connecticut"
"178",13486199,10,"New York"
"179",13486514,3,"Gulf of Maine"
"180",13486514,7,"Massachusetts-Gulf of Maine"
"181",13486514,2,"Georges Bank"
"182",13486514,8,"Massachusetts-Virginian"
"183",13486514,11,"Rhode Island"
"184",13486514,4,"Mid-Atlantic Bight"
"185",13486514,5,"Connecticut"
"186",13486514,10,"New York"
"187",13486514,1,"Offshore"
"188",13487700,2,"Georges Bank"
"189",13487700,4,"Mid-Atlantic Bight"
"190",13487700,11,"Rhode Island"
"191",13487700,10,"New York"
"192",13487700,5,"Connecticut"
"193",13487700,1,"Offshore"
"194",135567,6,"Maine"
"195",135567,3,"Gulf of Maine"
"196",135567,9,"New Hampshire"
"197",135567,2,"Georges Bank"
"198",135567,7,"Massachusetts-Gulf of Maine"
"199",135567,1,"Offshore"
"200",135567,8,"Massachusetts-Virginian"
"201",135567,11,"Rhode Island"
"202",135567,4,"Mid-Atlantic Bight"
"203",135567,5,"Connecticut"
"204",135567,10,"New York"
"205",15147715,1,"Offshore"
"206",15147715,2,"Georges Bank"
"207",15147715,4,"Mid-Atlantic Bight"
"208",15147725,3,"Gulf of Maine"
"209",15147725,1,"Offshore"
"210",15147725,2,"Georges Bank"
"211",15147725,4,"Mid-Atlantic Bight"
"212",15147740,3,"Gulf of Maine"
"213",15147740,1,"Offshore"
"214",15147740,2,"Georges Bank"
"215",15147740,4,"Mid-Atlantic Bight"
"216",15147816,1,"Offshore"
"217",15147816,2,"Georges Bank"
"218",15147816,4,"Mid-Atlantic Bight"
"219",15147965,4,"Mid-Atlantic Bight"
"220",15147965,2,"Georges Bank"
"221",15147965,1,"Offshore"
"222",15147977,2,"Georges Bank"
"223",15147977,1,"Offshore"
"224",15148742,2,"Georges Bank"
"225",15148742,1,"Offshore"
"226",15148742,4,"Mid-Atlantic Bight"
"227",15149121,2,"Georges Bank"
"228",15149121,1,"Offshore"
"229",15149121,4,"Mid-Atlantic Bight"
"230",15149335,6,"Maine"
"231",15149335,3,"Gulf of Maine"
"232",15149335,9,"New Hampshire"
"233",15149335,2,"Georges Bank"
"234",15149335,7,"Massachusetts-Gulf of Maine"
"235",15149335,1,"Offshore"
"236",15149335,8,"Massachusetts-Virginian"
"237",15149335,11,"Rhode Island"
"238",15149335,4,"Mid-Atlantic Bight"
"239",15149335,5,"Connecticut"
"240",15149335,10,"New York"
"241",153538,6,"Maine"
"242",153538,3,"Gulf of Maine"
"243",153538,9,"New Hampshire"
"244",153538,7,"Massachusetts-Gulf of Maine"
"245",153538,2,"Georges Bank"
"246",153538,8,"Massachusetts-Virginian"
"247",153538,11,"Rhode Island"
"248",153538,4,"Mid-Atlantic Bight"
"249",153538,5,"Connecticut"
"250",153538,10,"New York"
"251",15421,6,"Maine"
"252",15421,3,"Gulf of Maine"
"253",15421,9,"New Hampshire"
"254",15421,2,"Georges Bank"
"255",15421,7,"Massachusetts-Gulf of Maine"
"256",15421,1,"Offshore"
"257",15421,8,"Massachusetts-Virginian"
"258",15421,11,"Rhode Island"
"259",15421,4,"Mid-Atlantic Bight"
"260",15421,5,"Connecticut"
"261",15421,10,"New York"
"262",154624,7,"Massachusetts-Gulf of Maine"
"263",154624,8,"Massachusetts-Virginian"
"264",154624,2,"Georges Bank"
"265",154624,11,"Rhode Island"
"266",154624,4,"Mid-Atlantic Bight"
"267",154624,5,"Connecticut"
"268",154624,10,"New York"
"269",154624,1,"Offshore"
"270",154712,2,"Georges Bank"
"271",154712,1,"Offshore"
"272",154712,4,"Mid-Atlantic Bight"
"273",154729,3,"Gulf of Maine"
"274",154729,6,"Maine"
"275",154729,9,"New Hampshire"
"276",154729,2,"Georges Bank"
"277",154729,7,"Massachusetts-Gulf of Maine"
"278",154729,1,"Offshore"
"279",154729,8,"Massachusetts-Virginian"
"280",154729,11,"Rhode Island"
"281",154729,4,"Mid-Atlantic Bight"
"282",154729,5,"Connecticut"
"283",154729,10,"New York"
"284",154767,11,"Rhode Island"
"285",154767,4,"Mid-Atlantic Bight"
"286",154767,5,"Connecticut"
"287",154767,10,"New York"
"288",154767,1,"Offshore"
"289",154807,6,"Maine"
"290",154807,3,"Gulf of Maine"
"291",154807,9,"New Hampshire"
"292",154807,2,"Georges Bank"
"293",154807,7,"Massachusetts-Gulf of Maine"
"294",154807,1,"Offshore"
"295",154807,8,"Massachusetts-Virginian"
"296",154807,11,"Rhode Island"
"297",154807,4,"Mid-Atlantic Bight"
"298",154807,5,"Connecticut"
