iucn_sid,common,sciname,population,category,neportal,neportal_name
16502093,Blackrim cusk-eel,Lepophidium profundorum,NA,LC,0,
16506725,Spotfin dragonet,Foetorepus agassizii,NA,LC,0,
16506931,Atlantic moonfish,Selene setapinnis,NA,LC,0,
16507307,Lookdown,Selene vomer,NA,LC,0,
16507347,Longfin yellowtail,Seriola rivoliana,NA,LC,0,
16507442,Banded rudderfish,Seriola zonata,NA,LC,0,
16507646,Florida pompano,Trachinotus carolinus,NA,LC,0,
16509126,Snake mackerel,Gempylus serpens,NA,LC,0,
16509242,Black snake mackerel,Nealotus tripes,NA,LC,0,
16509297,Roudi escolar,Promethichthys prometheus,NA,LC,0,
16545046,Great northern tilefish,Lopholatilus chamaeleonticeps,NA,EN,1,Tilefish
16545072,Red goatfish,Mullus auratus,NA,LC,0,
16545086,Spotted goatfish,Pseudupeneus maculatus,NA,LC,0,
16545183,Man-of-war fish,Nomeus gronovii,NA,LC,0,
16545253,Freckled driftfish,Psenes cyanophrys,NA,LC,0,
16545256,Bluefin driftfish,Psenes pellucidus,NA,LC,0,
16750054,Streamer bass,Baldwinella aureorubens,NA,LC,0,
16781113,Red cornetfish,Fistularia petimba,NA,LC,0,
16781124,Cornetfish,Fistularia tabacaria,NA,LC,0,
18123632,Daggertooth,Anotopterus pharao,NA,LC,0,
18123960,Common fangtooth,Anoplogaster cornuta,NA,LC,0,
18124015,Silver spinyfin,Diretmus argenteus,NA,LC,0,
18125776,Abyssal grenadier,Coryphaenoides armatus,NA,LC,0,
18127741,Kroyer's deep-sea angler fish,Ceratias holboelli,NA,LC,0,
18127809,NA,Bufoceratias wedli,NA,LC,0,
18127836,Atlantic footballfish,Himantolophus groenlandicus,NA,LC,0,
18127840,Humpback anglerfish,Melanocetus johnsonii,NA,LC,0,
18128749,Bulbous dreamer,Oneirodes eschrichtii,NA,LC,0,
18128938,Rakery beaconlamp,Lampanyctus macdonaldi,NA,LC,0,
18139045,Pudgy cuskeel,Spectrunculus grandis,NA,LC,0,
18139074,Smalleye smooth-head,Alepocephalus productus,NA,LC,0,
18140291,Blackhead salmon,Narcetes stomias,NA,LC,0,
18140358,Grey's deepsea smelt,Bathylagichthys greyae,NA,LC,0,
18140736,Longsnout blacksmelt,Dolicholagus longirostris,NA,LC,0,
18155920,Barrel-eye,Opisthoproctus soleatus,NA,LC,0,
18155946,Maul's searsid,Maulisia mauli,NA,LC,0,
18155949,Multipore searsid,Normichthys operosus,NA,LC,0,
18158583,Black gemfish,Nesiarchus nasutus,NA,LC,0,
18180983,Snubnose eelpout,Pachycara bulbiceps,NA,LC,0,
18227109,Bobtail eel,Cyema atrum,NA,LC,0,
18227119,Pelican eel,Eurypharynx pelecanoides,NA,LC,0,
18252612,Benttooth bristlemouth,Cyclothone acclinidens,NA,LC,0,
18252619,Tan bristlemouth,Cyclothone pallida,NA,LC,0,
18252629,Slender bristlemouth,Cyclothone pseudopallida,NA,LC,0,
18253276,Lovely hatchetfish,Argyropelecus aculeatus,NA,LC,0,
18253282,Hatchetfish,Argyropelecus gigas,NA,LC,0,
18256447,NA,Astronesthes gemmifer,NA,DD,0,
18256458,NA,Bathophilus digitatus,NA,LC,0,
18256490,NA,Bathophilus vaillanti,NA,LC,0,
18256560,Threadfin dragonfish,Echiostoma barbatum,NA,LC,0,
18256943,NA,Eustomias obscurus,NA,LC,0,
18256992,Longbarb dragonfish,Flagellostomias boureei,NA,LC,0,
19922686,Blackspotted stickleback,Gasterosteus wheatlandi,NA,LC,0,
20661580,Longnose greeneye,Parasudis truculenta,NA,LC,0,
20662958,Striped killifish,Fundulus majalis,NA,LC,0,
20663855,Atlantic batfish,Dibranchus atlanticus,NA,LC,0,
20663917,NA,Dibranchus tremendus,NA,LC,0,
20665551,Striped escolar,Diplospinus multistriatus,NA,LC,0,
20666166,Northern sennet,Sphyraena borealis,NA,LC,0,
20885921,Gyre flyingfish,Prognichthys glaphyrae,NA,LC,0,
20885933,NA,Paralepis elongata,NA,LC,0,
21101200,NA,Dolichopteroides binocularis,NA,LC,0,
21108245,Smallscale searsid,Maulisia microlepis,NA,LC,0,
21110276,Velvet whalefish,Barbourisia rufa,NA,LC,0,
21112669,Tube-eye,Stylephorus chordatus,NA,LC,0,
21112867,NA,Caulophryne polynema,NA,LC,0,
21112879,Stargazing seadevil,Ceratias uranoscopus,NA,LC,0,
21112898,NA,Linophryne pennibarbata,NA,LC,0,
21113900,NA,Dysalotus alcocki,NA,LC,0,
21113904,NA,Kali indica,NA,LC,0,
21113907,NA,Kali parri,NA,LC,0,
21132418,Longfin escolar,Scombrolabrax heterolepis,NA,LC,0,
21132859,Sladen's hatchet fish,Argyropelecus sladeni,NA,LC,0,
21132898,NA,Aristostomias polydactylus,NA,LC,0,
21132928,NA,Bathophilus brevis,NA,LC,0,
22679896,NA,Anser caerulescens,NA,LC,0,
22679946,NA,Branta bernicla,NA,LC,0,
22680157,NA,Mareca penelope,NA,LC,0,
22680163,NA,Mareca americana,NA,LC,0,
22680174,NA,Anas rubripes,NA,LC,0,
22680229,NA,Spatula discors,NA,LC,0,
22680247,NA,Spatula clypeata,NA,LC,0,
22680301,NA,Anas acuta,NA,LC,0,
22680364,NA,Aythya valisineria,NA,LC,0,
22680367,NA,Aythya americana,NA,LC,0,
22680391,NA,Aythya fuligula,NA,LC,0,
22680398,NA,Aythya marila,NA,LC,0,
22680402,NA,Aythya affinis,NA,LC,0,
22680405,Common eider,Somateria mollissima,NA,NT,1,
22680409,NA,Somateria spectabilis,NA,LC,0,
22680418,NA,Camptorhynchus labradorius,NA,EX,0,
22680423,NA,Histrionicus histrionicus,NA,LC,0,
22680427,Long-tailed duck,Clangula hyemalis,NA,VU,1,
22680441,Surf scoter,Melanitta perspicillata,NA,LC,1,
22680455,NA,Bucephala clangula,NA,LC,0,
22680462,NA,Bucephala albeola,NA,LC,0,
22680472,NA,Lophodytes cucullatus,NA,LC,0,
22680485,Red-breasted merganser,Mergus serrator,NA,LC,1,
22680492,NA,Mergus merganser,NA,LC,0,
22689714,NA,Chordeiles minor,NA,LC,0,
22693154,NA,Limosa haemastica,NA,LC,0,
22693178,NA,Numenius phaeopus,NA,LC,0,
22693231,NA,Tringa melanoleuca,NA,LC,0,
22693277,NA,Actitis macularius,NA,LC,0,
22693319,NA,Tringa semipalmata,NA,LC,0,
22693336,NA,Arenaria interpres,NA,LC,0,
22693344,NA,Limnodromus griseus,NA,LC,0,
22693363,NA,Calidris canutus,NA,NT,0,
22693369,NA,Calidris alba,NA,LC,0,
22693373,NA,Calidris pusilla,NA,NT,0,
22693383,NA,Calidris ruficollis,NA,NT,0,
22693396,NA,Calidris minutilla,NA,LC,0,
22693399,NA,Calidris fuscicollis,NA,LC,0,
22693408,NA,Calidris melanotos,NA,LC,0,
22693420,NA,Calidris maritima,NA,LC,0,
22693427,NA,Calidris alpina,NA,LC,0,
22693740,NA,Pluvialis dominica,NA,LC,0,
22693749,NA,Pluvialis squatarola,NA,LC,0,
22693764,NA,Charadrius semipalmatus,NA,LC,0,
22693777,NA,Charadrius vociferus,NA,LC,0,
22694160,NA,Catharacta skua,NA,LC,0,
22694240,Pomarine jaeger,Stercorarius pomarinus,NA,LC,1,
22694317,Ring-billed gull,Larus delawarensis,NA,LC,1,
22694324,Great black-backed gull,Larus marinus,NA,LC,1,
22694343,NA,Larus hyperboreus,NA,LC,0,
22694346,NA,Larus glaucoides,NA,LC,0,
22694373,NA,Larus fuscus,NA,LC,0,
22694420,NA,Larus ridibundus,NA,LC,0,
22694432,NA,Larus philadelphia,NA,LC,0,
22694455,NA,Larus atricilla,NA,LC,0,
22694469,NA,Hydrocoloeus minutus,NA,LC,0,
22694479,NA,Xema sabini,NA,LC,0,
22694497,Black-legged kittiwake,Rissa tridactyla,NA,VU,1,
22694524,NA,Hydroprogne caspia,NA,LC,0,
22694542,NA,Thalasseus maximus,NA,LC,0,
22694591,NA,Thalasseus sandvicensis,NA,LC,0,
22694601,Roseate tern,Sterna dougallii,NA,LC,1,
22694623,Common tern,Sterna hirundo,NA,LC,1,
22694629,Arctic tern,Sterna paradisaea,NA,LC,1,
22694673,Least tern,Sternula antillarum,NA,LC,1,
22694730,NA,Onychoprion anaethetus,NA,LC,0,
22694740,NA,Onychoprion fuscatus,NA,LC,0,
22694787,NA,Chlidonias niger,NA,LC,0,
22694837,Dovekie,Alle alle,NA,LC,1,
22694841,Common murre,Uria aalge,NA,LC,1,
22694847,Thick-billed murre,Uria lomvia,NA,LC,1,
22694852,Razorbill,Alca torda,NA,NT,1,
22694856,NA,Pinguinus impennis,NA,EX,0,
22694861,Black guillemot,Cepphus grylle,NA,LC,1,
22694927,Atlantic puffin,Fratercula arctica,NA,VU,1,
22694938,NA,Pandion haliaetus,NA,LC,0,
22695144,NA,Haliaeetus leucocephalus,NA,LC,0,
22696453,NA,Falco columbarius,NA,LC,0,
22696599,NA,Podiceps grisegena,NA,LC,0,
22696645,NA,Phaethon lepturus,NA,LC,0,
22696657,Northern gannet,Morus bassanus,NA,LC,0,
22696776,Double-crested cormorant,Phalacrocorax auritus,NA,LC,1,
22696792,NA,Phalacrocorax carbo,NA,LC,0,
22696931,NA,Egretta tricolor,NA,LC,0,
22696944,NA,Egretta caerulea,NA,LC,0,
22696974,NA,Egretta thula,NA,LC,0,
22696998,NA,Ardea herodias,NA,LC,0,
22697043,NA,Ardea alba,NA,LC,0,
22697203,NA,Nyctanassa violacea,NA,LC,0,
22697211,NA,Nycticorax nycticorax,NA,LC,0,
22697314,NA,Ixobrychus exilis,NA,LC,0,
22697648,NA,Mycteria americana,NA,LC,0,
22697829,Red-throated loon,Gavia stellata,NA,LC,1,
22697842,Common loon,Gavia immer,NA,LC,1,
22697866,Northern fulmar,Fulmarus glacialis,NA,LC,1,
22698088,NA,Pterodroma cahow,NA,EN,0,
22698201,NA,Ardenna gravis,NA,LC,0,
22698209,NA,Ardenna grisea,NA,NT,0,
22698226,Manx shearwater,Puffinus puffinus,NA,LC,1,
22698436,Wilson's storm petrel,Oceanites oceanicus,NA,LC,1,
22698511,NA,Hydrobates leucorhous,NA,VU,0,
22710886,NA,Sturnus vulgaris,NA,LC,0,
22711374,NA,Cistothorus palustris,NA,LC,0,
22717434,NA,Eremophila alpestris,NA,LC,0,
22718575,NA,Anthus rubescens,NA,LC,0,
22721033,NA,Calcarius lapponicus,NA,LC,0,
22721058,NA,Melospiza melodia,NA,LC,0,
22721123,NA,Ammospiza maritima,NA,LC,0,
22721836,NA,Geothlypis trichas,NA,LC,0,
22728182,NA,Butorides striata,NA,LC,0,
22728393,NA,Ammospiza nelsoni,NA,LC,0,
22732425,Black scoter,Melanitta americana,NA,NT,1,
22734194,NA,Melanitta deglandi,NA,LC,0,
22735803,NA,Hydrobates castro,NA,LC,0,
22736135,NA,Pterodroma deserta,NA,VU,0,
42830204,Blackmouth splitfin,Synagrops japonicus,NA,LC,0,
42830251,NA,Chaenophryne ramifera,NA,LC,0,
42830260,NA,Dolopichthys allector,NA,LC,0,
42830277,Short-rod anglerfish,Microlophichthys microlophus,NA,LC,0,
45354964,NA,Falco peregrinus,NA,LC,0,
45959182,Audubon's shearwater,Puffinus lherminieri,NA,LC,1,
46104064,Feather blenny,Hypsoblennius hentz,NA,LC,0,
46105847,Northern kingfish,Menticirrhus saxatilis,NA,LC,1,
46967827,NA,Dermochelys coriacea,Northwest Atlantic Ocean subpopulation,LC,0,
47145877,Spotted codling,Urophycis regia,NA,LC,0,
47147749,Banded drum,Larimus fasciatus,NA,LC,1,
47153800,Northern stargazer,Astroscopus guttatus,NA,LC,0,
47164926,Atlantic sabretooth,Coccorella atlantica,NA,LC,0,
47165067,Luetken's lanternfish,Diaphus luetkeni,NA,LC,0,
47165104,NA,Eustomias bibulbosus,NA,LC,0,
47165158,NA,Eustomias bigelowi,NA,LC,0,
47165363,Yellowstem dragonfish,Eustomias macrurus,NA,LC,0,
47165538,Fierce pike smelt,Sudis atrox,NA,LC,0,
57693936,NA,Bathyonus laticeps,NA,DD,0,
57825241,Toothless smooth-head,Einara edentula,NA,LC,0,
60469175,NA,Abyssobrotula galatheae,NA,LC,0,
60469186,Short snouted lancetfish,Alepisaurus brevirostris,NA,LC,0,
60469232,NA,Aristostomias lunifer,NA,LC,0,
60469264,NA,Bassozetus levistomatus,NA,LC,0,
60469273,NA,Bassozetus normalis,NA,LC,0,
60469323,NA,Bathophilus metallicus,NA,LC,0,
60469670,Horned lantern fish,Centrophryne spinulosa,NA,LC,0,
60469804,Smooth dreamer,Chaenophryne draco,NA,LC,0,
60470092,Problematic lanternfish,Diaphus problematicus,NA,LC,0,
60470322,Digitate cusk eel,Dicrolene introniger,NA,LC,0,
60470361,Lobed dreamer,Dolopichthys pullatus,NA,DD,0,
60470373,NA,Dysalotus oligoscolus,NA,LC,0,
60470418,Twinray dragonfish,Eustomias satterleei,NA,LC,0,
60470422,NA,Eustomias simplex,NA,LC,0,
60470485,NA,Gigantactis gibbsi,NA,LC,0,
60470680,NA,Gigantactis ios,NA,LC,0,
60470683,NA,Gigantactis longicirra,NA,LC,0,
60470687,NA,Gigantactis vanhoeffeni,NA,DD,0,
60470770,Soft leafvent angler,Haplophryne mollis,NA,LC,0,
60470792,NA,Himantolophus albinares,NA,DD,0,
60470817,NA,Himantolophus brevirostris,NA,DD,0,
60470918,NA,Himantolophus rostratus,NA,DD,0,
60471792,NA,Kali kerberti,NA,LC,0,
60471825,NA,Kali macrura,NA,LC,0,
60471855,Mirror lanternfish,Lampadena speculigera,NA,LC,0,
60471860,NA,Lampanyctus photonotus,NA,LC,0,
60471877,NA,Lamprogrammus brunswigi,NA,LC,0,
60471916,Scaleline cusk,Lamprogrammus shcherbachevi,NA,DD,0,
60471934,Plainchin dreamarm,Leptacanthichthys gracilispinis,NA,DD,0,
60473762,NA,Loweina interrupta,NA,LC,0,
60474290,Laura's lantern fish,Loweina rara,NA,LC,0,
60479648,NA,Mentodus facilis,NA,LC,0,
60481712,NA,Nansenia longicauda,NA,DD,0,
60481729,NA,Nansenia megalopa,NA,DD,0,
60481914,Spiny seadevil,Neoceratias spinifer,NA,LC,0,
60482102,NA,Oneirodes macrosteus,NA,LC,0,
60482248,False cusk,Parabrotula plagiophthalma,NA,LC,0,
60482312,NA,Penopus microphthalmus,NA,LC,0,
60482374,NA,Pentherichthys atratus,NA,LC,0,
60482553,NA,Phyllorhinichthys balushkini,NA,LC,0,
60482748,Slender cuskeel,Porogadus miles,NA,LC,0,
60483083,NA,Pseudoscopelus altipinnis,NA,LC,0,
60483092,NA,Pseudoscopelus scutatus,NA,LC,0,
60483211,Glasshead barreleye,Rhynchohyalus natalensis,NA,LC,0,
60483273,Redmouth whalefish,Rondeletia loricata,NA,LC,0,
61934241,NA,Dolopichthys danae,NA,LC,0,
62030590,NA,Larus smithsonianus,NA,LC,0,
62155296,NA,Rallus crepitans,NA,LC,0,
62169677,NA,Fulica americana,NA,LC,0,
67966271,NA,Scopelosaurus smithii,NA,LC,0,
68064267,NA,Macroparalepis brevis,NA,LC,0,
68308810,NA,Hirundichthys volador,NA,LC,0,
82626288,Red-eye round herring,Etrumeus sadina,NA,LC,0,
84131194,NA,Caretta caretta,North West Atlantic subpopulation,LC,0,
91209505,Picked dogfish,Squalus acanthias,NA,VU,0,
