iucn_sid,common,sciname,population,category,neportal,neportal_name
154767,Rough silverside,Membras martinica,NA,LC,0,
154807,Blue runner,Caranx crysos,NA,LC,0,
154815,Richardson's snaggletooth,Astronesthes richardsoni,NA,LC,0,
154820,Long snouted lancetfish,Alepisaurus ferox,NA,LC,0,
154916,Can-opener smoothdream,Chaenophryne longiceps,NA,LC,0,
154928,Shortspine boarfish,Antigonia combatia,NA,LC,0,
154929,NA,Benthocometes robustus,NA,LC,0,
154970,Great pompano,Trachinotus goodei,NA,LC,0,
154998,Half-naked hatchetfish,Argyropelecus hemigymnus,NA,LC,0,
155014,African pompano,Alectis ciliaris,NA,LC,0,
155068,Spearfish remora,Remora brachyptera,NA,LC,0,
155075,White suckerfish,Remora albescens,NA,LC,0,
155081,Barrelfish,Hyperoglyphe perciformis,NA,LC,0,
155096,Atlantic bonito,Sarda sarda,NA,LC,0,
155123,Atlantic herring,Clupea harengus,NA,LC,1,
155259,Atlantic needlefish,Strongylura marina,NA,LC,0,
155265,Western softhead grenadier,Malacocephalus occidentalis,NA,LC,0,
155276,Blackfin tuna,Thunnus atlanticus,NA,LC,0,
161366,Spinytail skate,Bathyraja spinicauda,NA,NT,0,
161371,Bigelow's ray,Rajella bigelowi,NA,LC,0,
161418,Little skate,Leucoraja erinacea,NA,NT,0,1
161419,Rosette skate,Leucoraja garmani,NA,LC,1,
161477,Smooth skate,Malacoraja senta,NA,EN,1,
161491,Shorttail skate,Amblyraja jenseni,NA,LC,0,
161521,Black dogfish,Centroscyllium fabricii,NA,LC,0,
161524,Finetooth shark,Carcharhinus isodon,NA,LC,0,
161542,Starry ray,Amblyraja radiata,NA,VU,0,
161568,NA,Myliobatis freminvillii,NA,DD,0,
161580,NA,Tetronarce nobiliana,NA,DD,0,
161587,Round ray,Rajella fyllae,NA,LC,0,
161631,Winter skate,Leucoraja ocellata,NA,EN,1,
161658,Clearnose skate,Raja eglanteria,NA,LC,1,
161696,Bigeye thresher,Alopias superciliosus,NA,VU,0,
161731,Pelagic stingray,Pteroplatytrygon violacea,NA,LC,0,
165611,Spotfin butterflyfish,Chaetodon ocellatus,NA,LC,0,
165695,Foureye butterflyfish,Chaetodon capistratus,NA,LC,0,
169958,NA,Nephropsis aculeata,NA,LC,0,
169976,NA,Panulirus argus,NA,DD,0,
170009,NA,Homarus americanus,NA,LC,0,
170156,Western Atlantic seabream,Archosargus rhomboidalis,NA,LC,0,
170168,Scup,Stenotomus chrysops,NA,NT,1,
170190,Jolthead porgy,Calamus bajonado,NA,LC,0,
170223,Sheepshead,Archosargus probatocephalus,NA,LC,0,
170250,Pinfish,Lagodon rhomboides,NA,LC,1,
170307,Longbill spearfish,Tetrapturus pfluegeri,NA,LC,0,
170310,Skipjack tuna,Katsuwonus pelamis,NA,LC,0,
170314,Blue marlin,Makaira nigricans,NA,VU,0,
170322,Atlantic white marlin,Kajikia albida,NA,VU,0,
170323,Atlantic Spanish mackerel,Scomberomorus maculatus,NA,LC,0,
170327,Cero,Scomberomorus regalis,NA,LC,0,
170333,Roundscale spearfish,Tetrapturus georgii,NA,DD,0,
170338,Indo-Pacific sailfish,Istiophorus platypterus,NA,LC,0,
170339,King mackerel,Scomberomorus cavalla,NA,LC,0,
170344,Frigate tuna,Auxis thazard,NA,LC,0,
170345,Little tunny,Euthynnus alletteratus,NA,LC,0,
170350,Pompano dolphinfish,Coryphaena equiselis,NA,LC,0,
170354,Atlantic mackerel,Scomber scombrus,NA,LC,1,
170355,Bullet tuna,Auxis rochei,NA,LC,0,
177953,Blue tang surgeonfish,Acanthurus coeruleus,NA,LC,0,
177982,Doctorfish,Acanthurus chirurgus,NA,LC,0,
180271,NA,Molpadiodemas atlanticus,NA,DD,0,
180365,NA,Paelopatides gigantea,NA,DD,0,
180468,NA,Mesothuria lactea,NA,LC,0,
183364,Leatherjacket,Oligoplites saurus,NA,LC,0,
1.85E+05,NA,Stereomastis nana,NA,LC,0,
185012,NA,Stereomastis sculpta,NA,LC,0,
185015,NA,Cardus crucifer,NA,LC,0,
185026,NA,Polycheles typhlops,NA,LC,0,
185924,Bigtooth cardinalfish,Paroncheilus affinis,NA,LC,0,
186005,Skilletfish,Gobiesox strumosus,NA,LC,0,
186010,Seaboard goby,Gobiosoma ginsburgi,NA,LC,0,
186012,Naked goby,Gobiosoma bosc,NA,LC,0,
187448,Cunner,Tautogolabrus adspersus,NA,LC,1,
187479,Tautog,Tautoga onitis,NA,VU,1,
189818,Pacific barracudina,Lestidiops jayakari,NA,LC,0,
189823,NA,Cyprinodon variegatus,NA,LC,0,
189824,Mummichog,Fundulus heteroclitus,NA,LC,0,
190066,NA,Foetorepus goodenbeani,NA,LC,0,
190067,Triplewart seadevil,Cryptopsaras couesii,NA,LC,0,
190069,Beardless codling,Gadella imberbis,NA,LC,0,
190073,Polka-dot ribbonfish,Desmodema polystictum,NA,LC,0,
190080,Marlin sucker,Remora osteochir,NA,LC,0,
190089,NA,Diceratias pileatus,NA,LC,0,
190091,Hakeling,Physiculus fulvus,NA,LC,0,
190099,Atlantic barracudina,Lestidium atlanticum,NA,LC,0,
190100,Benoit's lanternfish,Hygophum benoiti,NA,LC,0,
190101,NA,Sudis hyalina,NA,DD,0,
190116,Luvar,Luvarus imperialis,NA,LC,0,
190117,Mackerel scad,Decapterus macarellus,NA,LC,0,
190118,Pacific hatchet fish,Argyropelecus affinis,NA,LC,0,
190123,Margined flyingfish,Cheilopogon cyanopterus,NA,LC,0,
190133,Veiled anglemouth,Cyclothone microdon,NA,LC,0,
190134,Atlantic menhaden,Brevoortia tyrannus,NA,LC,1,
190137,Parin's spinyfish,Diretmichthys parini,NA,LC,0,
190139,Lesser amberjack,Seriola fasciata,NA,LC,0,
190146,NA,Stemonosudis intermedia,NA,LC,0,
190154,Abyssal assfish,Bassozetus compressus,NA,LC,0,
190157,Whalehead dreamer,Lophodolos acanthognathus,NA,LC,0,
190163,Oceanic two-wing flyingfish,Exocoetus obtusirostris,NA,LC,0,
190168,White mullet,Mugil curema,NA,LC,0,
190176,Longray fangjaw,Bonapartia pedaliota,NA,LC,0,
190183,Sargassumfish,Histrio histrio,NA,LC,0,
190190,Cobia,Rachycentron canadum,NA,LC,0,
190193,Blunthead puffer,Sphoeroides pachygaster,NA,LC,0,
190196,NA,Halosaurus guentheri,NA,LC,0,
190197,Soft lanternfish,Diaphus mollis,NA,LC,0,
190198,Antillean smooth-head,Talismania antillarum,NA,LC,0,
190203,Dana viperfish,Chauliodus danae,NA,LC,0,
190211,Atlantic saury,Scomberesox saurus,NA,LC,0,
190213,Striped cusk-eel,Ophidion marginatum,NA,LC,0,
190221,Dog snapper,Lutjanus jocu,NA,DD,0,
190222,Bay anchovy,Anchoa mitchilli,NA,LC,1,
190229,NA,Astronesthes leucopogon,NA,LC,0,
190232,Deepwater lanternfish,Taaningichthys bathyphilus,NA,LC,0,
190243,Abyssal spiderfish,Bathypterois longipes,NA,LC,0,
190246,Northern puffer,Sphoeroides maculatus,NA,LC,1,
190252,Brown driftfish,Ariomma melanum,NA,LC,0,
190255,Longfinned bullseye,Cookeolus japonicus,NA,LC,0,
190260,Pink flabby whalefish,Cetostoma regani,NA,DD,0,
190261,Topside lampfish,Notolychnus valdiviae,NA,LC,0,
190264,Madeiran smooth-head,Rouleina maderensis,NA,LC,0,
190265,Smallscale smooth-head,Bathytroctes microlepis,NA,LC,0,
190276,Atlantic flyingfish,Cheilopogon melanurus,NA,LC,0,
190278,NA,Dolopichthys longicornis,NA,LC,0,
190279,Bluefish,Pomatomus saltatrix,NA,VU,1,
190282,Koefoed's smooth-head,Bathytroctes macrolepis,NA,LC,0,
190287,Escolar,Lepidocybium flavobrunneum,NA,LC,0,
190292,Mirrorwing flyingfish,Hirundichthys speculiger,NA,LC,0,
190296,Bigeye squaretail,Tetragonurus atlanticus,NA,LC,0,
190298,Starry smooth-head,Photostylus pycnopterus,NA,LC,0,
190300,Bristlemouth,Cyclothone alba,NA,LC,0,
190310,Black swallower,Chiasmodon niger,NA,LC,0,
190311,NA,Nannobrachium lineatum,NA,LC,0,
190314,NA,Diaphus dumerilii,NA,DD,0,
190316,Short fin pearleye,Scopelarchus analis,NA,LC,0,
190317,Spurcheek lanternfish,Bolinichthys photothorax,NA,LC,0,
190321,Garman's lanternfish,Diaphus garmani,NA,LC,0,
190324,Sloane's viperfish,Chauliodus sloani,NA,LC,0,
190330,Atlantic fanfish,Pterycombus brama,NA,LC,0,
190331,NA,Gyrinomimus myersi,NA,DD,0,
190346,Scalloped ribbonfish,Zu cristatus,NA,LC,0,
190349,NA,Cetomimus gillii,NA,DD,0,
190353,Loosejaw,Aristostomias tittmanni,NA,LC,0,
190356,Gilbert's halosaurid fish,Aldrovandia affinis,NA,LC,0,
190361,NA,Astronesthes niger,NA,LC,0,
190362,Guachanche barracuda,Sphyraena guachancho,NA,LC,0,
190369,Noble lampfish,Lampanyctus nobilis,NA,LC,0,
190378,King of herrings,Regalecus glesne,NA,LC,0,
190380,Smooth puffer,Lagocephalus laevigatus,NA,LC,0,
190385,Blue antimora,Antimora rostrata,NA,LC,0,
190388,Bigeye scad,Selar crumenophthalmus,NA,LC,0,
190389,Blackfin waryfish,Scopelosaurus lepidus,NA,LC,0,
190390,Lanternfish,Bolinichthys indicus,NA,LC,0,
190391,Spotfin flyingfish,Cheilopogon furcatus,NA,LC,0,
190393,Live sharksucker,Echeneis naucrates,NA,LC,0,
190394,Big-scale pomfret,Taractichthys longipinnis,NA,LC,0,
190399,Great barracuda,Sphyraena barracuda,NA,LC,0,
190402,Prickly dreamer,Spiniphryne gladisfenae,NA,LC,0,
190403,Longnose tapirfish,Polyacanthonotus challengeri,NA,LC,0,
190407,Permit,Trachinotus falcatus,NA,LC,0,
190414,NA,Ditropichthys storeri,NA,DD,0,
190425,Cocco's lantern fish,Lobianchia gemellarii,NA,LC,0,
190432,Oilfish,Ruvettus pretiosus,NA,LC,0,
190433,NA,Pseudoscopelus scriptus,NA,LC,0,
190447,Fanfin angler,Caulophryne jordani,NA,LC,0,
190452,Pilotfish,Naucrates ductor,NA,LC,0,
190453,Spotted lanternfish,Myctophum punctatum,NA,LC,0,
190458,Crevalle jack,Caranx hippos,NA,LC,0,
190461,Slender suckerfish,Phtheirichthys lineatus,NA,LC,0,
190464,Oceanic puffer,Lagocephalus lagocephalus,NA,LC,0,
190465,NA,Eustomias polyaster,NA,DD,0,
190466,Large-scale lantern fish,Symbolophorus veranyi,NA,LC,0,
190477,NA,Symbolophorus rufinus,NA,LC,0,
190478,Scaled herring,Harengula jaguana,NA,LC,0,
190485,Bigscale deepsea smelt,Melanolagus bericoides,NA,LC,0,
190486,NA,Aldrovandia gracilis,NA,LC,0,
190488,Stubby lanternfish,Bolinichthys supralateralis,NA,LC,0,
190489,NA,Polyacanthonotus merretti,NA,LC,0,
190721,Redfin parrotfish,Sparisoma rubripinne,NA,LC,0,
191197,American halfbeak,Hyporhamphus meeki,NA,LC,0,
191206,American shad,Alosa sapidissima,NA,LC,1,
191214,Shortfinger anchovy,Anchoa lyolepis,NA,LC,0,
191368,Rainwater killifish,Lucania parva,NA,LC,0,
191829,Horse-eye jack,Caranx latus,NA,LC,0,
192937,Pigfish,Orthopristis chrysoptera,NA,LC,1,
192941,Grey snapper,Lutjanus griseus,NA,LC,0,
192942,Striped bass,Morone saxatilis,NA,LC,1,
193264,Silver perch,Bairdiella chrysoura,NA,LC,0,
193266,Spotted weakfish,Cynoscion nebulosus,NA,LC,0,
193267,Spot croaker,Leiostomus xanthurus,NA,LC,1,Spot
193268,Atlantic croaker,Micropogonias undulatus,NA,LC,1,
193269,Black drum,Pogonias cromis,NA,LC,0,
193630,Bandtail puffer,Sphoeroides spengleri,NA,LC,0,
193813,Checkered puffer,Sphoeroides testudineus,NA,LC,0,
194341,Yellowtail snapper,Ocyurus chrysurus,NA,DD,0,
194992,Tripodfish,Bathypterois grallator,NA,LC,0,
194993,Shortnose greeneye,Chlorophthalmus agassizi,NA,LC,0,
194995,Balbo sabretooth,Evermannella balbo,NA,LC,0,
194997,Spotted barracudina,Arctozenus risso,NA,LC,0,
195001,Highfin lizardfish,Bathysaurus mollis,NA,LC,0,
195038,Opah,Lampris guttatus,NA,LC,0,
195075,Southern kingcroaker,Menticirrhus americanus,NA,LC,0,
195091,Atlantic pomfret,Brama brama,NA,LC,0,
195098,Rough scad,Trachurus lathami,NA,LC,0,
195838,Hawaiian halosaurid fish,Aldrovandia phalacra,NA,LC,0,
195840,Abyssal halosaur,Halosauropsis macrochir,NA,LC,0,
195852,Snubnosed spiny eel,Notacanthus chemnitzii,NA,LC,0,
198558,Atlantic bigeye,Priacanthus arenatus,NA,LC,0,
198561,Bermuda sea chub,Kyphosus sectatrix,NA,LC,0,
198566,Tropical two-wing flyingfish,Exocoetus volitans,NA,LC,0,
198571,Rudderfish,Centrolophus niger,NA,LC,0,
198575,Bandwing flyingfish,Cheilopogon exsiliens,NA,LC,0,
198578,Alfonsino,Beryx decadactylus,NA,LC,0,
198579,Mediterranean slimehead,Hoplostethus mediterraneus,NA,LC,0,
198581,Round sardinella,Sardinella aurita,NA,LC,0,
198594,Günther's grenadier,Coryphaenoides guentheri,NA,LC,0,
198595,Mediterranean grenadier,Coryphaenoides mediterraneus,NA,LC,0,
198596,Glasshead grenadier,Hymenocephalus italicus,NA,LC,0,
198597,Common Atlantic grenadier,Nezumia aequalis,NA,LC,0,
198598,Roughtip grenadier,Nezumia sclerorhynchus,NA,LC,0,
198611,Glacier lantern fish,Benthosema glaciale,NA,LC,0,
198612,Madeira lantern fish,Ceratoscopelus maderensis,NA,LC,0,
198613,Spothead lantern fish,Diaphus metopoclampus,NA,LC,0,
198614,Longfin lanternfish,Diogenichthys atlanticus,NA,LC,0,
198615,Electric lantern fish,Electrona risso,NA,LC,0,
198616,Cocco’s lanternfish,Gonichthys cocco,NA,LC,0,
198617,Bermuda lantern fish,Hygophum hygomii,NA,LC,0,
198618,Jewel lanternfish,Lampanyctus crocodilus,NA,LC,0,
198619,Pygmy lanternfish,Lampanyctus pusillus,NA,LC,0,
198620,Dofleini's lantern fish,Lobianchia dofleini,NA,LC,0,
198621,NA,Notoscopelus bolini,NA,LC,0,
198643,Greater amberjack,Seriola dumerili,NA,LC,0,
198650,Whalesucker,Remora australis,NA,LC,0,
198651,Shark sucker,Remora remora,NA,LC,0,
198652,Pencil cardinal,Epigonus denticulatus,NA,LC,0,
198675,Cape fathead,Cubiceps capensis,NA,LC,0,
198716,Smalleye squaretail,Tetragonurus cuvieri,NA,LC,0,
198723,Atlantic soft pout,Melanostigma atlanticum,NA,LC,0,
198757,Garrick,Cyclothone braueri,NA,LC,0,
198762,Snaggletooth,Borostomias antarcticus,NA,LC,0,
