"","state","status","species"
"128","NH","N2N3B,N3N","Calidris canutus"
"129","NY","N2N3B,N3N","Calidris canutus"
"130","RI","S3N","Calidris canutus"
"131","IUCN","LC - Least concern","Calidris canutus"
"132","USA","N2N3B,N3N","Calidris canutus"
"133","CT","N4B,N5N","Calidris alba"
"134","ME","S4N","Calidris alba"
"135","MA","S5N","Calidris alba"
"136","NH","N4B,N5N","Calidris alba"
"137","NY","N4B,N5N","Calidris alba"
"138","RI","N4B,N5N","Calidris alba"
"139","IUCN","LC - Least concern","Calidris alba"
"140","USA","N4B,N5N","Calidris alba"
"141","CT","N5B,N5N","Bucephala albeola"
"142","ME","S5N","Bucephala albeola"
"143","MA","S5N","Bucephala albeola"
"144","NH","N5B,N5N","Bucephala albeola"
"145","NY","N5B,N5N","Bucephala albeola"
"146","RI","N5B,N5N","Bucephala albeola"
"147","IUCN","LC - Least concern","Bucephala albeola"
"148","USA","N5B,N5N","Bucephala albeola"
"149","CT","N5B,N5N","Aythya marila"
"150","ME","S3S4N","Aythya marila"
"151","MA","S5N","Aythya marila"
"152","NH","N5B,N5N","Aythya marila"
"153","NY","N5B,N5N","Aythya marila"
"154","RI","N5B,N5N","Aythya marila"
"155","IUCN","LC - Least concern","Aythya marila"
"156","USA","N5B,N5N","Aythya marila"
"157","IUCN","LC - Least concern","Aythya fuligula"
"158","USA","NNA","Aythya fuligula"
"159","CT","N5B,N5N","Aythya americana"
"160","ME","N5B,N5N","Aythya americana"
"161","MA","S3N","Aythya americana"
"162","NY","N5B,N5N","Aythya americana"
"163","RI","S2N","Aythya americana"
"164","IUCN","LC - Least concern","Aythya americana"
"165","USA","N5B,N5N","Aythya americana"
"166","CT","N5B,N5N","Aythya affinis"
"167","ME","S1S3N","Aythya affinis"
"168","MA","S5N","Aythya affinis"
"169","NH","N5B,N5N","Aythya affinis"
"170","RI","N5B,N5N","Aythya affinis"
"171","IUCN","LC - Least concern","Aythya affinis"
"172","USA","N5B,N5N","Aythya affinis"
"173","CT","N5B,N5N","Arenaria interpres"
"174","ME","S4N","Arenaria interpres"
"175","MA","S4N","Arenaria interpres"
"176","NH","N5B,N5N","Arenaria interpres"
"177","NY","N5B,N5N","Arenaria interpres"
"178","RI","S4N","Arenaria interpres"
"179","IUCN","LC - Least concern","Arenaria interpres"
"180","USA","N5B,N5N","Arenaria interpres"
"181","CT","N5B,N5N","Anser caerulescens"
"182","ME","S3N","Anser caerulescens"
"183","MA","S4N","Anser caerulescens"
"184","NH","N5B,N5N","Anser caerulescens"
"185","NY","N5B,N5N","Anser caerulescens"
"186","RI","N5B,N5N","Anser caerulescens"
"187","IUCN","LC - Least concern","Anser caerulescens"
"188","USA","N5B,N5N","Anser caerulescens"
"189","CT","S3B,S4N","Anas rubripes"
"190","ME","S5B,S5N","Anas rubripes"
"191","MA","S4B,S5N","Anas rubripes"
"192","NH","S4","Anas rubripes"
"193","NY","S3B,SNRN","Anas rubripes"
"194","RI","S4B,S4N","Anas rubripes"
"195","IUCN","LC - Least concern","Anas rubripes"
"196","USA","N5B,N5N","Anas rubripes"
"197","CT","N5B,N5N","Anas acuta"
"198","ME","S1B,S3S4N","Anas acuta"
"199","MA","S1B,S5M","Anas acuta"
"200","NH","N5B,N5N","Anas acuta"
"201","NY","S1B,S3N","Anas acuta"
"202","RI","N5B,N5N","Anas acuta"
"203","IUCN","LC - Least concern","Anas acuta"
"204","USA","N5B,N5N","Anas acuta"
"205","CT","S5B","Actitis macularius"
"206","ME","S5B","Actitis macularius"
"207","MA","S4B,S5N","Actitis macularius"
"208","NH","S5B","Actitis macularius"
"209","NY","S5B","Actitis macularius"
"210","RI","S4B,S4N","Actitis macularius"
"211","IUCN","LC - Least concern","Actitis macularius"
"212","USA","N5B,N5N","Actitis macularius"
"213","CT","S2B","Ardea alba"
"214","ME","S1?B,S3N","Ardea alba"
"215","MA","S2B,S4N","Ardea alba"
"216","NH","N5B,N5N","Ardea alba"
"217","NY","S4","Ardea alba"
"218","RI","S1B","Ardea alba"
"219","IUCN","LC - Least concern","Ardea alba"
"220","USA","N5B,N5N","Ardea alba"
"221","CT","N5B,N5N","Bucephala clangula"
"222","ME","S5B,S5N","Bucephala clangula"
"223","MA","S5N","Bucephala clangula"
"224","NH","S3B","Bucephala clangula"
"225","NY","S3,SNRN","Bucephala clangula"
"226","RI","N5B,N5N","Bucephala clangula"
"227","IUCN","LC - Least concern","Bucephala clangula"
"228","USA","N5B,N5N","Bucephala clangula"
"229","CT","S4B","Ardea herodias"
"230","ME","S4B","Ardea herodias"
"231","MA","S4B,S5N","Ardea herodias"
"232","NH","S4B","Ardea herodias"
"233","NY","S5","Ardea herodias"
"234","RI","S2B","Ardea herodias"
"235","IUCN","LC - Least concern","Ardea herodias"
"236","USA","N5B,N5N","Ardea herodias"
"237","IUCN","LC - Least concern","Calidris ruficollis"
"238","USA","N3B","Calidris ruficollis"
"239","CT","N5B","Calidris pusilla"
"240","ME","S4S5N","Calidris pusilla"
"241","MA","S5N","Calidris pusilla"
"242","NH","N5B","Calidris pusilla"
"243","NY","N5B","Calidris pusilla"
"244","RI","N5B","Calidris pusilla"
"245","IUCN","NT - Near threatened","Calidris pusilla"
"246","USA","N5B","Calidris pusilla"
"247","CT","N5B,N5N","Melanitta americana"
"248","ME","S3S4N","Melanitta americana"
"249","MA","S5N","Melanitta americana"
"250","NH","N5B,N5N","Melanitta americana"
"251","NY","N5B,N5N","Melanitta americana"
"252","RI","N5B,N5N","Melanitta americana"
"253","IUCN","NT - Near threatened","Melanitta americana"
"254","USA","N5B,N5N","Melanitta americana"
"255","CT","N5B,N5N","Calidris minutilla"
"256","ME","S4S5N","Calidris minutilla"
"257","MA","S5N","Calidris minutilla"
"258","NH","N5B,N5N","Calidris minutilla"
"259","NY","N5B,N5N","Calidris minutilla"
"260","RI","N5B,N5N","Calidris minutilla"
"261","IUCN","LC - Least concern","Calidris minutilla"
"262","USA","N5B,N5N","Calidris minutilla"
"263","CT","N5B,N5N","Larus hyperboreus"
"264","ME","S1N","Larus hyperboreus"
"265","MA","S1N","Larus hyperboreus"
"266","NH","N5B,N5N","Larus hyperboreus"
"267","NY","N5B,N5N","Larus hyperboreus"
"268","RI","S2N","Larus hyperboreus"
"269","IUCN","LC - Least concern","Larus hyperboreus"
"270","USA","N5B,N5N","Larus hyperboreus"
"271","CT","N3B","Calidris fuscicollis"
"272","ME","S2S3N","Calidris fuscicollis"
"273","MA","S3N","Calidris fuscicollis"
"274","NH","N3B","Calidris fuscicollis"
"275","NY","N3B","Calidris fuscicollis"
"276","RI","S3N","Calidris fuscicollis"
"277","IUCN","LC - Least concern","Calidris fuscicollis"
"278","USA","N3B","Calidris fuscicollis"
"279","CT","N5B,N5N","Calidris alpina"
"280","ME","S3N","Calidris alpina"
"281","MA","S5N","Calidris alpina"
"282","NH","N5B,N5N","Calidris alpina"
"283","NY","N5B,N5N","Calidris alpina"
"284","RI","N5B,N5N","Calidris alpina"
"285","IUCN","LC - Least concern","Calidris alpina"
"286","USA","N5B,N5N","Calidris alpina"
"287","CT","N5B,N5N","Branta bernicla"
"288","ME","S3S4N","Branta bernicla"
"289","MA","S4N","Branta bernicla"
