Layer,Description,Target,Source
Jobs,National Ocean Economics Program (NOEP) Ocean Economy data for number of jobs that directly or indirectly depend upon the ocean,Annual job growth in ocean related sectors is equal to or greater than the national annual average job growth,"<a href=""http://www.oceaneconomics.org/"">National Ocean Economics Program</a>"
Wages,National Ocean Economics Program (NOEP) Ocean Economy data for average wages associated with jobs that directly or indirectly depend upon the ocean,Ocean related sectors’ wages are growing at least 3.5% per year in accordance with the Nominal Wage Growth Target set by the US Federal Reserve ,"<a href=""http://www.oceaneconomics.org/"">National Ocean Economics Program</a>"
