rgn_name,year,wqi_score
Connecticut,2006,100
Connecticut,2010,100
Maine,2006,99.9591719735917
Maine,2010,91.86926123164969
Massachusetts-Gulf of Maine,2006,100
Massachusetts-Gulf of Maine,2010,100
Massachusetts-Virginian,2006,100
Massachusetts-Virginian,2010,100
New Hampshire,2006,77.77777777777779
New Hampshire,2010,90.78449956696383
New York,2006,100
Rhode Island,2006,98.53243964869566
Rhode Island,2010,100
