rgn_name,year,wqi_score
Connecticut,2006,100
Connecticut,2010,100
Maine,2006,98.83396837850806
Maine,2010,100
Massachusetts-Gulf of Maine,2006,100
Massachusetts-Gulf of Maine,2010,100
Massachusetts-Virginian,2006,100
Massachusetts-Virginian,2010,99.5190747672074
New Hampshire,2006,76.36363636363636
New Hampshire,2010,100
New York,2006,93.91938025200425
New York,2010,100
Rhode Island,2006,92.69011098828538
Rhode Island,2010,100
