rgn_id,mean,year
1,0.04270924851460261,2004
2,0.32882964201025083,2004
3,0.4070536317404814,2004
4,0.36059244225280046,2004
5,0.17440770031580477,2004
6,0.20291126945061894,2004
7,0.5455094667649949,2004
8,0.4168169428556755,2004
9,0.5245457929743211,2004
10,0.4462362914484675,2004
11,0.6305802922913385,2004
1,0.039712226507301024,2005
2,0.33248930265480114,2005
3,0.40060051779698697,2005
4,0.3522905010412006,2005
5,0.16533492449935236,2005
6,0.199129284734535,2005
7,0.5221924536520415,2005
8,0.4030868096630711,2005
9,0.5098187805569104,2005
10,0.4368096734799895,2005
11,0.618940283355335,2005
1,0.03857217233619473,2006
2,0.3407336734115222,2006
3,0.3840181980627879,2006
4,0.3641099262470421,2006
5,0.16475738507451107,2006
6,0.1869660454079781,2006
7,0.47563943912585605,2006
8,0.3908561815206114,2006
9,0.4540030941114587,2006
10,0.4302099640662314,2006
11,0.6271124013783316,2006
1,0.037965755294228916,2007
2,0.34174421770940666,2007
3,0.3620937302539013,2007
4,0.36350758853649656,2007
5,0.16162561224179064,2007
6,0.18278978055842246,2007
7,0.42683124487442853,2007
8,0.37007688691364043,2007
9,0.4228692961446309,2007
10,0.42872516711325515,2007
11,0.6259497997244825,2007
1,0.03465011660048173,2008
2,0.32144777063427116,2008
3,0.3439673713884674,2008
4,0.353664803602664,2008
5,0.14581060561860074,2008
6,0.18592584191651107,2008
7,0.404875350670029,2008
8,0.36148652603328335,2008
9,0.4151797794689566,2008
10,0.39618759766195377,2008
11,0.6042123886103206,2008
1,0.031233543353357245,2009
2,0.30291145465792024,2009
3,0.3318067965181303,2009
4,0.33581760227038243,2009
5,0.1229990773563478,2009
6,0.16946376475063857,2009
7,0.38616518816271733,2009
8,0.36248829244741065,2009
9,0.3852185360287542,2009
10,0.34631191623105106,2009
11,0.5684343004690706,2009
1,0.028950935965416584,2010
2,0.28825430253563106,2010
3,0.3231450844355034,2010
4,0.32047555745215184,2010
5,0.10593976976138586,2010
6,0.18420703893052917,2010
7,0.37341568215523274,2010
8,0.3569565952185671,2010
9,0.3909760269909929,2010
10,0.3364805434751624,2010
11,0.5696374937629567,2010
1,0.027482966033897813,2011
2,0.2769999062068725,2011
3,0.3080661453476947,2011
4,0.32180310136538703,2011
5,0.09064841754866619,2011
6,0.1885848814716518,2011
7,0.35137021241567623,2011
8,0.34869492743099745,2011
9,0.443414604596499,2011
10,0.33008049279962753,2011
11,0.574783156373028,2011
1,0.02550442589133687,2012
2,0.2763482820089568,2012
3,0.31628216783983965,2012
4,0.33978026452905213,2012
5,0.08357233905979822,2012
6,0.17041095518660535,2012
7,0.3547415450571723,2012
8,0.37445886857150645,2012
9,0.44540685827785964,2012
10,0.322420624933829,2012
11,0.5891156335386333,2012
1,0.024196263440513337,2013
2,0.27653427319395124,2013
3,0.3157889971922219,2013
4,0.34572964786251165,2013
5,0.07976349643662783,2013
6,0.143840866569278,2013
7,0.33718041579819613,2013
8,0.36805729162626455,2013
9,0.4026195080266834,2013
10,0.31536554169097236,2013
11,0.597279505861148,2013
1,0.023995578528862364,2014
2,0.26781607394916407,2014
3,0.3113627245209623,2014
4,0.3556120128989316,2014
5,0.07550317767003538,2014
6,0.11797236340107868,2014
7,0.29726920818133235,2014
8,0.3920358807152631,2014
9,0.33760089801866455,2014
10,0.3039116842190574,2014
11,0.5902110673797915,2014
1,0.023521421576237666,2015
2,0.26336264761886,2015
3,0.32894152822206135,2015
4,0.35185429123059436,2015
5,0.07103739803630515,2015
6,0.09833148226557785,2015
7,0.27316114012547343,2015
8,0.41087355420945876,2015
9,0.2868112296202762,2015
10,0.28479966852106314,2015
11,0.5710535615171626,2015
1,0.02351155833187926,2016
2,0.2491510623008855,2016
3,0.3362684248384394,2016
4,0.3400582584522285,2016
5,0.06875982300067941,2016
6,0.08615669216253197,2016
7,0.26118801368124844,2016
8,0.40269997031569565,2016
9,0.2559388569098408,2016
10,0.2749822450409585,2016
11,0.5637593575036006,2016
1,0.02294659191155719,2017
2,0.22798647022833435,2017
3,0.34544901086794755,2017
4,0.33222258403447236,2017
5,0.0655527040309517,2017
6,0.08195551961382702,2017
7,0.24458214877109297,2017
8,0.38558862766363566,2017
9,0.24385030837045552,2017
10,0.26728369304761024,2017
11,0.5624570737526414,2017
