rgn_name,year,wqi_score,score,gapfilled
Connecticut,2006,57.323615716425884,57.323615716425884,0
Connecticut,2007,NA,58.46075413729971,1
Connecticut,2008,NA,59.59789255817354,1
Connecticut,2009,NA,60.735030979047366,1
Connecticut,2010,61.87216939992119,61.87216939992119,0
Connecticut,2011,NA,61.87216939992119,1
Connecticut,2012,NA,61.87216939992119,1
Connecticut,2013,NA,61.87216939992119,1
Connecticut,2014,NA,61.87216939992119,1
Connecticut,2015,NA,61.87216939992119,1
Connecticut,2016,NA,61.87216939992119,1
Connecticut,2017,NA,61.87216939992119,1
Maine,2006,98.91607487970478,98.91607487970478,0
Maine,2007,NA,97.30467830327756,1
Maine,2008,NA,95.69328172685033,1
Maine,2009,NA,94.08188515042309,1
Maine,2010,92.47048857399587,92.47048857399587,0
Maine,2011,NA,92.47048857399587,1
Maine,2012,NA,92.47048857399587,1
Maine,2013,NA,92.47048857399587,1
Maine,2014,NA,92.47048857399587,1
Maine,2015,NA,92.47048857399587,1
Maine,2016,NA,92.47048857399587,1
Maine,2017,NA,92.47048857399587,1
New Hampshire,2006,68.75,68.75,0
New Hampshire,2007,NA,68.5348684278862,1
New Hampshire,2008,NA,68.31973685577239,1
New Hampshire,2009,NA,68.1046052836586,1
New Hampshire,2010,67.8894737115448,67.8894737115448,0
New Hampshire,2011,NA,67.8894737115448,1
New Hampshire,2012,NA,67.8894737115448,1
New Hampshire,2013,NA,67.8894737115448,1
New Hampshire,2014,NA,67.8894737115448,1
New Hampshire,2015,NA,67.8894737115448,1
New Hampshire,2016,NA,67.8894737115448,1
New Hampshire,2017,NA,67.8894737115448,1
New York,2006,75.13317848751296,75.13317848751296,0
New York,2007,NA,74.65551657794268,1
New York,2008,NA,74.17785466837239,1
New York,2009,NA,73.7001927588021,1
New York,2010,73.22253084923182,73.22253084923182,0
New York,2011,NA,73.22253084923182,1
New York,2012,NA,73.22253084923182,1
New York,2013,NA,73.22253084923182,1
New York,2014,NA,73.22253084923182,1
New York,2015,NA,73.22253084923182,1
New York,2016,NA,73.22253084923182,1
New York,2017,NA,73.22253084923182,1
Rhode Island,2006,78.06857696576634,78.06857696576634,0
Rhode Island,2007,NA,81.7487950643569,1
Rhode Island,2008,NA,85.42901316294746,1
Rhode Island,2009,NA,89.10923126153801,1
Rhode Island,2010,92.78944936012857,92.78944936012857,0
Rhode Island,2011,NA,92.78944936012857,1
Rhode Island,2012,NA,92.78944936012857,1
Rhode Island,2013,NA,92.78944936012857,1
Rhode Island,2014,NA,92.78944936012857,1
Rhode Island,2015,NA,92.78944936012857,1
Rhode Island,2016,NA,92.78944936012857,1
Rhode Island,2017,NA,92.78944936012857,1
