FMP,stock,location,Jurisdiction,FSSI,year,rgn_id,source,stock_location,rgn_name
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2005,9,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,New Hampshire
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2005,12,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Northeast
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,1,NMFS,windowpane Gulf of Maine / Georges Bank,Offshore
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,2,NMFS,windowpane Gulf of Maine / Georges Bank,Georges Bank
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,3,NMFS,windowpane Gulf of Maine / Georges Bank,Gulf of Maine
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,6,NMFS,windowpane Gulf of Maine / Georges Bank,Maine
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,7,NMFS,windowpane Gulf of Maine / Georges Bank,Massachusetts-North
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,8,NMFS,windowpane Gulf of Maine / Georges Bank,Massachusetts-South
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,9,NMFS,windowpane Gulf of Maine / Georges Bank,New Hampshire
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2005,12,NMFS,windowpane Gulf of Maine / Georges Bank,Northeast
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,1,NMFS,windowpane Southern New England / Mid-Atlantic,Offshore
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,2,NMFS,windowpane Southern New England / Mid-Atlantic,Georges Bank
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,4,NMFS,windowpane Southern New England / Mid-Atlantic,Mid-Atlantic Bight
