state,year,rgn_id,rgn_name,rgn_employment,coast_jobs_3yr,coast_jobs_prev_3yr,coast_job_growth
Connecticut,2005,5,Connecticut,43084,43084,NA,NA
Maine,2005,6,Maine,42419,42419,NA,NA
New York,2005,10,New York,245052,245052,NA,NA
Rhode Island,2005,11,Rhode Island,38578,38578,NA,NA
Massachusetts,2005,7,Massachusetts-North,47390.5,47390.5,NA,NA
Massachusetts,2005,8,Massachusetts-South,18404.5,18404.5,NA,NA
New Hampshire,2005,9,New Hampshire,7710,7710,NA,NA
NA,2005,12,Northeast,442638,442638,NA,NA
Connecticut,2006,5,Connecticut,43103,43093.5,43084,NA
Maine,2006,6,Maine,41633,42026,42419,NA
New York,2006,10,New York,250999,248025.5,245052,NA
Rhode Island,2006,11,Rhode Island,38633,38605.5,38578,NA
Massachusetts,2006,7,Massachusetts-North,46453,46921.75,47390.5,NA
Massachusetts,2006,8,Massachusetts-South,18490,18447.25,18404.5,NA
New Hampshire,2006,9,New Hampshire,8240,7975,7710,NA
NA,2006,12,Northeast,447551,445094.5,442638,NA
Connecticut,2007,5,Connecticut,43847,43344.666666666664,43093.5,NA
Maine,2007,6,Maine,41967,42006.333333333336,42026,NA
New York,2007,10,New York,262917,252989.33333333334,248025.5,NA
Rhode Island,2007,11,Rhode Island,39611,38940.666666666664,38605.5,NA
Massachusetts,2007,7,Massachusetts-North,49305.5,47716.333333333336,46921.75,NA
Massachusetts,2007,8,Massachusetts-South,21548.5,19481,18447.25,NA
New Hampshire,2007,9,New Hampshire,7932,7960.666666666667,7975,NA
NA,2007,12,Northeast,467128,452439,445094.5,NA
Connecticut,2008,5,Connecticut,44952,43967.333333333336,43344.666666666664,0.037082609163757274
Maine,2008,6,Maine,43587,42395.666666666664,42006.333333333336,0.03762924638348175
New York,2008,10,New York,271791,261902.33333333334,252989.33333333334,0.07431802131315157
Rhode Island,2008,11,Rhode Island,39495,39246.333333333336,38940.666666666664,0.014235332386023147
Massachusetts,2008,7,Massachusetts-North,49842,48533.5,47716.333333333336,0.04454798845957697
Massachusetts,2008,8,Massachusetts-South,20145,20061.166666666668,19481,0.034084492582516335
New Hampshire,2008,9,New Hampshire,7601,7924.333333333333,7960.666666666667,-0.045180470647349535
NA,2008,12,Northeast,477413,464030.6666666667,452439,0.055198601358415145
Connecticut,2009,5,Connecticut,44623,44474,43967.333333333336,0.014912586617336965
Maine,2009,6,Maine,42564,42706,42395.666666666664,0.003970531579485348
New York,2009,10,New York,270045,268251,261902.33333333334,0.031090470111631907
Rhode Island,2009,11,Rhode Island,37585,38897,39246.333333333336,-0.042330918387280425
Massachusetts,2009,7,Massachusetts-North,48726,49291.166666666664,48533.5,0.003966332533198669
Massachusetts,2009,8,Massachusetts-South,20094,20595.833333333332,20061.166666666668,0.0016366612111291534
New Hampshire,2009,9,New Hampshire,7338,7623.666666666667,7924.333333333333,-0.07399150296554913
NA,2009,12,Northeast,470975,471838.6666666667,464030.6666666667,0.014965246549796918
Connecticut,2010,5,Connecticut,44638,44737.666666666664,44474,0.003687547780725886
Maine,2010,6,Maine,43712,43287.666666666664,42706,0.023556408935512474
New York,2010,10,New York,281612,274482.6666666667,268251,0.049807829234560064
Rhode Island,2010,11,Rhode Island,37649,38243,38897,-0.032084736612078
Massachusetts,2010,7,Massachusetts-North,49830,49466,49291.166666666664,0.010931640895765593
Massachusetts,2010,8,Massachusetts-South,19049,19762.666666666668,20595.833333333332,-0.07510418774023864
New Hampshire,2010,9,New Hampshire,7491,7476.666666666667,7623.666666666667,-0.017401950067771454
NA,2010,12,Northeast,483981,477456.3333333333,471838.6666666667,0.025734078597486665
Connecticut,2011,5,Connecticut,45906,45055.666666666664,44737.666666666664,0.026115204935438507
Maine,2011,6,Maine,45007,43761,43287.666666666664,0.039718780561052824
New York,2011,10,New York,297887,283181.3333333333,274482.6666666667,0.08526707211627205
Rhode Island,2011,11,Rhode Island,38370,37868,38243,0.003320869178673247
Massachusetts,2011,7,Massachusetts-North,53474.5,50676.833333333336,49466,0.08103545869890438
Massachusetts,2011,8,Massachusetts-South,18851.5,19331.5,19762.666666666668,-0.04610545135609234
New Hampshire,2011,9,New Hampshire,7293,7374,7476.666666666667,-0.024565314311190356
NA,2011,12,Northeast,506789,487248.3333333333,477456.3333333333,0.061435286577690595
Connecticut,2012,5,Connecticut,47551,46031.666666666664,45055.666666666664,0.05538334060828465
Maine,2012,6,Maine,45654,44791,43761,0.043257695208061886
New York,2012,10,New York,313619,297706,283181.3333333333,0.10748472121514618
Rhode Island,2012,11,Rhode Island,39650,38556.333333333336,37868,0.04705820217597978
Massachusetts,2012,7,Massachusetts-North,54515,52606.5,50676.833333333336,0.07573809202758652
Massachusetts,2012,8,Massachusetts-South,19444,19114.833333333332,19331.5,0.005819517368026217
New Hampshire,2012,9,New Hampshire,8271,7685,7374,0.12164361269324653
NA,2012,12,Northeast,528704,506491.3333333333,487248.3333333333,0.08508118721117564
Connecticut,2013,5,Connecticut,50410,47955.666666666664,46031.666666666664,0.09511568123393332
Maine,2013,6,Maine,46319,45660,44791,0.03411399611529098
New York,2013,10,New York,328718,313408,297706,0.10416988572618613
Rhode Island,2013,11,Rhode Island,41043,39687.666666666664,38556.333333333336,0.06449437619414011
Massachusetts,2013,7,Massachusetts-North,55314.5,54434.666666666664,52606.5,0.0514765285658616
Massachusetts,2013,8,Massachusetts-South,18855.5,19050.333333333332,19114.833333333332,-0.013567125007629244
New Hampshire,2013,9,New Hampshire,8410,7991.333333333333,7685,0.09433962264150941
NA,2013,12,Northeast,549070,528187.6666666666,506491.3333333333,0.0840659333427225
Connecticut,2014,5,Connecticut,50871,49610.666666666664,47955.666666666664,0.060792259517471026
Maine,2014,6,Maine,47189,46387.333333333336,45660,0.03348664038545768
New York,2014,10,New York,348453,330263.3333333333,313408,0.11181909842760884
Rhode Island,2014,11,Rhode Island,42252,40981.666666666664,39687.666666666664,0.06461285201951905
Massachusetts,2014,7,Massachusetts-North,57202.5,55677.333333333336,54434.666666666664,0.050846886787831336
Massachusetts,2014,8,Massachusetts-South,20199.5,19499.666666666668,19050.333333333332,0.060322654021802036
New Hampshire,2014,9,New Hampshire,8348,8343,7991.333333333333,0.044631684324685006
NA,2014,12,Northeast,574515,550763,528187.6666666666,0.08770998691752885
Connecticut,2015,5,Connecticut,51870,51050.333333333336,49610.666666666664,0.04554128144485059
Maine,2015,6,Maine,48454,47320.666666666664,46387.333333333336,0.04455239217602491
New York,2015,10,New York,364082,347084.3333333333,330263.3333333333,0.10239909567113115
Rhode Island,2015,11,Rhode Island,42876,42057,40981.666666666664,0.04622392126560659
Massachusetts,2015,7,Massachusetts-North,61765,58094,55677.333333333336,0.10933833037980745
Massachusetts,2015,8,Massachusetts-South,22178,20411,19499.666666666668,0.13735277526111545
New Hampshire,2015,9,New Hampshire,8764,8507.333333333334,8343,0.05046146470094692
NA,2015,12,Northeast,599989,574524.6666666666,550763,0.08937782676033068
Connecticut,2016,5,Connecticut,54570,52437,51050.333333333336,0.06894502810951275
Maine,2016,6,Maine,49795,48479.333333333336,47320.666666666664,0.05228864062213834
New York,2016,10,New York,371853,361462.6666666667,347084.3333333333,0.07136209931688087
Rhode Island,2016,11,Rhode Island,43568,42898.666666666664,42057,0.035927431818722155
Massachusetts,2016,7,Massachusetts-North,63515.5,60827.666666666664,58094,0.09332289048783005
Massachusetts,2016,8,Massachusetts-South,21077.5,21151.666666666668,20411,0.032653961099407214
New Hampshire,2016,9,New Hampshire,9270,8794,8507.333333333334,0.08964814669696719
NA,2016,12,Northeast,613649,596051,574524.6666666666,0.06809861369456738
