"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"72","atlantic herring","Clupea harengus",NA,NA,0,3,"Gulf of Maine",NA
"73","atlantic herring","Clupea harengus",NA,NA,0,6,"Maine",NA
"74","atlantic herring","Clupea harengus",NA,NA,0,9,"New Hampshire",NA
"75","atlantic herring","Clupea harengus",NA,NA,0,2,"Georges Bank",NA
"76","atlantic herring","Clupea harengus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"77","atlantic herring","Clupea harengus","RI","NNR",0,11,"Rhode Island",NA
"78","atlantic herring","Clupea harengus",NA,NA,0,8,"Massachusetts-Virginian",NA
"79","atlantic herring","Clupea harengus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"80","atlantic herring","Clupea harengus","NY","NNR",0,10,"New York",NA
"81","atlantic herring","Clupea harengus",NA,NA,0,1,"Offshore",NA
"82","atlantic mackerel","Scomber scombrus",NA,NA,0,3,"Gulf of Maine",NA
"83","atlantic mackerel","Scomber scombrus",NA,NA,0,6,"Maine",NA
"84","atlantic mackerel","Scomber scombrus",NA,NA,0,9,"New Hampshire",NA
"85","atlantic mackerel","Scomber scombrus",NA,NA,0,2,"Georges Bank",NA
"86","atlantic mackerel","Scomber scombrus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"87","atlantic mackerel","Scomber scombrus",NA,NA,0,1,"Offshore",NA
"88","atlantic mackerel","Scomber scombrus","RI","N5",0,11,"Rhode Island",NA
"89","atlantic mackerel","Scomber scombrus",NA,NA,0,8,"Massachusetts-Virginian",NA
"90","atlantic mackerel","Scomber scombrus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"91","atlantic mackerel","Scomber scombrus","NY","N5",0,10,"New York",NA
"92","atlantic menhaden","Brevoortia tyrannus",NA,NA,0,3,"Gulf of Maine",NA
"93","atlantic menhaden","Brevoortia tyrannus",NA,NA,0,6,"Maine",NA
"94","atlantic menhaden","Brevoortia tyrannus",NA,NA,0,9,"New Hampshire",NA
"95","atlantic menhaden","Brevoortia tyrannus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"96","atlantic menhaden","Brevoortia tyrannus","RI","N5",0,11,"Rhode Island",NA
"97","atlantic menhaden","Brevoortia tyrannus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"98","atlantic menhaden","Brevoortia tyrannus","NY","N5",0,10,"New York",NA
"99","atlantic puffin","Fratercula arctica",NA,NA,0.8,3,"Gulf of Maine",NA
"100","atlantic puffin","Fratercula arctica",NA,NA,0.8,2,"Georges Bank",NA
"101","atlantic puffin","Fratercula arctica","MA","S2N",0.6,7,"Massachusetts-Gulf of Maine",NA
"102","atlantic puffin","Fratercula arctica","MA","S2N",0.6,8,"Massachusetts-Virginian",NA
"103","atlantic puffin","Fratercula arctica",NA,NA,0.8,11,"Rhode Island",NA
"104","atlantic puffin","Fratercula arctica",NA,NA,0.8,4,"Mid-Atlantic Bight",NA
"105","atlantic puffin","Fratercula arctica",NA,NA,0.8,1,"Offshore",NA
"106","atlantic sturgeon","Acipenser oxyrinchus","NY","S1",0.8,10,"New York",NA
"107","atlantic sturgeon","Acipenser oxyrinchus",NA,NA,0.4,4,"Mid-Atlantic Bight",NA
"108","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,3,"Gulf of Maine",NA
"109","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,6,"Maine",NA
"110","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,9,"New Hampshire",NA
"111","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,2,"Georges Bank",NA
"112","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"113","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,1,"Offshore",NA
"114","atlantic torpedo","Torpedo nobiliana","RI","NNR",NA,11,"Rhode Island",NA
"115","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,8,"Massachusetts-Virginian",NA
"116","atlantic torpedo","Torpedo nobiliana",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"117","atlantic wolffish","Anarhichas lupus",NA,NA,NA,3,"Gulf of Maine",NA
"118","atlantic wolffish","Anarhichas lupus",NA,NA,NA,6,"Maine",NA
"119","atlantic wolffish","Anarhichas lupus",NA,NA,NA,9,"New Hampshire",NA
"120","atlantic wolffish","Anarhichas lupus",NA,NA,NA,2,"Georges Bank",NA
"121","atlantic wolffish","Anarhichas lupus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"122","audubons shearwater","Puffinus lherminieri",NA,NA,0,3,"Gulf of Maine",NA
"123","audubons shearwater","Puffinus lherminieri",NA,NA,0,2,"Georges Bank",NA
"124","audubons shearwater","Puffinus lherminieri",NA,NA,0,8,"Massachusetts-Virginian",NA
"125","audubons shearwater","Puffinus lherminieri",NA,NA,0,4,"Mid-Atlantic Bight",NA
"126","audubons shearwater","Puffinus lherminieri",NA,NA,0,1,"Offshore",NA
"127","band rumped storm petrel","Oceanodroma castro",NA,NA,0.8,3,"Gulf of Maine",NA
"128","band rumped storm petrel","Oceanodroma castro",NA,NA,0.8,2,"Georges Bank",NA
"129","band rumped storm petrel","Oceanodroma castro",NA,NA,0.8,8,"Massachusetts-Virginian",NA
"130","band rumped storm petrel","Oceanodroma castro",NA,NA,0.8,4,"Mid-Atlantic Bight",NA
"131","band rumped storm petrel","Oceanodroma castro",NA,NA,0.8,1,"Offshore",NA
"132","barndoor skate","Dipturus laevis",NA,NA,0.6,3,"Gulf of Maine",NA
"133","barndoor skate","Dipturus laevis",NA,NA,0.6,6,"Maine",NA
"134","barndoor skate","Dipturus laevis",NA,NA,0.6,2,"Georges Bank",NA
"135","barndoor skate","Dipturus laevis",NA,NA,0.6,7,"Massachusetts-Gulf of Maine",NA
"136","barndoor skate","Dipturus laevis",NA,NA,0.6,1,"Offshore",NA
"137","barndoor skate","Dipturus laevis",NA,NA,0.6,4,"Mid-Atlantic Bight",NA
"138","bay anchovy","Anchoa mitchilli","MA","S4",0.2,7,"Massachusetts-Gulf of Maine",NA
"139","bay anchovy","Anchoa mitchilli","RI","N5",0,11,"Rhode Island",NA
"140","bay anchovy","Anchoa mitchilli","MA","S4",0.2,8,"Massachusetts-Virginian",NA
"141","bay anchovy","Anchoa mitchilli",NA,NA,0,4,"Mid-Atlantic Bight",NA
"142","bay anchovy","Anchoa mitchilli","NY","S3",0.4,10,"New York",NA
"143","black capped petrel","Pterodroma hasitata",NA,NA,0.6,2,"Georges Bank",NA
"144","black capped petrel","Pterodroma hasitata",NA,NA,0.6,4,"Mid-Atlantic Bight",NA
"145","black capped petrel","Pterodroma hasitata",NA,NA,0.6,1,"Offshore",NA
"146","black guillemot","Cepphus grylle",NA,NA,0.2,3,"Gulf of Maine",NA
"147","black guillemot","Cepphus grylle",NA,NA,0.2,2,"Georges Bank",NA
"148","black guillemot","Cepphus grylle","MA","S4N",0.2,7,"Massachusetts-Gulf of Maine",NA
"149","black guillemot","Cepphus grylle","MA","S4N",0.2,8,"Massachusetts-Virginian",NA
"150","black guillemot","Cepphus grylle","RI","N4",0.2,11,"Rhode Island",NA
"151","black guillemot","Cepphus grylle",NA,NA,0.2,4,"Mid-Atlantic Bight",NA
"152","black guillemot","Cepphus grylle","NY","N4",0.2,10,"New York",NA
"153","black guillemot","Cepphus grylle",NA,NA,0.2,1,"Offshore",NA
