"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"840","striped searobin","Prionotus evolans",NA,NA,0,4,"Mid-Atlantic Bight",NA
"841","striped searobin","Prionotus evolans",NA,NA,0,2,"Georges Bank",NA
"842","striped searobin","Prionotus evolans","NY","N5",0,10,"New York",NA
"843","striped searobin","Prionotus evolans",NA,NA,0,1,"Offshore",NA
"844","summer flounder","Paralichthys dentatus",NA,NA,0,2,"Georges Bank",NA
"845","summer flounder","Paralichthys dentatus",NA,NA,0,3,"Gulf of Maine",NA
"846","summer flounder","Paralichthys dentatus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"847","summer flounder","Paralichthys dentatus",NA,NA,0,1,"Offshore",NA
"848","summer flounder","Paralichthys dentatus","RI","NNR",0,11,"Rhode Island",NA
"849","summer flounder","Paralichthys dentatus",NA,NA,0,8,"Massachusetts-Virginian",NA
"850","summer flounder","Paralichthys dentatus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"851","summer flounder","Paralichthys dentatus","NY","NNR",0,10,"New York",NA
"852","surf scoter","Melanitta perspicillata",NA,NA,0,3,"Gulf of Maine",NA
"853","surf scoter","Melanitta perspicillata",NA,NA,0,2,"Georges Bank",NA
"854","surf scoter","Melanitta perspicillata","MA","S5N",0,7,"Massachusetts-Gulf of Maine",NA
"855","surf scoter","Melanitta perspicillata","MA","S5N",0,8,"Massachusetts-Virginian",NA
"856","surf scoter","Melanitta perspicillata","RI","N5B,N5N",0,11,"Rhode Island",NA
"857","surf scoter","Melanitta perspicillata",NA,NA,0,4,"Mid-Atlantic Bight",NA
"858","surf scoter","Melanitta perspicillata","NY","N5B,N5N",0,10,"New York",NA
"859","surf scoter","Melanitta perspicillata",NA,NA,0,1,"Offshore",NA
"860","tautog","Tautoga onitis",NA,NA,0.4,3,"Gulf of Maine",NA
"861","tautog","Tautoga onitis",NA,NA,0.4,7,"Massachusetts-Gulf of Maine",NA
"862","tautog","Tautoga onitis","RI","NNR",0.4,11,"Rhode Island",NA
"863","tautog","Tautoga onitis",NA,NA,0.4,8,"Massachusetts-Virginian",NA
"864","tautog","Tautoga onitis",NA,NA,0.4,4,"Mid-Atlantic Bight",NA
"865","tautog","Tautoga onitis",NA,NA,0.4,2,"Georges Bank",NA
"866","tautog","Tautoga onitis","NY","NNR",0.4,10,"New York",NA
"867","thick billed murre","Uria lomvia",NA,NA,0,3,"Gulf of Maine",NA
"868","thick billed murre","Uria lomvia",NA,NA,0,2,"Georges Bank",NA
"869","thick billed murre","Uria lomvia","MA","S2N",0.6,7,"Massachusetts-Gulf of Maine",NA
"870","thick billed murre","Uria lomvia","MA","S2N",0.6,8,"Massachusetts-Virginian",NA
"871","thick billed murre","Uria lomvia",NA,NA,0,4,"Mid-Atlantic Bight",NA
"872","thick billed murre","Uria lomvia",NA,NA,0,1,"Offshore",NA
"873","thorny skate","Amblyraja radiata",NA,NA,0.4,3,"Gulf of Maine",NA
"874","thorny skate","Amblyraja radiata",NA,NA,0.4,6,"Maine",NA
"875","thorny skate","Amblyraja radiata",NA,NA,0.4,9,"New Hampshire",NA
"876","thorny skate","Amblyraja radiata",NA,NA,0.4,7,"Massachusetts-Gulf of Maine",NA
"877","thorny skate","Amblyraja radiata",NA,NA,0.4,2,"Georges Bank",NA
"878","thorny skate","Amblyraja radiata",NA,NA,0.4,1,"Offshore",NA
"879","tilefish","Lopholatilus chamaeleonticeps",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"880","tilefish","Lopholatilus chamaeleonticeps",NA,NA,NA,2,"Georges Bank",NA
"881","tilefish","Lopholatilus chamaeleonticeps",NA,NA,NA,1,"Offshore",NA
"882","trues beaked whale","Mesoplodon mirus",NA,NA,NA,3,"Gulf of Maine",NA
"883","trues beaked whale","Mesoplodon mirus",NA,NA,NA,2,"Georges Bank",NA
"884","trues beaked whale","Mesoplodon mirus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"885","trues beaked whale","Mesoplodon mirus",NA,NA,NA,8,"Massachusetts-Virginian",NA
"886","trues beaked whale","Mesoplodon mirus",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"887","trues beaked whale","Mesoplodon mirus",NA,NA,NA,1,"Offshore",NA
"888","weakfish","Cynoscion regalis",NA,NA,NA,2,"Georges Bank",NA
"889","weakfish","Cynoscion regalis",NA,NA,NA,1,"Offshore",NA
"890","weakfish","Cynoscion regalis",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"891","weakfish","Cynoscion regalis","NY","NNR",NA,10,"New York",NA
"892","white hake","Urophycis tenuis",NA,NA,NA,3,"Gulf of Maine",NA
"893","white hake","Urophycis tenuis",NA,NA,NA,6,"Maine",NA
"894","white hake","Urophycis tenuis",NA,NA,NA,9,"New Hampshire",NA
"895","white hake","Urophycis tenuis",NA,NA,NA,2,"Georges Bank",NA
"896","white hake","Urophycis tenuis",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"897","white hake","Urophycis tenuis",NA,NA,NA,1,"Offshore",NA
"898","white hake","Urophycis tenuis",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"899","white winged scoter","Melanitta fusca",NA,NA,0,3,"Gulf of Maine",NA
"900","white winged scoter","Melanitta fusca",NA,NA,0,2,"Georges Bank",NA
"901","white winged scoter","Melanitta fusca","MA","S5N",0,7,"Massachusetts-Gulf of Maine",NA
"902","white winged scoter","Melanitta fusca","MA","S5N",0,8,"Massachusetts-Virginian",NA
"903","white winged scoter","Melanitta fusca","RI","N5B,N5N",0,11,"Rhode Island",NA
"904","white winged scoter","Melanitta fusca",NA,NA,0,4,"Mid-Atlantic Bight",NA
"905","white winged scoter","Melanitta fusca","NY","N5B,N5N",0,10,"New York",NA
"906","white winged scoter","Melanitta fusca",NA,NA,0,1,"Offshore",NA
"907","wilsons storm petrel","Oceanites oceanicus",NA,NA,0,3,"Gulf of Maine",NA
"908","wilsons storm petrel","Oceanites oceanicus",NA,NA,0,2,"Georges Bank",NA
"909","wilsons storm petrel","Oceanites oceanicus","MA","S5N",0,7,"Massachusetts-Gulf of Maine",NA
"910","wilsons storm petrel","Oceanites oceanicus","MA","S5N",0,8,"Massachusetts-Virginian",NA
"911","wilsons storm petrel","Oceanites oceanicus","RI","N5N",0,11,"Rhode Island",NA
"912","wilsons storm petrel","Oceanites oceanicus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"913","wilsons storm petrel","Oceanites oceanicus","NY","N5N",0,10,"New York",NA
"914","wilsons storm petrel","Oceanites oceanicus",NA,NA,0,1,"Offshore",NA
"915","windowpane","Scophthalmus aquosus",NA,NA,0,6,"Maine",NA
"916","windowpane","Scophthalmus aquosus",NA,NA,0,3,"Gulf of Maine",NA
"917","windowpane","Scophthalmus aquosus",NA,NA,0,9,"New Hampshire",NA
"918","windowpane","Scophthalmus aquosus",NA,NA,0,2,"Georges Bank",NA
"919","windowpane","Scophthalmus aquosus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"920","windowpane","Scophthalmus aquosus",NA,NA,0,1,"Offshore",NA
"921","windowpane","Scophthalmus aquosus","RI","N5",0,11,"Rhode Island",NA
"922","windowpane","Scophthalmus aquosus",NA,NA,0,8,"Massachusetts-Virginian",NA
"923","windowpane","Scophthalmus aquosus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"924","windowpane","Scophthalmus aquosus","NY","N5",0,10,"New York",NA
"925","winter flounder","Pseudopleuronectes americanus",NA,NA,0,3,"Gulf of Maine",NA
"926","winter flounder","Pseudopleuronectes americanus",NA,NA,0,6,"Maine",NA
"927","winter flounder","Pseudopleuronectes americanus",NA,NA,0,9,"New Hampshire",NA
"928","winter flounder","Pseudopleuronectes americanus",NA,NA,0,2,"Georges Bank",NA
"929","winter flounder","Pseudopleuronectes americanus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"930","winter flounder","Pseudopleuronectes americanus","RI","N5",0,11,"Rhode Island",NA
"931","winter flounder","Pseudopleuronectes americanus",NA,NA,0,8,"Massachusetts-Virginian",NA
"932","winter flounder","Pseudopleuronectes americanus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"933","winter flounder","Pseudopleuronectes americanus","NY","S3?",0,10,"New York",NA
"934","winter skate","Leucoraja ocellata",NA,NA,0.6,6,"Maine",NA
"935","winter skate","Leucoraja ocellata",NA,NA,0.6,3,"Gulf of Maine",NA
"936","winter skate","Leucoraja ocellata",NA,NA,0.6,9,"New Hampshire",NA
"937","winter skate","Leucoraja ocellata",NA,NA,0.6,2,"Georges Bank",NA
"938","winter skate","Leucoraja ocellata",NA,NA,0.6,7,"Massachusetts-Gulf of Maine",NA
"939","winter skate","Leucoraja ocellata",NA,NA,0.6,1,"Offshore",NA
"940","winter skate","Leucoraja ocellata","RI","NNR",0.6,11,"Rhode Island",NA
"941","winter skate","Leucoraja ocellata",NA,NA,0.6,8,"Massachusetts-Virginian",NA
"942","winter skate","Leucoraja ocellata",NA,NA,0.6,4,"Mid-Atlantic Bight",NA
"943","winter skate","Leucoraja ocellata",NA,NA,0.6,10,"New York",NA
"944","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,3,"Gulf of Maine",NA
"945","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,6,"Maine",NA
"946","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,9,"New Hampshire",NA
"947","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,2,"Georges Bank",NA
"948","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"949","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,1,"Offshore",NA
"950","witch flounder","Glyptocephalus cynoglossus",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"951","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,6,"Maine",NA
"952","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,3,"Gulf of Maine",NA
"953","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,9,"New Hampshire",NA
"954","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,2,"Georges Bank",NA
"955","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"956","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,1,"Offshore",NA
"957","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,8,"Massachusetts-Virginian",NA
"958","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"959","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,11,"Rhode Island",NA
"960","yellowtail flounder","Pleuronectes ferruginea",NA,NA,NA,10,"New York",NA
"961",NA,"Hyperoodon ampullatus",NA,NA,NA,6,"Maine",10707
"962",NA,"Hyperoodon ampullatus",NA,NA,NA,3,"Gulf of Maine",10707
"963",NA,"Hyperoodon ampullatus",NA,NA,NA,9,"New Hampshire",10707
"964",NA,"Hyperoodon ampullatus",NA,NA,NA,2,"Georges Bank",10707
"965",NA,"Hyperoodon ampullatus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",10707
"966",NA,"Hyperoodon ampullatus",NA,NA,NA,1,"Offshore",10707
"967",NA,"Hyperoodon ampullatus",NA,NA,NA,8,"Massachusetts-Virginian",10707
"968",NA,"Hyperoodon ampullatus",NA,NA,NA,11,"Rhode Island",10707
"969",NA,"Hyperoodon ampullatus",NA,NA,NA,4,"Mid-Atlantic Bight",10707
"970",NA,"Hyperoodon ampullatus",NA,NA,NA,5,"Connecticut",10707
"971",NA,"Hyperoodon ampullatus",NA,NA,NA,10,"New York",10707
"972",NA,"Kogia breviceps",NA,NA,NA,6,"Maine",11047
"973",NA,"Kogia breviceps",NA,NA,NA,3,"Gulf of Maine",11047
"974",NA,"Kogia breviceps",NA,NA,NA,9,"New Hampshire",11047
"975",NA,"Kogia breviceps",NA,NA,NA,2,"Georges Bank",11047
"976",NA,"Kogia breviceps","MA","S2",0.6,7,"Massachusetts-Gulf of Maine",11047
"977",NA,"Kogia breviceps",NA,NA,NA,1,"Offshore",11047
"978",NA,"Kogia breviceps","MA","S2",0.6,8,"Massachusetts-Virginian",11047
"979",NA,"Kogia breviceps",NA,NA,NA,11,"Rhode Island",11047
"980",NA,"Kogia breviceps",NA,NA,NA,4,"Mid-Atlantic Bight",11047
"981",NA,"Kogia breviceps",NA,NA,NA,5,"Connecticut",11047
"982",NA,"Kogia breviceps","NY","NU",NA,10,"New York",11047
"983",NA,"Kogia sima",NA,NA,NA,6,"Maine",11048
"984",NA,"Kogia sima",NA,NA,NA,3,"Gulf of Maine",11048
"985",NA,"Kogia sima",NA,NA,NA,9,"New Hampshire",11048
"986",NA,"Kogia sima",NA,NA,NA,2,"Georges Bank",11048
"987",NA,"Kogia sima",NA,NA,NA,7,"Massachusetts-Gulf of Maine",11048
"988",NA,"Kogia sima",NA,NA,NA,1,"Offshore",11048
"989",NA,"Kogia sima",NA,NA,NA,8,"Massachusetts-Virginian",11048
"990",NA,"Kogia sima",NA,NA,NA,11,"Rhode Island",11048
"991",NA,"Kogia sima",NA,NA,NA,4,"Mid-Atlantic Bight",11048
"992",NA,"Kogia sima",NA,NA,NA,5,"Connecticut",11048
"993",NA,"Kogia sima",NA,NA,NA,10,"New York",11048
"994",NA,"Lagenorhynchus albirostris","ME","NU",0,6,"Maine",11142
"995",NA,"Lagenorhynchus albirostris",NA,NA,0,3,"Gulf of Maine",11142
"996",NA,"Lagenorhynchus albirostris",NA,NA,0,9,"New Hampshire",11142
"997",NA,"Lagenorhynchus albirostris","MA","S1",0.8,7,"Massachusetts-Gulf of Maine",11142
"998","porbeagle","Lamna nasus",NA,NA,0.4,6,"Maine",11200
"999","porbeagle","Lamna nasus",NA,NA,0.4,3,"Gulf of Maine",11200
"1000","porbeagle","Lamna nasus",NA,NA,0.4,9,"New Hampshire",11200
"1001","porbeagle","Lamna nasus",NA,NA,0.4,2,"Georges Bank",11200
"1002","porbeagle","Lamna nasus",NA,NA,0.4,7,"Massachusetts-Gulf of Maine",11200
"1003","porbeagle","Lamna nasus",NA,NA,0.4,1,"Offshore",11200
"1004","porbeagle","Lamna nasus",NA,NA,0.4,8,"Massachusetts-Virginian",11200
"1005","porbeagle","Lamna nasus",NA,NA,0.4,11,"Rhode Island",11200
"1006","porbeagle","Lamna nasus",NA,NA,0.4,4,"Mid-Atlantic Bight",11200
"1007","porbeagle","Lamna nasus",NA,NA,0.4,5,"Connecticut",11200
"1008","porbeagle","Lamna nasus",NA,NA,0.4,10,"New York",11200
"1009",NA,"Lepidochelys olivacea",NA,NA,0.8,6,"Maine",11534
"1010",NA,"Lepidochelys olivacea",NA,NA,0.8,3,"Gulf of Maine",11534
"1011",NA,"Lepidochelys olivacea",NA,NA,0.8,9,"New Hampshire",11534
"1012",NA,"Lepidochelys olivacea",NA,NA,0.8,2,"Georges Bank",11534
"1013",NA,"Lepidochelys olivacea",NA,NA,0.8,7,"Massachusetts-Gulf of Maine",11534
"1014",NA,"Lepidochelys olivacea",NA,NA,0.8,8,"Massachusetts-Virginian",11534
"1015",NA,"Lepidochelys olivacea",NA,NA,0.8,11,"Rhode Island",11534
"1016",NA,"Lepidochelys olivacea",NA,NA,0.8,4,"Mid-Atlantic Bight",11534
"1017",NA,"Lepidochelys olivacea",NA,NA,0.8,5,"Connecticut",11534
"1018",NA,"Lepidochelys olivacea",NA,NA,0.8,10,"New York",11534
"1019",NA,"Lepidochelys olivacea",NA,NA,0.8,1,"Offshore",11534
"1020",NA,"Lontra canadensis","ME","S5",0,6,"Maine",12302
"1021",NA,"Lontra canadensis","MA","S4",0.2,7,"Massachusetts-Gulf of Maine",12302
"1022",NA,"Lontra canadensis","MA","S4",0.2,8,"Massachusetts-Virginian",12302
"1023",NA,"Lontra canadensis","RI","S4",0.2,11,"Rhode Island",12302
"1024",NA,"Lontra canadensis","CT","S5",0,5,"Connecticut",12302
"1025",NA,"Lontra canadensis","NY","S5",0,10,"New York",12302
"1026",NA,"Lontra canadensis",NA,NA,0,4,"Mid-Atlantic Bight",12302
"1027","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,6,"Maine",12417
"1028","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,3,"Gulf of Maine",12417
"1029","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,9,"New Hampshire",12417
"1030","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,2,"Georges Bank",12417
"1031","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,7,"Massachusetts-Gulf of Maine",12417
"1032","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,1,"Offshore",12417
"1033","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,8,"Massachusetts-Virginian",12417
"1034","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,11,"Rhode Island",12417
"1035","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,4,"Mid-Atlantic Bight",12417
"1036","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,5,"Connecticut",12417
"1037","cubera snapper","Lutjanus cyanopterus",NA,NA,0.4,10,"New York",12417
"1038",NA,"Astrangia poculata",NA,NA,0,11,"Rhode Island",133446
"1039",NA,"Astrangia poculata",NA,NA,0,4,"Mid-Atlantic Bight",133446
"1040",NA,"Astrangia poculata",NA,NA,0,5,"Connecticut",133446
"1041",NA,"Astrangia poculata",NA,NA,0,10,"New York",133446
"1042",NA,"Astrangia poculata",NA,NA,0,1,"Offshore",133446
"1043","blackmouth bass","Synagrops bellus",NA,NA,0,6,"Maine",13458323
"1044","blackmouth bass","Synagrops bellus",NA,NA,0,3,"Gulf of Maine",13458323
"1045","blackmouth bass","Synagrops bellus",NA,NA,0,9,"New Hampshire",13458323
"1046","blackmouth bass","Synagrops bellus",NA,NA,0,2,"Georges Bank",13458323
"1047","blackmouth bass","Synagrops bellus",NA,NA,0,7,"Massachusetts-Gulf of Maine",13458323
"1048","blackmouth bass","Synagrops bellus",NA,NA,0,1,"Offshore",13458323
"1049","blackmouth bass","Synagrops bellus",NA,NA,0,8,"Massachusetts-Virginian",13458323
"1050","blackmouth bass","Synagrops bellus",NA,NA,0,11,"Rhode Island",13458323
"1051","blackmouth bass","Synagrops bellus",NA,NA,0,4,"Mid-Atlantic Bight",13458323
"1052","blackmouth bass","Synagrops bellus",NA,NA,0,5,"Connecticut",13458323
"1053","blackmouth bass","Synagrops bellus",NA,NA,0,10,"New York",13458323
"1054","deep-sea lizardfish","Bathysaurus ferox",NA,NA,0,1,"Offshore",13462491
"1055","deep-sea lizardfish","Bathysaurus ferox",NA,NA,0,2,"Georges Bank",13462491
"1056","deep-sea lizardfish","Bathysaurus ferox",NA,NA,0,4,"Mid-Atlantic Bight",13462491
"1057","undistinguished sabretooth","Odontostomops normalops",NA,NA,0,1,"Offshore",13462731
"1058","undistinguished sabretooth","Odontostomops normalops",NA,NA,0,2,"Georges Bank",13462731
"1059","undistinguished sabretooth","Odontostomops normalops",NA,NA,0,4,"Mid-Atlantic Bight",13462731
"1060","mediterranean spiderfish","Bathypterois dubius",NA,NA,0,3,"Gulf of Maine",13462751
"1061","mediterranean spiderfish","Bathypterois dubius",NA,NA,0,2,"Georges Bank",13462751
"1062","mediterranean spiderfish","Bathypterois dubius",NA,NA,0,1,"Offshore",13462751
"1063","mediterranean spiderfish","Bathypterois dubius",NA,NA,0,4,"Mid-Atlantic Bight",13462751
"1064","blackfin spiderfish","Bathypterois phenax",NA,NA,0,1,"Offshore",13462757
"1065","blackfin spiderfish","Bathypterois phenax",NA,NA,0,2,"Georges Bank",13462757
"1066",NA,"Ahliesaurus berryi",NA,NA,0,6,"Maine",13485141
"1067",NA,"Ahliesaurus berryi",NA,NA,0,3,"Gulf of Maine",13485141
"1068",NA,"Ahliesaurus berryi",NA,NA,0,9,"New Hampshire",13485141
"1069",NA,"Ahliesaurus berryi",NA,NA,0,2,"Georges Bank",13485141
"1070",NA,"Ahliesaurus berryi",NA,NA,0,7,"Massachusetts-Gulf of Maine",13485141
"1071",NA,"Ahliesaurus berryi",NA,NA,0,1,"Offshore",13485141
"1072",NA,"Ahliesaurus berryi",NA,NA,0,8,"Massachusetts-Virginian",13485141
"1073",NA,"Ahliesaurus berryi",NA,NA,0,11,"Rhode Island",13485141
"1074",NA,"Ahliesaurus berryi",NA,NA,0,4,"Mid-Atlantic Bight",13485141
"1075",NA,"Ahliesaurus berryi",NA,NA,0,5,"Connecticut",13485141
"1076",NA,"Ahliesaurus berryi",NA,NA,0,10,"New York",13485141
"1077","waryfish","Scopelosaurus argenteus",NA,NA,0,2,"Georges Bank",13485167
"1078","waryfish","Scopelosaurus argenteus",NA,NA,0,1,"Offshore",13485167
"1079","waryfish","Scopelosaurus argenteus",NA,NA,0,4,"Mid-Atlantic Bight",13485167
"1080","omosudid","Omosudis lowii",NA,NA,0,6,"Maine",13485312
"1081","omosudid","Omosudis lowii",NA,NA,0,3,"Gulf of Maine",13485312
"1082","omosudid","Omosudis lowii",NA,NA,0,9,"New Hampshire",13485312
"1083","omosudid","Omosudis lowii",NA,NA,0,2,"Georges Bank",13485312
"1084","omosudid","Omosudis lowii",NA,NA,0,7,"Massachusetts-Gulf of Maine",13485312
"1085","omosudid","Omosudis lowii",NA,NA,0,1,"Offshore",13485312
"1086","omosudid","Omosudis lowii",NA,NA,0,8,"Massachusetts-Virginian",13485312
"1087","omosudid","Omosudis lowii",NA,NA,0,11,"Rhode Island",13485312
"1088","omosudid","Omosudis lowii",NA,NA,0,4,"Mid-Atlantic Bight",13485312
"1089","omosudid","Omosudis lowii",NA,NA,0,5,"Connecticut",13485312
"1090","omosudid","Omosudis lowii",NA,NA,0,10,"New York",13485312
"1091","barracudina","Lestidiops affinis",NA,NA,0,1,"Offshore",13485398
"1092","barracudina","Lestidiops affinis",NA,NA,0,2,"Georges Bank",13485398
"1093",NA,"Lestrolepis intermedia",NA,NA,0,6,"Maine",13485622
"1094",NA,"Lestrolepis intermedia",NA,NA,0,3,"Gulf of Maine",13485622
"1095",NA,"Lestrolepis intermedia",NA,NA,0,9,"New Hampshire",13485622
"1096",NA,"Lestrolepis intermedia",NA,NA,0,2,"Georges Bank",13485622
"1097",NA,"Lestrolepis intermedia",NA,NA,0,7,"Massachusetts-Gulf of Maine",13485622
"1098",NA,"Lestrolepis intermedia",NA,NA,0,1,"Offshore",13485622
"1099",NA,"Lestrolepis intermedia",NA,NA,0,8,"Massachusetts-Virginian",13485622
"1100",NA,"Lestrolepis intermedia",NA,NA,0,11,"Rhode Island",13485622
"1101",NA,"Lestrolepis intermedia",NA,NA,0,4,"Mid-Atlantic Bight",13485622
"1102",NA,"Lestrolepis intermedia",NA,NA,0,5,"Connecticut",13485622
"1103",NA,"Lestrolepis intermedia",NA,NA,0,10,"New York",13485622
"1104",NA,"Macroparalepis affinis",NA,NA,0,6,"Maine",13485631
"1105",NA,"Macroparalepis affinis",NA,NA,0,3,"Gulf of Maine",13485631
"1106",NA,"Macroparalepis affinis",NA,NA,0,9,"New Hampshire",13485631
"1107",NA,"Macroparalepis affinis",NA,NA,0,2,"Georges Bank",13485631
"1108",NA,"Macroparalepis affinis",NA,NA,0,7,"Massachusetts-Gulf of Maine",13485631
"1109",NA,"Macroparalepis affinis",NA,NA,0,1,"Offshore",13485631
"1110",NA,"Macroparalepis affinis",NA,NA,0,8,"Massachusetts-Virginian",13485631
"1111",NA,"Macroparalepis affinis",NA,NA,0,11,"Rhode Island",13485631
"1112",NA,"Macroparalepis affinis",NA,NA,0,4,"Mid-Atlantic Bight",13485631
"1113",NA,"Macroparalepis affinis",NA,NA,0,5,"Connecticut",13485631
"1114",NA,"Macroparalepis affinis",NA,NA,0,10,"New York",13485631
"1115","duckbill barracudina","Magnisudis atlantica",NA,NA,0,6,"Maine",13485635
"1116","duckbill barracudina","Magnisudis atlantica",NA,NA,0,3,"Gulf of Maine",13485635
"1117","duckbill barracudina","Magnisudis atlantica",NA,NA,0,9,"New Hampshire",13485635
"1118","duckbill barracudina","Magnisudis atlantica",NA,NA,0,2,"Georges Bank",13485635
"1119","duckbill barracudina","Magnisudis atlantica",NA,NA,0,7,"Massachusetts-Gulf of Maine",13485635
"1120","duckbill barracudina","Magnisudis atlantica",NA,NA,0,1,"Offshore",13485635
"1121","duckbill barracudina","Magnisudis atlantica",NA,NA,0,8,"Massachusetts-Virginian",13485635
"1122","duckbill barracudina","Magnisudis atlantica",NA,NA,0,11,"Rhode Island",13485635
"1123","duckbill barracudina","Magnisudis atlantica",NA,NA,0,4,"Mid-Atlantic Bight",13485635
"1124","duckbill barracudina","Magnisudis atlantica",NA,NA,0,5,"Connecticut",13485635
"1125","duckbill barracudina","Magnisudis atlantica",NA,NA,0,10,"New York",13485635
"1126","zugmayer's pearleye","Benthalbella infans",NA,NA,0,2,"Georges Bank",13485675
"1127","zugmayer's pearleye","Benthalbella infans",NA,NA,0,1,"Offshore",13485675
"1128",NA,"Trachinocephalus myops",NA,NA,0,6,"Maine",13486199
"1129",NA,"Trachinocephalus myops",NA,NA,0,3,"Gulf of Maine",13486199
"1130",NA,"Trachinocephalus myops",NA,NA,0,9,"New Hampshire",13486199
"1131",NA,"Trachinocephalus myops",NA,NA,0,2,"Georges Bank",13486199
"1132",NA,"Trachinocephalus myops",NA,NA,0,7,"Massachusetts-Gulf of Maine",13486199
"1133",NA,"Trachinocephalus myops",NA,NA,0,1,"Offshore",13486199
"1134",NA,"Trachinocephalus myops",NA,NA,0,8,"Massachusetts-Virginian",13486199
"1135",NA,"Trachinocephalus myops",NA,NA,0,11,"Rhode Island",13486199
"1136",NA,"Trachinocephalus myops",NA,NA,0,4,"Mid-Atlantic Bight",13486199
"1137",NA,"Trachinocephalus myops",NA,NA,0,5,"Connecticut",13486199
"1138",NA,"Trachinocephalus myops",NA,NA,0,10,"New York",13486199
"1139","flat needlefish","Ablennes hians",NA,NA,0,3,"Gulf of Maine",13486514
"1140","flat needlefish","Ablennes hians",NA,NA,0,7,"Massachusetts-Gulf of Maine",13486514
"1141","flat needlefish","Ablennes hians",NA,NA,0,2,"Georges Bank",13486514
"1142","flat needlefish","Ablennes hians",NA,NA,0,8,"Massachusetts-Virginian",13486514
"1143","flat needlefish","Ablennes hians",NA,NA,0,11,"Rhode Island",13486514
"1144","flat needlefish","Ablennes hians",NA,NA,0,4,"Mid-Atlantic Bight",13486514
"1145","flat needlefish","Ablennes hians",NA,NA,0,5,"Connecticut",13486514
"1146","flat needlefish","Ablennes hians",NA,NA,0,10,"New York",13486514
"1147","flat needlefish","Ablennes hians",NA,NA,0,1,"Offshore",13486514
"1148","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,2,"Georges Bank",13487700
"1149","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,4,"Mid-Atlantic Bight",13487700
"1150","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,11,"Rhode Island",13487700
"1151","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,10,"New York",13487700
"1152","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,5,"Connecticut",13487700
"1153","blacksail flyingfish","Cheilopogon nigricans",NA,NA,0,1,"Offshore",13487700
"1154","flathead grey mullet","Mugil cephalus",NA,NA,0,6,"Maine",135567
"1155","flathead grey mullet","Mugil cephalus",NA,NA,0,3,"Gulf of Maine",135567
"1156","flathead grey mullet","Mugil cephalus",NA,NA,0,9,"New Hampshire",135567
"1157","flathead grey mullet","Mugil cephalus",NA,NA,0,2,"Georges Bank",135567
"1158","flathead grey mullet","Mugil cephalus","MA","S4",0.2,7,"Massachusetts-Gulf of Maine",135567
"1159","flathead grey mullet","Mugil cephalus",NA,NA,0,1,"Offshore",135567
