"","sciname","trend"
"164","Scyliorhinus retifer","Increasing"
"165","Etmopterus princeps","Unknown"
"166","Squatina dumeril","Unknown"
"167","Hydrolagus affinis","Unknown"
"168","Bathyraja richardsoni","Unknown"
"169","Bathytoshia centroura","Unknown"
"170","Gymnura altavela","Decreasing"
"171","Bathyraja spinicauda","Unknown"
"172","Rajella bigelowi","Unknown"
"173","Leucoraja erinacea","Decreasing"
"174","Leucoraja garmani","Unknown"
"175","Malacoraja senta","Decreasing"
"176","Amblyraja jenseni","Unknown"
"177","Centroscyllium fabricii","Unknown"
"178","Carcharhinus isodon","Unknown"
"179","Amblyraja radiata","Decreasing"
"180","Myliobatis freminvillii","Unknown"
"181","Tetronarce nobiliana","Unknown"
"182","Rajella fyllae","Unknown"
"183","Leucoraja ocellata","Decreasing"
"184","Raja eglanteria","Unknown"
"185","Alopias superciliosus","Decreasing"
"186","Pteroplatytrygon violacea","Unknown"
"187","Mobula birostris","Decreasing"
"188","Squalus acanthias","Decreasing"
"189","Alosa aestivalis","Decreasing"
"190","Alosa mediocris","Increasing"
"191","Alosa pseudoharengus","Unknown"
"192","Alosa sapidissima","Increasing"
"193","Anchoa hepsetus","Unknown"
"194","Anchoa lyolepis","Unknown"
"195","Anchoa mitchilli","Stable"
"196","Brevoortia tyrannus","Increasing"
"197","Clupea harengus","Increasing"
"198","Engraulis eurystole","Unknown"
"199","Etrumeus sadina","Unknown"
"200","Harengula jaguana","Unknown"
"201","Opisthonema oglinum","Unknown"
"202","Sardinella aurita","Unknown"
"203","Hypsoblennius hentz","Unknown"
"204","Astrangia poculata","Unknown"
"205","Coryphaena equiselis","Stable"
"206","Coryphaena hippurus","Stable"
"207","Cyprinodon variegatus","Stable"
"208","Fundulus heteroclitus","Stable"
"209","Fundulus majalis","Unknown"
"210","Lucania parva","Stable"
"211","Echeneis naucrates","Stable"
"212","Echeneis neucratoides","Unknown"
"213","Phtheirichthys lineatus","Stable"
"214","Remora albescens","Unknown"
"215","Remora australis","Stable"
"216","Remora brachyptera","Stable"
"217","Remora osteochir","Stable"
"218","Remora remora","Stable"
"219","Chaetodipterus faber","Unknown"
"220","Epigonus denticulatus","Unknown"
"221","Epigonus pandionis","Unknown"
"222","Enchelyopus cimbrius","Unknown"
"223","Coelorinchus caelorhincus","Unknown"
"224","Coryphaenoides armatus","Unknown"
"225","Coryphaenoides guentheri","Unknown"
"226","Coryphaenoides leptolepis","Unknown"
"227","Coryphaenoides mediterraneus","Unknown"
"228","Coryphaenoides rupestris","Unknown"
"229","Hymenocephalus italicus","Unknown"
"230","Malacocephalus occidentalis","Unknown"
"231","Nezumia aequalis","Unknown"
"232","Nezumia sclerorhynchus","Unknown"
"233","Melanonus zugmayeri","Unknown"
"234","Merluccius albidus","Unknown"
"235","Merluccius bilinearis","Unknown"
"236","Antimora rostrata","Unknown"
"237","Gadella imberbis","Unknown"
"238","Physiculus fulvus","Unknown"
"239","Urophycis regia","Unknown"
"240","Fistularia petimba","Unknown"
"241","Fistularia tabacaria","Unknown"
"242","Gasterosteus wheatlandi","Stable"
"243","Diplospinus multistriatus","Unknown"
"244","Gempylus serpens","Stable"
"245","Lepidocybium flavobrunneum","Unknown"
"246","Nealotus tripes","Stable"
"247","Nesiarchus nasutus","Stable"
"248","Promethichthys prometheus","Stable"
"249","Ruvettus pretiosus","Stable"
"250","Gobiesox strumosus","Unknown"
"251","Gobiosoma bosc","Unknown"
"252","Gobiosoma ginsburgi","Unknown"
"253","Orthopristis chrysoptera","Unknown"
"254","Kyphosus sectatrix","Stable"
"255","Lampris guttatus","Unknown"
"256","Regalecus glesne","Unknown"
"257","Stylephorus chordatus","Unknown"
"258","Desmodema polystictum","Unknown"
"259","Zu cristatus","Unknown"
"260","Homarus americanus","Stable"
"261","Stereomastis sculpta","Stable"
"262","Nephropsis aculeata","Unknown"
"263","Panulirus argus","Decreasing"
"264","Stereomastis nana","Stable"
