"","rgn_id","species","iucn_sid"
"52",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"53",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"54",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"55",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"56",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"57",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"58",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"59",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_11534.tif",11534
"60",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"61",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"62",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"63",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"64",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"65",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"66",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"67",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12302.tif",12302
"68",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"69",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"70",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"71",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"72",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"73",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"74",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"75",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"76",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"77",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"78",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_12417.tif",12417
"79",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_133446.tif",133446
"80",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_133446.tif",133446
"81",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_133446.tif",133446
"82",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_133446.tif",133446
"83",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_133446.tif",133446
"84",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"85",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"86",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"87",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"88",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"89",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"90",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"91",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"92",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"93",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"94",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13458323.tif",13458323
"95",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462491.tif",13462491
"96",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462491.tif",13462491
"97",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462491.tif",13462491
"98",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462731.tif",13462731
"99",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462731.tif",13462731
"100",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462731.tif",13462731
"101",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13462751.tif",13462751
