iucn_sid,sciname,population,category,common_name
190260,Cetostoma regani,NA,DD,Pink Flabby Whalefish
190414,Ditropichthys storeri,NA,DD,Doublekeeled whalefish
190331,Gyrinomimus myersi,NA,DD,Myers Whalefish
60483273,Rondeletia loricata,NA,LC,Redmouth Whalefish
190310,Chiasmodon niger,NA,LC,Black Swallower
21113900,Dysalotus alcocki,NA,LC,NA
60470373,Dysalotus oligoscolus,NA,LC,NA
21113904,Kali indica,NA,LC,NA
60471792,Kali kerberti,NA,LC,NA
60471825,Kali macrura,NA,LC,NA
21113907,Kali parri,NA,LC,NA
60483083,Pseudoscopelus altipinnis,NA,LC,NA
190433,Pseudoscopelus scriptus,NA,LC,NA
60483092,Pseudoscopelus scutatus,NA,LC,NA
3851,Carcharhinus limbatus,NA,NT,Blacktip Shark
3852,Carcharhinus obscurus,NA,VU,Dusky Shark
3853,Carcharhinus plumbeus,NA,VU,Sandbar Shark
3854,Carcharias taurus,NA,VU,Sand Tiger Shark
3855,Carcharodon carcharias,NA,VU,White Shark
4292,Cetorhinus maximus,NA,VU,Basking Shark
6229,Dalatias licha,NA,NT,Kitefin Shark
11200,Lamna nasus,NA,VU,Porbeagle
19488,Rhincodon typus,NA,EN,Whale Shark
39336,Odontaspis noronhai,NA,DD,Bigeye Sand Tiger
39339,Alopias vulpinus,NA,VU,Common Thresher
39341,Isurus oxyrinchus,NA,VU,Shortfin Mako
39359,Mustelus canis,NA,NT,Dusky Smoothhound
39368,Carcharhinus brevipinna,NA,NT,Spinner Shark
39370,Carcharhinus falciformis,NA,VU,Silky Shark
39372,Carcharhinus leucas,NA,NT,Bull Shark
39374,Carcharhinus longimanus,NA,VU,Oceanic Whitetip Shark
39378,Galeocerdo cuvier,NA,NT,Tiger Shark
39380,Negaprion brevirostris,NA,NT,Lemon Shark
39381,Prionace glauca,NA,NT,Blue Shark
39382,Rhizoprionodon terraenovae,NA,LC,Atlantic Sharpnose Shark
39385,Sphyrna lewini,NA,EN,Scalloped Hammerhead
39386,Sphyrna mokarran,NA,EN,Great Hammerhead
39387,Sphyrna tiburo,NA,LC,Bonnethead Shark
39388,Sphyrna zygaena,NA,VU,Smooth Hammerhead
39771,Dipturus laevis,NA,EN,Barndoor Skate
41747,Centroscymnus coelolepis,NA,NT,Portuguese Dogfish
41801,Echinorhinus brucus,NA,DD,Bramble Shark
42700,Apristurus melanoasper,NA,LC,Fleshynose Catshark
44216,Apristurus laurussonii,NA,DD,Icelandic Catshark
44224,Apristurus profundorum,NA,DD,Deepwater Catshark
44566,Pseudotriakis microdon,NA,LC,False Catshark
44599,Apristurus manis,NA,LC,Ghost Catshark
44657,Apristurus microps,NA,LC,Smalleye Catshark
60128,Rhinoptera bonasus,NA,NT,Cownose Ray
60140,Harriotta raleighana,NA,LC,Narrownose Chimaera
60145,Rhinochimaera atlantica,NA,LC,Atlantic Longnose Chimaera
60159,Hypanus say,NA,LC,Bluntnose Stingray
60213,Somniosus microcephalus,NA,NT,Greenland Shark
60219,Carcharhinus signatus,NA,VU,Night Shark
60223,Ginglymostoma cirratum,NA,DD,Nurse Shark
60225,Isurus paucus,NA,VU,Longfin Mako
60233,Scyliorhinus retifer,NA,LC,Chain Catshark
60242,Etmopterus princeps,NA,DD,Great Lanternshark
60248,Squatina dumeril,NA,DD,Atlantic Angelshark
63123,Hydrolagus affinis,NA,LC,Smalleyed Rabbitfish
63127,Bathyraja richardsoni,NA,LC,Richardson’s Skate
63152,Bathytoshia centroura,NA,LC,Roughtail Stingray
63153,Gymnura altavela,NA,VU,Spiny Butterfly Ray
161366,Bathyraja spinicauda,NA,NT,Spinytail Skate
161371,Rajella bigelowi,NA,LC,Bigelow's Skate
161418,Leucoraja erinacea,NA,NT,Little Skate
161419,Leucoraja garmani,NA,LC,Rosette Skate
161477,Malacoraja senta,NA,EN,Smooth Skate
161491,Amblyraja jenseni,NA,LC,Jensen's Skate
161521,Centroscyllium fabricii,NA,LC,Black Dogfish
161524,Carcharhinus isodon,NA,LC,Finetooth Shark
161542,Amblyraja radiata,NA,VU,Thorny Skate
161568,Myliobatis freminvillii,NA,DD,Bullnose Ray
161580,Tetronarce nobiliana,NA,DD,Great Torpedo Ray
161587,Rajella fyllae,NA,LC,Round Skate
161631,Leucoraja ocellata,NA,EN,Winter Skate
161658,Raja eglanteria,NA,LC,Clearnose skate
161696,Alopias superciliosus,NA,VU,Bigeye Thresher
161731,Pteroplatytrygon violacea,NA,LC,Pelagic Stingray
198921,Mobula birostris,NA,VU,Giant Manta Ray
91209505,Squalus acanthias,NA,VU,Spiny Dogfish
201946,Alosa aestivalis,NA,VU,Blueback Herring
201947,Alosa mediocris,NA,LC,Hickory Shad
201948,Alosa pseudoharengus,NA,LC,Alewife
191206,Alosa sapidissima,NA,LC,American Shad
16406327,Anchoa hepsetus,NA,LC,Broad-striped Anchovy
191214,Anchoa lyolepis,NA,LC,Shortfinger Anchovy
190222,Anchoa mitchilli,NA,LC,Bay Anchovy
190134,Brevoortia tyrannus,NA,LC,Atlantic Menhaden
155123,Clupea harengus,NA,LC,Atlantic Herring
16440016,Engraulis eurystole,NA,LC,Silver Anchovy
82626288,Etrumeus sadina,NA,LC,West Atlantic Round Herring
190478,Harengula jaguana,NA,LC,Scaled Sardine
16466100,Opisthonema oglinum,NA,LC,Atlantic Thread Herring
198581,Sardinella aurita,NA,LC,Round Sardinella
46104064,Hypsoblennius hentz,NA,LC,Feather Blenny
133446,Astrangia poculata,NA,LC,Northern star coral
170350,Coryphaena equiselis,NA,LC,Pompano Dolphinfish
154712,Coryphaena hippurus,NA,LC,Common Dolphinfish
189823,Cyprinodon variegatus,NA,LC,Sheepshead Minnow
189824,Fundulus heteroclitus,NA,LC,Mummichog
20662958,Fundulus majalis,NA,LC,Striped Killifish
191368,Lucania parva,NA,LC,Rainwater Killifish
190393,Echeneis naucrates,NA,LC,Live Sharksucker
16440083,Echeneis neucratoides,NA,DD,Whitefin Sharksucker
190461,Phtheirichthys lineatus,NA,LC,Slender Suckerfish
155075,Remora albescens,NA,LC,White Suckerfish
