iucn_sid,sciname,population,category,common_name
190485,Melanolagus bericoides,NA,LC,Bigscale Deepsea Smelt
60481712,Nansenia longicauda,NA,DD,NA
60481729,Nansenia megalopa,NA,DD,NA
21101200,Dolichopteroides binocularis,NA,LC,NA
18155920,Opisthoproctus soleatus,NA,LC,Barreleye
60483211,Rhynchohyalus natalensis,NA,LC,Glasshead Barreleye
18155946,Maulisia mauli,NA,LC,Maul's Searsid
21108245,Maulisia microlepis,NA,LC,Smallscale searsid
60479648,Mentodus facilis,NA,LC,Dark Searsid
18155949,Normichthys operosus,NA,LC,Multipore Searsid
16425314,Bembrops gobioides,NA,LC,Goby Flathead
43972,Polyprion americanus,NA,DD,Wreckfish
190279,Pomatomus saltatrix,NA,VU,Bluefish
198558,Priacanthus arenatus,NA,LC,Atlantic Bigeye
190255,Cookeolus japonicus,NA,LC,Longfinned Bullseye
190246,Sphoeroides maculatus,NA,LC,Northern Puffer
190193,Sphoeroides pachygaster,NA,LC,Blunthead Puffer
190380,Lagocephalus laevigatus,NA,LC,Smooth Puffer
190464,Lagocephalus lagocephalus,NA,LC,Oceanic Puffer
193630,Sphoeroides spengleri,NA,LC,Bandtail Puffer
193813,Sphoeroides testudineus,NA,LC,Checkered Puffer
190190,Rachycentron canadum,NA,LC,Cobia
8005,Eretmochelys imbricata,NA,CR,Hawksbill Turtle
46967827,Dermochelys coriacea,Northwest Atlantic Ocean subpopulation,LC,Leatherback
4615,Chelonia mydas,NA,EN,Green Turtle
11534,Lepidochelys olivacea,NA,VU,Olive Ridley
84131194,Caretta caretta,North West Atlantic subpopulation,LC,Loggerhead Turtle
18227109,Cyema atrum,NA,LC,Bobtail Eel
18227119,Eurypharynx pelecanoides,NA,LC,Pelican Eel
193264,Bairdiella chrysoura,NA,LC,Silver Croaker
193266,Cynoscion nebulosus,NA,LC,Speckled Seatrout
47147749,Larimus fasciatus,NA,LC,Banded Drum
193267,Leiostomus xanthurus,NA,LC,Spot Croaker
195075,Menticirrhus americanus,NA,LC,Southern Kingfish
46105847,Menticirrhus saxatilis,NA,LC,Northern Kingcroaker
193268,Micropogonias undulatus,NA,LC,Atlantic Croaker
193269,Pogonias cromis,NA,LC,Black Drum
21132418,Scombrolabrax heterolepis,NA,LC,Longfin Escolar
15873,Pagrus pagrus,NA,LC,Red Porgy
170223,Archosargus probatocephalus,NA,LC,Sheepshead
170250,Lagodon rhomboides,NA,LC,Pinfish
170190,Calamus bajonado,NA,LC,Jolthead Porgy
170156,Archosargus rhomboidalis,NA,LC,Sea Bream
170168,Stenotomus chrysops,NA,NT,Scup
180271,Molpadiodemas atlanticus,NA,DD,NA
180365,Paelopatides gigantea,NA,DD,NA
180468,Mesothuria lactea,NA,LC,NA
153538,Zostera marina,NA,LC,Eelgrass
16407002,Anthias nicholsi,NA,LC,Yellowfin Bass
16750054,Baldwinella aureorubens,NA,LC,Streamer Bass
16435325,Centropristis striata,NA,LC,Black Sea Bass
190399,Sphyraena barracuda,NA,LC,Great Barracuda
20666166,Sphyraena borealis,NA,LC,Northern Sennet
190362,Sphyraena guachancho,NA,LC,Guachanche Barracuda
18253276,Argyropelecus aculeatus,NA,LC,Lovely Hatchetfish
190118,Argyropelecus affinis,NA,LC,Pacific Hatchet Fish
18253282,Argyropelecus gigas,NA,LC,Giant Hatchetfish
154998,Argyropelecus hemigymnus,NA,LC,Half-naked Hatchetfish
21132859,Argyropelecus sladeni,NA,LC,Sladen's hatchet fish
60469232,Aristostomias lunifer,NA,LC,NA
21132898,Aristostomias polydactylus,NA,LC,NA
190353,Aristostomias tittmanni,NA,LC,Loosejaw
18256447,Astronesthes gemmifer,NA,DD,Snaggletooth
190229,Astronesthes leucopogon,NA,LC,NA
190361,Astronesthes niger,NA,LC,Snaggletooth
154815,Astronesthes richardsoni,NA,LC,Richardson's Snaggletooth
21132928,Bathophilus brevis,NA,LC,NA
18256458,Bathophilus digitatus,NA,LC,Scaleless Black Dragonfish
60469323,Bathophilus metallicus,NA,LC,NA
18256490,Bathophilus vaillanti,NA,LC,Scaleless Dragonfish
190176,Bonapartia pedaliota,NA,LC,Longray Fangjaw
198762,Borostomias antarcticus,NA,LC,Snaggletooth
190203,Chauliodus danae,NA,LC,Dana Viperfish
190324,Chauliodus sloani,NA,LC,Sloane's Viperfish
18252612,Cyclothone acclinidens,NA,LC,Bent-tooth Bristlemouth
190300,Cyclothone alba,NA,LC,Pale Bristlemouth
198757,Cyclothone braueri,NA,LC,Brauer's Eye-nosed Fish
190133,Cyclothone microdon,NA,LC,Small-toothed Portholefish
18252619,Cyclothone pallida,NA,LC,Bicolored Bristlemouth
18252629,Cyclothone pseudopallida,NA,LC,Slender Bristlemouth
18256560,Echiostoma barbatum,NA,LC,Threadfin Dragonfish
47165104,Eustomias bibulbosus,NA,LC,NA
47165158,Eustomias bigelowi,NA,LC,NA
47165363,Eustomias macrurus,NA,LC,Scaleless Dragonfish
18256943,Eustomias obscurus,NA,LC,Scaleless Dragonfish
190465,Eustomias polyaster,NA,DD,NA
60470418,Eustomias satterleei,NA,LC,Twinray dragonfish
60470422,Eustomias simplex,NA,LC,NA
18256992,Flagellostomias boureei,NA,LC,Longbarb Dragonfish
154624,Peprilus paru,NA,LC,American Harvestfish
177982,Acanthurus chirurgus,NA,LC,Doctorfish
177953,Acanthurus coeruleus,NA,LC,Blue Tang
12302,Lontra canadensis,NA,LC,North American River Otter
190296,Tetragonurus atlanticus,NA,LC,Bigeye Squaretail
198716,Tetragonurus cuvieri,NA,LC,Smalleye Squaretail
21856,Thunnus alalunga,NA,NT,Albacore Tuna
21857,Thunnus albacares,NA,NT,Yellowfin Tuna
21859,Thunnus obesus,NA,VU,Bigeye Tuna
21860,Thunnus thynnus,NA,EN,Atlantic Bluefin Tuna
170314,Makaira nigricans,NA,VU,Blue Marlin
23148,Xiphias gladius,NA,LC,Swordfish
155096,Sarda sarda,NA,LC,Atlantic Bonito
155276,Thunnus atlanticus,NA,LC,Blackfin Tuna
170339,Scomberomorus cavalla,NA,LC,King Mackerel
170323,Scomberomorus maculatus,NA,LC,Atlantic Spanish Mackerel
170345,Euthynnus alletteratus,NA,LC,Little Tunny
170354,Scomber scombrus,NA,LC,Atlantic Mackerel
170322,Kajikia albida,NA,VU,White Marlin
170327,Scomberomorus regalis,NA,LC,Cero
170333,Tetrapturus georgii,NA,DD,Roundscale Spearfish
170338,Istiophorus platypterus,NA,LC,Sailfish
170344,Auxis thazard,NA,LC,Frigate Tuna
170355,Auxis rochei,NA,LC,Bullet Tuna
170307,Tetrapturus pfluegeri,NA,LC,Longbill Spearfish
170310,Katsuwonus pelamis,NA,LC,Skipjack Tuna
47153800,Astroscopus guttatus,NA,LC,Northern Stargazer
187479,Tautoga onitis,NA,VU,Black-fish
187448,Tautogolabrus adspersus,NA,LC,Blue perch
190721,Sparisoma rubripinne,NA,LC,Redfin Parrotfish
198723,Melanostigma atlanticum,NA,LC,Atlantic Soft Pout
18180983,Pachycara bulbiceps,NA,LC,Snubnose eelpout
22693764,Charadrius semipalmatus,NA,LC,Semipalmated Plover
62169677,Fulica americana,NA,LC,American Coot
22693777,Charadrius vociferus,NA,LC,Killdeer
22694787,Chlidonias niger,NA,LC,Black Tern
22689714,Chordeiles minor,NA,LC,Common Nighthawk
22680427,Clangula hyemalis,NA,VU,Long-tailed Duck
22694469,Hydrocoloeus minutus,NA,LC,Little Gull
22696974,Egretta thula,NA,LC,Snowy Egret
22697829,Gavia stellata,NA,LC,Red-throated Loon
22697211,Nycticorax nycticorax,NA,LC,Black-crowned Night-heron
22696453,Falco columbarius,NA,LC,Merlin
45354964,Falco peregrinus,NA,LC,Peregrine Falcon
62026481,Gelochelidon nilotica,NA,LC,Common Gull-billed Tern
22697842,Gavia immer,NA,LC,Common Loon
22680423,Histrionicus histrionicus,NA,LC,Harlequin Duck
22735803,Hydrobates castro,NA,LC,Band-rumped Storm-petrel
22698511,Hydrobates leucorhous,NA,VU,Leach's Storm-petrel
22697314,Ixobrychus exilis,NA,LC,Least Bittern
22721123,Ammospiza maritima,NA,LC,Seaside Sparrow
22728393,Ammospiza nelsoni,NA,LC,Nelson's Sparrow
22680163,Mareca americana,NA,LC,American Wigeon
22680157,Mareca penelope,NA,LC,Eurasian Wigeon
22694455,Larus atricilla,NA,LC,Laughing Gull
22694317,Larus delawarensis,NA,LC,Ring-billed Gull
22694373,Larus fuscus,NA,LC,Lesser Black-backed Gull
22694346,Larus glaucoides,NA,LC,Iceland Gull
22694324,Larus marinus,NA,LC,Great Black-backed Gull
22694432,Larus philadelphia,NA,LC,Bonaparte's Gull
22694420,Larus ridibundus,NA,LC,Black-headed Gull
62030590,Larus smithsonianus,NA,LC,Arctic Herring Gull
22693344,Limnodromus griseus,NA,LC,Short-billed Dowitcher
22698436,Oceanites oceanicus,NA,LC,Wilson's Storm-petrel
22693154,Limosa haemastica,NA,LC,Hudsonian Godwit
22680472,Lophodytes cucullatus,NA,LC,Hooded Merganser
22680441,Melanitta perspicillata,NA,LC,Surf Scoter
22680492,Mergus merganser,NA,LC,Goosander
22680485,Mergus serrator,NA,LC,Red-breasted Merganser
22697648,Mycteria americana,NA,LC,Wood Stork
22696792,Phalacrocorax carbo,NA,LC,Great Cormorant
22693178,Numenius phaeopus,NA,LC,Whimbrel
22697203,Nyctanassa violacea,NA,LC,Yellow-crowned Night-heron
22694730,Onychoprion anaethetus,NA,LC,Bridled Tern
22694938,Pandion haliaetus,NA,LC,Osprey
22696776,Phalacrocorax auritus,NA,LC,Double-crested cormorant
22693749,Pluvialis squatarola,NA,LC,Grey Plover
22694856,Pinguinus impennis,NA,EX,Great Auk
22693740,Pluvialis dominica,NA,LC,American Golden Plover
62155296,Rallus crepitans,NA,LC,Clapper Rail
22694256,Rynchops niger,NA,LC,Black Skimmer
22694629,Sterna paradisaea,NA,LC,Arctic Tern
22680405,Somateria mollissima,NA,NT,Common Eider
22680409,Somateria spectabilis,NA,LC,King Eider
22680247,Spatula clypeata,NA,LC,Northern Shoveler
22680229,Spatula discors,NA,LC,Blue-winged Teal
22694240,Stercorarius pomarinus,NA,LC,Pomarine Jaeger
22694623,Sterna hirundo,NA,LC,Common Tern
22694673,Sternula antillarum,NA,LC,Least Tern
22694591,Thalasseus sandvicensis,NA,LC,Sandwich Tern
22693319,Tringa semipalmata,NA,LC,Willet
22693231,Tringa melanoleuca,NA,LC,Greater Yellowlegs
22710886,Sturnus vulgaris,NA,LC,Common Starling
22696657,Morus bassanus,NA,LC,Northern Gannet
22694524,Hydroprogne caspia,NA,LC,Caspian Tern
22696599,Podiceps grisegena,NA,LC,Red-necked Grebe
22698088,Pterodroma cahow,NA,EN,Bermuda Petrel
22736135,Pterodroma deserta,NA,VU,Desertas Petrel
45959182,Puffinus lherminieri,NA,LC,Audubon's Shearwater
22698226,Puffinus puffinus,NA,LC,Manx Shearwater
22694497,Rissa tridactyla,NA,VU,Black-legged Kittiwake
22694542,Thalasseus maximus,NA,LC,Royal Tern
22694841,Uria aalge,NA,LC,Common Murre
22694847,Uria lomvia,NA,LC,Thick-billed Murre
22705993,Corvus ossifragus,NA,LC,Fish Crow
22711374,Cistothorus palustris,NA,LC,Marsh Wren
22721836,Geothlypis trichas,NA,LC,Common Yellowthroat
22696931,Egretta tricolor,NA,LC,Tricolored Heron
22680364,Aythya valisineria,NA,LC,Canvasback
22721058,Melospiza melodia,NA,LC,Song Sparrow
22693644,Haematopus palliatus,NA,LC,American Oystercatcher
22695144,Haliaeetus leucocephalus,NA,LC,Bald Eagle
22679946,Branta bernicla,NA,LC,Brent Goose
22693427,Calidris alpina,NA,LC,Dunlin
22693399,Calidris fuscicollis,NA,LC,White-rumped Sandpiper
22694343,Larus hyperboreus,NA,LC,Glaucous Gull
22693396,Calidris minutilla,NA,LC,Least Sandpiper
22732425,Melanitta americana,NA,NT,Black Scoter
22693373,Calidris pusilla,NA,NT,Semipalmated Sandpiper
22693383,Calidris ruficollis,NA,NT,Red-necked Stint
22734194,Melanitta deglandi,NA,LC,White-winged Scoter
22696998,Ardea herodias,NA,LC,Great Blue Heron
22680455,Bucephala clangula,NA,LC,Common Goldeneye
22697043,Ardea alba,NA,LC,Great White Egret
22693277,Actitis macularius,NA,LC,Spotted Sandpiper
22680301,Anas acuta,NA,LC,Northern Pintail
22680174,Anas rubripes,NA,LC,American Black Duck
22679896,Anser caerulescens,NA,LC,Snow Goose
22693336,Arenaria interpres,NA,LC,Ruddy Turnstone
22680402,Aythya affinis,NA,LC,Lesser Scaup
22680367,Aythya americana,NA,LC,Redhead
22680391,Aythya fuligula,NA,LC,Tufted Duck
22680398,Aythya marila,NA,LC,Greater Scaup
22680462,Bucephala albeola,NA,LC,Bufflehead
22728182,Butorides striata,NA,LC,Green-backed Heron
22693369,Calidris alba,NA,LC,Sanderling
22693363,Calidris canutus,NA,NT,Red Knot
22693420,Calidris maritima,NA,LC,Purple Sandpiper
22693408,Calidris melanotos,NA,LC,Pectoral Sandpiper
22680418,Camptorhynchus labradorius,NA,EX,Labrador Duck
22694861,Cepphus grylle,NA,LC,Black Guillemot
22696645,Phaethon lepturus,NA,LC,White-tailed Tropicbird
22718575,Anthus rubescens,NA,LC,Buff-bellied Pipit
22721033,Calcarius lapponicus,NA,LC,Lapland Longspur
22694740,Onychoprion fuscatus,NA,LC,Sooty Tern
22694852,Alca torda,NA,NT,Razorbill
22694837,Alle alle,NA,LC,Little Auk
22698201,Ardenna gravis,NA,LC,Great Shearwater
22694160,Catharacta skua,NA,LC,Great Skua
22694927,Fratercula arctica,NA,VU,Atlantic Puffin
22697866,Fulmarus glacialis,NA,LC,Northern Fulmar
22698209,Ardenna grisea,NA,NT,Sooty Shearwater
22696944,Egretta caerulea,NA,LC,Little Blue Heron
22694601,Sterna dougallii,NA,LC,Roseate Tern
22694479,Xema sabini,NA,LC,Sabine's Gull
22717434,Eremophila alpestris,NA,LC,Horned Lark
