"","year","code","category","sciname"
"523","2015","LC","Least Concern","Scopelarchus analis"
"524","2015","LC","Least Concern","Arctozenus risso"
"525","2015","LC","Least Concern","Lestidiops affinis"
"526","2015","LC","Least Concern","Lestidiops jayakari"
"527","2015","LC","Least Concern","Lestidium atlanticum"
"528","2015","LC","Least Concern","Lestrolepis intermedia"
"529","2015","LC","Least Concern","Macroparalepis affinis"
"530","2015","LC","Least Concern","Macroparalepis brevis"
"531","2015","LC","Least Concern","Magnisudis atlantica"
"532","2015","LC","Least Concern","Paralepis elongata"
"533","2015","LC","Least Concern","Stemonosudis intermedia"
"534","2015","LC","Least Concern","Sudis atrox"
"535","2015","DD","Data Deficient","Sudis hyalina"
"536","2015","LC","Least Concern","Omosudis lowii"
"537","2015","LC","Least Concern","Ahliesaurus berryi"
"538","2015","LC","Least Concern","Scopelosaurus argenteus"
"539","2015","LC","Least Concern","Scopelosaurus lepidus"
"540","2015","LC","Least Concern","Scopelosaurus smithii"
"541","2015","LC","Least Concern","Bathypterois dubius"
"542","2015","LC","Least Concern","Bathypterois grallator"
"543","2015","LC","Least Concern","Bathypterois longipes"
"544","2015","LC","Least Concern","Bathypterois phenax"
"545","2015","LC","Least Concern","Coccorella atlantica"
"546","2015","LC","Least Concern","Evermannella balbo"
"547","2015","LC","Least Concern","Odontostomops normalops"
"548","2015","LC","Least Concern","Chlorophthalmus agassizi"
"549","2015","LC","Least Concern","Parasudis truculenta"
"550","2015","LC","Least Concern","Bathysaurus ferox"
"551","2015","LC","Least Concern","Bathysaurus mollis"
"552","2015","LC","Least Concern","Anotopterus pharao"
"553","2015","LC","Least Concern","Alepisaurus brevirostris"
"554","2010","LC","Least Concern","Alepisaurus ferox"
"555","2015","LC","Least Concern","Opsanus tau"
"556","2015","LC","Least Concern","Scomberesox saurus"
"557","2015","LC","Least Concern","Euleptorhamphus velox"
"558","2015","LC","Least Concern","Hemiramphus balao"
"559","2015","LC","Least Concern","Hemiramphus brasiliensis"
"560","2015","LC","Least Concern","Hyporhamphus meeki"
"561","2015","LC","Least Concern","Oxyporhamphus similis"
"562","2015","LC","Least Concern","Cheilopogon cyanopterus"
"563","2015","LC","Least Concern","Cheilopogon exsiliens"
"564","2015","LC","Least Concern","Cheilopogon furcatus"
"565","2015","LC","Least Concern","Cheilopogon melanurus"
"566","2015","LC","Least Concern","Cheilopogon nigricans"
"567","2015","LC","Least Concern","Exocoetus obtusirostris"
"568","2015","LC","Least Concern","Exocoetus volitans"
"569","2015","LC","Least Concern","Hirundichthys speculiger"
"570","2015","LC","Least Concern","Hirundichthys volador"
"571","2015","LC","Least Concern","Prognichthys glaphyrae"
"572","2015","LC","Least Concern","Ablennes hians"
"573","2010","LC","Least Concern","Strongylura marina"
"574","2015","LC","Least Concern","Gephyroberyx darwinii"
"575","2015","LC","Least Concern","Hoplostethus mediterraneus"
"576","2015","LC","Least Concern","Diretmichthys parini"
"577","2015","LC","Least Concern","Diretmus argenteus"
"578","2015","LC","Least Concern","Beryx decadactylus"
"579","2015","LC","Least Concern","Beryx splendens"
"580","2015","LC","Least Concern","Anoplogaster cornuta"
"581","2015","LC","Least Concern","Ostichthys trachypoma"
"582","2015","LC","Least Concern","Brama brama"
"583","2015","LC","Least Concern","Pterycombus brama"
"584","2015","LC","Least Concern","Taractichthys longipinnis"
"585","2010","LC","Least Concern","Chaetodon ocellatus"
"586","2010","LC","Least Concern","Chaetodon capistratus"
"587","2015","LC","Least Concern","Foetorepus agassizii"
"588","2015","LC","Least Concern","Foetorepus goodenbeani"
"589","2015","LC","Least Concern","Antigonia capros"
"590","2010","LC","Least Concern","Antigonia combatia"
"591","2010","LC","Least Concern","Alectis ciliaris"
"592","2015","LC","Least Concern","Caranx bartholomaei"
"593","2010","LC","Least Concern","Caranx crysos"
"594","2015","LC","Least Concern","Caranx hippos"
"595","2015","LC","Least Concern","Caranx latus"
"596","2015","LC","Least Concern","Caranx ruber"
"597","2015","LC","Least Concern","Chloroscombrus chrysurus"
"598","2015","LC","Least Concern","Decapterus macarellus"
"599","2015","LC","Least Concern","Decapterus punctatus"
"600","2015","LC","Least Concern","Elagatis bipinnulata"
"601","2015","LC","Least Concern","Naucrates ductor"
"602","2015","LC","Least Concern","Selar crumenophthalmus"
"603","2015","LC","Least Concern","Selene setapinnis"
"604","2015","LC","Least Concern","Selene vomer"
"605","2015","LC","Least Concern","Seriola dumerili"
"606","2015","LC","Least Concern","Seriola fasciata"
"607","2015","LC","Least Concern","Seriola rivoliana"
"608","2015","LC","Least Concern","Seriola zonata"
"609","2015","LC","Least Concern","Trachinotus carolinus"
"610","2015","LC","Least Concern","Trachinotus falcatus"
"611","2010","LC","Least Concern","Trachinotus goodei"
"612","2015","LC","Least Concern","Trachurus lathami"
"613","2015","LC","Least Concern","Oligoplites saurus"
"614","2015","LC","Least Concern","Centrolophus niger"
"615","2010","LC","Least Concern","Hyperoglyphe perciformis"
"616","2015","LC","Least Concern","Barbourisia rufa"
"617","2015","DD","Data Deficient","Cetomimus gillii"
"618","2015","DD","Data Deficient","Cetostoma regani"
"619","2015","DD","Data Deficient","Ditropichthys storeri"
"620","2015","DD","Data Deficient","Gyrinomimus myersi"
"621","2015","LC","Least Concern","Rondeletia loricata"
"622","2015","LC","Least Concern","Chiasmodon niger"
"623","2015","LC","Least Concern","Dysalotus alcocki"
"624","2015","LC","Least Concern","Dysalotus oligoscolus"
"625","2015","LC","Least Concern","Kali indica"
"626","2015","LC","Least Concern","Kali kerberti"
"627","2015","LC","Least Concern","Kali macrura"
"628","2015","LC","Least Concern","Kali parri"
"629","2015","LC","Least Concern","Pseudoscopelus altipinnis"
"630","2015","LC","Least Concern","Pseudoscopelus scriptus"
"631","2015","LC","Least Concern","Pseudoscopelus scutatus"
"632","2009","NT","Near Threatened","Carcharhinus limbatus"
"633","2000","LR/nt","Lower Risk/near threatened","Carcharhinus limbatus"
"634","1996","VU","Vulnerable","Carcharhinus limbatus"
"635","2009","VU","Vulnerable","Carcharhinus obscurus"
"636","2000","LR/nt","Lower Risk/near threatened","Carcharhinus obscurus"
"637","1996","EN","Endangered","Carcharhinus obscurus"
"638","2009","VU","Vulnerable","Carcharhinus plumbeus"
"639","2000","LR/nt","Lower Risk/near threatened","Carcharhinus plumbeus"
"640","1996","VU","Vulnerable","Carcharhinus plumbeus"
"641","2009","VU","Vulnerable","Carcharodon carcharias"
"642","2000","VU","Vulnerable","Carcharodon carcharias"
"643","1996","VU","Vulnerable","Carcharodon carcharias"
"644","1994","K","Insufficiently Known","Carcharodon carcharias"
"645","1990","K","Insufficiently Known","Carcharodon carcharias"
"646","2009","VU","Vulnerable","Cetorhinus maximus"
"647","2000","VU","Vulnerable","Cetorhinus maximus"
"648","1996","VU","Vulnerable","Cetorhinus maximus"
"649","1994","K","Insufficiently Known","Cetorhinus maximus"
"650","1990","K","Insufficiently Known","Cetorhinus maximus"
"651","2018","VU","Vulnerable","Dalatias licha"
"652","2009","NT","Near Threatened","Dalatias licha"
"653","2000","DD","Data Deficient","Dalatias licha"
"654","1996","LR/nt","Lower Risk/near threatened","Dalatias licha"
"655","1996","VU","Vulnerable","Dalatias licha"
"656","2006","VU","Vulnerable","Lamna nasus"
"657","2000","LR/nt","Lower Risk/near threatened","Lamna nasus"
"658","1996","VU","Vulnerable","Lamna nasus"
"659","2016","EN","Endangered","Rhincodon typus"
"660","2005","VU","Vulnerable","Rhincodon typus"
"661","2000","VU","Vulnerable","Rhincodon typus"
"662","1996","DD","Data Deficient","Rhincodon typus"
"663","1994","I","Indeterminate","Rhincodon typus"
"664","1990","I","Indeterminate","Rhincodon typus"
"665","2009","DD","Data Deficient","Odontaspis noronhai"
"666","2000","DD","Data Deficient","Odontaspis noronhai"
"667","2009","VU","Vulnerable","Alopias vulpinus"
"668","2002","DD","Data Deficient","Alopias vulpinus"
"669","2000","DD","Data Deficient","Alopias vulpinus"
"670","2009","VU","Vulnerable","Isurus oxyrinchus"
"671","2000","LR/nt","Lower Risk/near threatened","Isurus oxyrinchus"
"672","2009","NT","Near Threatened","Carcharhinus brevipinna"
"673","2000","LR/nt","Lower Risk/near threatened","Carcharhinus brevipinna"
"674","2017","VU","Vulnerable","Carcharhinus falciformis"
"675","2016","NT","Near Threatened","Carcharhinus falciformis"
"676","2009","NT","Near Threatened","Carcharhinus falciformis"
"677","2000","LR/lc","Lower Risk/least concern","Carcharhinus falciformis"
"678","2009","NT","Near Threatened","Carcharhinus leucas"
"679","2000","LR/nt","Lower Risk/near threatened","Carcharhinus leucas"
"680","2015","VU","Vulnerable","Carcharhinus longimanus"
"681","2006","VU","Vulnerable","Carcharhinus longimanus"
"682","2000","LR/nt","Lower Risk/near threatened","Carcharhinus longimanus"
"683","2009","NT","Near Threatened","Galeocerdo cuvier"
"684","2000","LR/nt","Lower Risk/near threatened","Galeocerdo cuvier"
"685","2015","NT","Near Threatened","Negaprion brevirostris"
"686","2009","NT","Near Threatened","Negaprion brevirostris"
"687","2000","LR/nt","Lower Risk/near threatened","Negaprion brevirostris"
"688","2009","NT","Near Threatened","Prionace glauca"
"689","2000","LR/nt","Lower Risk/near threatened","Prionace glauca"
"690","2009","EN","Endangered","Sphyrna lewini"
"691","2000","LR/nt","Lower Risk/near threatened","Sphyrna lewini"
"692","2007","EN","Endangered","Sphyrna mokarran"
"693","2000","DD","Data Deficient","Sphyrna mokarran"
"694","2016","LC","Least Concern","Sphyrna tiburo"
"695","2005","LC","Least Concern","Sphyrna tiburo"
"696","2000","LR/lc","Lower Risk/least concern","Sphyrna tiburo"
"697","2009","VU","Vulnerable","Sphyrna zygaena"
"698","2000","LR/nt","Lower Risk/near threatened","Sphyrna zygaena"
"699","2003","NT","Near Threatened","Centroscymnus coelolepis"
"700","2003","DD","Data Deficient","Echinorhinus brucus"
"701","2016","LC","Least Concern","Apristurus melanoasper"
"702","2009","DD","Data Deficient","Apristurus melanoasper"
"703","2003","DD","Data Deficient","Apristurus melanoasper"
"704","2007","DD","Data Deficient","Apristurus laurussonii"
"705","2004","DD","Data Deficient","Apristurus laurussonii"
"706","2004","DD","Data Deficient","Apristurus profundorum"
"707","2015","LC","Least Concern","Pseudotriakis microdon"
"708","2004","DD","Data Deficient","Pseudotriakis microdon"
"709","2004","LC","Least Concern","Apristurus manis"
"710","2004","LC","Least Concern","Apristurus microps"
"711","2006","NT","Near Threatened","Rhinoptera bonasus"
"712","2016","LC","Least Concern","Harriotta raleighana"
"713","2006","LC","Least Concern","Harriotta raleighana"
"714","2006","LC","Least Concern","Rhinochimaera atlantica"
"715","2016","LC","Least Concern","Hypanus say"
"716","2006","LC","Least Concern","Hypanus say"
"717","2006","NT","Near Threatened","Somniosus microcephalus"
"718","2006","VU","Vulnerable","Carcharhinus signatus"
"719","2006","DD","Data Deficient","Ginglymostoma cirratum"
"720","2006","VU","Vulnerable","Isurus paucus"
"721","2006","LC","Least Concern","Scyliorhinus retifer"
"722","2006","DD","Data Deficient","Etmopterus princeps"
"723","2009","DD","Data Deficient","Squatina dumeril"
"724","2007","LC","Least Concern","Hydrolagus affinis"
"725","2015","LC","Least Concern","Bathyraja richardsoni"
"726","2007","LC","Least Concern","Bathyraja richardsoni"
"727","2016","LC","Least Concern","Bathytoshia centroura"
"728","2007","LC","Least Concern","Bathytoshia centroura"
"729","2009","NT","Near Threatened","Bathyraja spinicauda"
"730","2009","LC","Least Concern","Rajella bigelowi"
"731","2009","LC","Least Concern","Amblyraja jenseni"
"732","2009","LC","Least Concern","Centroscyllium fabricii"
"733","2009","LC","Least Concern","Carcharhinus isodon"
"734","2009","DD","Data Deficient","Myliobatis freminvillii"
"735","2009","DD","Data Deficient","Tetronarce nobiliana"
"736","2009","LC","Least Concern","Rajella fyllae"
"737","2009","VU","Vulnerable","Alopias superciliosus"
"738","2009","LC","Least Concern","Pteroplatytrygon violacea"
"739","2018","VU","Vulnerable","Mobula birostris"
"740","2011","VU","Vulnerable","Mobula birostris"
"741","2015","LC","Least Concern","Anchoa lyolepis"
"742","2015","LC","Least Concern","Engraulis eurystole"
"743","2015","LC","Least Concern","Harengula jaguana"
"744","2015","LC","Least Concern","Opisthonema oglinum"
"745","2015","LC","Least Concern","Sardinella aurita"
"746","2014","LC","Least Concern","Hypsoblennius hentz"
"747","2008","LC","Least Concern","Astrangia poculata"
"748","2011","LC","Least Concern","Coryphaena equiselis"
"749","2011","LC","Least Concern","Coryphaena hippurus"
"750","2010","LC","Least Concern","Coryphaena hippurus"
"751","2013","LC","Least Concern","Cyprinodon variegatus"
"752","2013","LC","Least Concern","Fundulus heteroclitus"
"753","2015","LC","Least Concern","Fundulus majalis"
"754","2013","LC","Least Concern","Lucania parva"
"755","2015","LC","Least Concern","Echeneis naucrates"
"756","2015","DD","Data Deficient","Echeneis neucratoides"
"757","2015","LC","Least Concern","Phtheirichthys lineatus"
"758","2010","LC","Least Concern","Remora albescens"
"759","2015","LC","Least Concern","Remora australis"
"760","2010","LC","Least Concern","Remora brachyptera"
"761","2015","LC","Least Concern","Remora osteochir"
"762","2015","LC","Least Concern","Remora remora"
"763","2015","LC","Least Concern","Chaetodipterus faber"
"764","2015","LC","Least Concern","Epigonus denticulatus"
"765","2015","LC","Least Concern","Epigonus pandionis"
"766","2015","LC","Least Concern","Enchelyopus cimbrius"
"767","2015","LC","Least Concern","Coelorinchus caelorhincus"
"768","2010","DD","Data Deficient","Coelorinchus caelorhincus"
"769","2015","LC","Least Concern","Coryphaenoides armatus"
"770","2015","LC","Least Concern","Coryphaenoides guentheri"
"771","2015","LC","Least Concern","Coryphaenoides leptolepis"
"772","2015","LC","Least Concern","Coryphaenoides mediterraneus"
"773","2015","CR","Critically Endangered","Coryphaenoides rupestris"
"774","2015","LC","Least Concern","Hymenocephalus italicus"
"775","2010","LC","Least Concern","Malacocephalus occidentalis"
"776","2015","LC","Least Concern","Nezumia aequalis"
"777","2015","LC","Least Concern","Nezumia sclerorhynchus"
"778","2015","LC","Least Concern","Melanonus zugmayeri"
"779","2015","LC","Least Concern","Merluccius albidus"
"780","2015","LC","Least Concern","Antimora rostrata"
"781","2015","LC","Least Concern","Gadella imberbis"
"782","2015","LC","Least Concern","Physiculus fulvus"
"783","2015","LC","Least Concern","Fistularia petimba"
"784","2015","LC","Least Concern","Fistularia tabacaria"
"785","2015","LC","Least Concern","Gasterosteus wheatlandi"
"786","2015","LC","Least Concern","Diplospinus multistriatus"
"787","2015","LC","Least Concern","Gempylus serpens"
"788","2015","LC","Least Concern","Lepidocybium flavobrunneum"
"789","2015","LC","Least Concern","Nealotus tripes"
"790","2015","LC","Least Concern","Nesiarchus nasutus"
"791","2015","LC","Least Concern","Promethichthys prometheus"
"792","2015","LC","Least Concern","Ruvettus pretiosus"
"793","2015","LC","Least Concern","Gobiesox strumosus"
"794","2015","LC","Least Concern","Gobiosoma bosc"
"795","2015","LC","Least Concern","Gobiosoma ginsburgi"
"796","2015","LC","Least Concern","Kyphosus sectatrix"
"797","2015","LC","Least Concern","Lampris guttatus"
"798","2015","LC","Least Concern","Regalecus glesne"
"799","2015","LC","Least Concern","Stylephorus chordatus"
"800","2015","LC","Least Concern","Desmodema polystictum"
"801","2015","LC","Least Concern","Zu cristatus"
"802","2011","LC","Least Concern","Stereomastis sculpta"
"803","2011","LC","Least Concern","Nephropsis aculeata"
"804","2011","DD","Data Deficient","Panulirus argus"
"805","2011","LC","Least Concern","Stereomastis nana"
"806","2011","LC","Least Concern","Cardus crucifer"
"807","2011","LC","Least Concern","Polycheles typhlops"
"808","2015","LC","Least Concern","Fowlerichthys radiosus"
"809","2015","LC","Least Concern","Histrio histrio"
"810","2015","LC","Least Concern","Caulophryne jordani"
"811","2015","LC","Least Concern","Caulophryne polynema"
"812","2015","LC","Least Concern","Centrophryne spinulosa"
"813","2015","LC","Least Concern","Ceratias holboelli"
"814","2015","LC","Least Concern","Ceratias uranoscopus"
"815","2015","LC","Least Concern","Cryptopsaras couesii"
"816","2015","LC","Least Concern","Bufoceratias wedli"
"817","2015","LC","Least Concern","Diceratias pileatus"
"818","2015","LC","Least Concern","Gigantactis gibbsi"
"819","2015","LC","Least Concern","Gigantactis ios"
"820","2015","LC","Least Concern","Gigantactis longicirra"
"821","2015","DD","Data Deficient","Gigantactis vanhoeffeni"
"822","2015","DD","Data Deficient","Himantolophus albinares"
"823","2015","DD","Data Deficient","Himantolophus brevirostris"
"824","2015","LC","Least Concern","Himantolophus groenlandicus"
"825","2015","DD","Data Deficient","Himantolophus rostratus"
"826","2015","LC","Least Concern","Haplophryne mollis"
"827","2015","LC","Least Concern","Linophryne pennibarbata"
"828","2015","LC","Least Concern","Melanocetus johnsonii"
"829","2015","LC","Least Concern","Neoceratias spinifer"
"830","2015","LC","Least Concern","Dibranchus atlanticus"
"831","2015","LC","Least Concern","Dibranchus tremendus"
"832","2015","LC","Least Concern","Chaenophryne draco"
"833","2010","LC","Least Concern","Chaenophryne longiceps"
"834","2015","LC","Least Concern","Chaenophryne ramifera"
"835","2015","LC","Least Concern","Dolopichthys allector"
"836","2015","LC","Least Concern","Dolopichthys danae"
"837","2015","LC","Least Concern","Dolopichthys longicornis"
"838","2015","DD","Data Deficient","Dolopichthys pullatus"
"839","2015","DD","Data Deficient","Leptacanthichthys gracilispinis"
"840","2015","LC","Least Concern","Lophodolos acanthognathus"
"841","2015","LC","Least Concern","Microlophichthys microlophus"
"842","2015","LC","Least Concern","Oneirodes eschrichtii"
"843","2015","LC","Least Concern","Oneirodes macrosteus"
"844","2015","LC","Least Concern","Pentherichthys atratus"
"845","2015","LC","Least Concern","Phyllorhinichthys balushkini"
"846","2015","LC","Least Concern","Spiniphryne gladisfenae"
"847","2016","VU","Vulnerable","Lutjanus cyanopterus"
"848","1996","VU","Vulnerable","Lutjanus cyanopterus"
"849","2016","LC","Least Concern","Lutjanus griseus"
"850","2016","DD","Data Deficient","Lutjanus jocu"
"851","2016","DD","Data Deficient","Ocyurus chrysurus"
"852","2015","LC","Least Concern","Luvarus imperialis"
"853","2018","LC","Least Concern","Stenella clymene"
"854","2012","DD","Data Deficient","Stenella clymene"
"855","2008","DD","Data Deficient","Stenella clymene"
"856","1996","DD","Data Deficient","Stenella clymene"
"857","1994","K","Insufficiently Known","Stenella clymene"
"858","2018","LC","Least Concern","Lagenorhynchus albirostris"
"859","2012","LC","Least Concern","Lagenorhynchus albirostris"
"860","2008","LC","Least Concern","Lagenorhynchus albirostris"
"861","1996","LR/lc","Lower Risk/least concern","Lagenorhynchus albirostris"
"862","1994","K","Insufficiently Known","Lagenorhynchus albirostris"
"863","2016","LC","Least Concern","Phoca vitulina"
"864","2008","LC","Least Concern","Phoca vitulina"
"865","1996","LR/lc","Lower Risk/least concern","Phoca vitulina"
"866","2018","EN","Endangered","Balaenoptera musculus"
"867","2008","EN","Endangered","Balaenoptera musculus"
"868","1996","EN","Endangered","Balaenoptera musculus"
"869","1994","E","Endangered","Balaenoptera musculus"
"870","1990","E","Endangered","Balaenoptera musculus"
"871","1988","E","Endangered","Balaenoptera musculus"
"872","1986","E","Endangered","Balaenoptera musculus"
"873","1965",NA,"""Very rare and believed to be decreasing in numbers""","Balaenoptera musculus"
"874","2018","LC","Least Concern","Balaenoptera edeni"
"875","2008","DD","Data Deficient","Balaenoptera edeni"
"876","1996","DD","Data Deficient","Balaenoptera edeni"
"877","1994","K","Insufficiently Known","Balaenoptera edeni"
"878","2017","DD","Data Deficient","Orcinus orca"
"879","2013","DD","Data Deficient","Orcinus orca"
"880","2008","DD","Data Deficient","Orcinus orca"
"881","1996","LR/cd","Lower Risk/conservation dependent","Orcinus orca"
"882","1994","K","Insufficiently Known","Orcinus orca"
"883","2016","LC","Least Concern","Halichoerus grypus"
"884","2008","LC","Least Concern","Halichoerus grypus"
"885","1996","LR/lc","Lower Risk/least concern","Halichoerus grypus"
"886","2016","VU","Vulnerable","Cystophora cristata"
"887","2008","VU","Vulnerable","Cystophora cristata"
"888","1996","LR/lc","Lower Risk/least concern","Cystophora cristata"
"889","2012","DD","Data Deficient","Kogia breviceps"
"890","2008","DD","Data Deficient","Kogia breviceps"
"891","1996","LR/lc","Lower Risk/least concern","Kogia breviceps"
"892","1994","K","Insufficiently Known","Kogia breviceps"
"893","2012","DD","Data Deficient","Kogia sima"
"894","2008","DD","Data Deficient","Kogia sima"
"895","1996","LR/lc","Lower Risk/least concern","Kogia sima"
"896","1994","K","Insufficiently Known","Kogia sima"
"897","2015","LC","Least Concern","Pagophilus groenlandicus"
"898","2008","LC","Least Concern","Pagophilus groenlandicus"
"899","1996","LR/lc","Lower Risk/least concern","Pagophilus groenlandicus"
"900","2018","LC","Least Concern","Stenella attenuata"
"901","2012","LC","Least Concern","Stenella attenuata"
"902","2008","LC","Least Concern","Stenella attenuata"
"903","1996","LR/cd","Lower Risk/conservation dependent","Stenella attenuata"
"904","1994","K","Insufficiently Known","Stenella attenuata"
"905","2018","LC","Least Concern","Stenella longirostris"
"906","2012","DD","Data Deficient","Stenella longirostris"
"907","2008","DD","Data Deficient","Stenella longirostris"
"908","1996","LR/cd","Lower Risk/conservation dependent","Stenella longirostris"
"909","2008","LC","Least Concern","Delphinus delphis"
"910","1996","LR/lc","Lower Risk/least concern","Delphinus delphis"
"911","1994","K","Insufficiently Known","Delphinus delphis"
"912","2008","DD","Data Deficient","Hyperoodon ampullatus"
"913","1996","LR/cd","Lower Risk/conservation dependent","Hyperoodon ampullatus"
"914","1994","K","Insufficiently Known","Hyperoodon ampullatus"
"915","1990","V","Vulnerable","Hyperoodon ampullatus"
"916","1988","V","Vulnerable","Hyperoodon ampullatus"
"917","1986","V","Vulnerable","Hyperoodon ampullatus"
"918","2017","LC","Least Concern","Mugil cephalus"
"919","2012","LC","Least Concern","Mugil cephalus"
"920","2008","LC","Least Concern","Mugil cephalus"
"921","2015","LC","Least Concern","Mugil curema"
"922","2015","LC","Least Concern","Mullus auratus"
"923","2015","LC","Least Concern","Pseudupeneus maculatus"
"924","2015","LC","Least Concern","Benthosema glaciale"
"925","2015","LC","Least Concern","Benthosema suborbitale"
"926","2015","LC","Least Concern","Bolinichthys indicus"
"927","2015","LC","Least Concern","Bolinichthys photothorax"
"928","2015","LC","Least Concern","Bolinichthys supralateralis"
"929","2015","LC","Least Concern","Centrobranchus nigroocellatus"
"930","2015","LC","Least Concern","Ceratoscopelus maderensis"
"931","2015","LC","Least Concern","Ceratoscopelus warmingii"
"932","2015","LC","Least Concern","Diaphus bertelseni"
"933","2015","LC","Least Concern","Diaphus brachycephalus"
"934","2015","DD","Data Deficient","Diaphus dumerilii"
"935","2015","LC","Least Concern","Diaphus effulgens"
"936","2015","LC","Least Concern","Diaphus fragilis"
"937","2015","LC","Least Concern","Diaphus garmani"
"938","2015","LC","Least Concern","Diaphus lucidus"
"939","2015","LC","Least Concern","Diaphus luetkeni"
"940","2015","LC","Least Concern","Diaphus metopoclampus"
"941","2015","LC","Least Concern","Diaphus mollis"
"942","2015","LC","Least Concern","Diaphus perspicillatus"
"943","2015","LC","Least Concern","Diaphus problematicus"
"944","2010","LC","Least Concern","Diaphus rafinesquii"
"945","2015","LC","Least Concern","Diaphus splendidus"
"946","2015","DD","Data Deficient","Diaphus subtilis"
"947","2015","DD","Data Deficient","Diaphus taaningi"
"948","2015","LC","Least Concern","Diaphus termophilus"
"949","2015","LC","Least Concern","Diogenichthys atlanticus"
"950","2015","LC","Least Concern","Electrona risso"
"951","2015","LC","Least Concern","Gonichthys cocco"
"952","2015","LC","Least Concern","Hygophum benoiti"
"953","2015","LC","Least Concern","Hygophum hygomii"
"954","2015","LC","Least Concern","Hygophum macrochir"
"955","2015","LC","Least Concern","Hygophum reinhardtii"
"956","2015","LC","Least Concern","Hygophum taaningi"
"957","2015","DD","Data Deficient","Lampadena anomala"
"958","2015","LC","Least Concern","Lampadena chavesi"
"959","2015","LC","Least Concern","Lampadena luminosa"
"960","2015","LC","Least Concern","Lampadena speculigera"
"961","2015","LC","Least Concern","Lampanyctus alatus"
"962","2015","LC","Least Concern","Lampanyctus crocodilus"
"963","2015","LC","Least Concern","Lampanyctus festivus"
"964","2015","LC","Least Concern","Lampanyctus intricarius"
"965","2015","LC","Least Concern","Lampanyctus macdonaldi"
"966","2015","LC","Least Concern","Lampanyctus nobilis"
"967","2015","LC","Least Concern","Lampanyctus photonotus"
"968","2015","LC","Least Concern","Lampanyctus pusillus"
"969","2015","LC","Least Concern","Lepidophanes gaussi"
"970","2015","LC","Least Concern","Lepidophanes guentheri"
"971","2015","LC","Least Concern","Lobianchia dofleini"
"972","2015","LC","Least Concern","Lobianchia gemellarii"
"973","2015","LC","Least Concern","Loweina interrupta"
"974","2015","LC","Least Concern","Loweina rara"
"975","2015","LC","Least Concern","Myctophum affine"
"976","2015","LC","Least Concern","Myctophum asperum"
"977","2015","LC","Least Concern","Myctophum nitidulum"
"978","2015","LC","Least Concern","Myctophum obtusirostre"
"979","2015","LC","Least Concern","Myctophum punctatum"
"980","2015","LC","Least Concern","Myctophum selenops"
"981","2015","LC","Least Concern","Nannobrachium atrum"
"982","2015","LC","Least Concern","Nannobrachium cuprarium"
"983","2015","LC","Least Concern","Nannobrachium lineatum"
"984","2015","LC","Least Concern","Notolychnus valdiviae"
"985","2015","LC","Least Concern","Notoscopelus bolini"
"986","2015","LC","Least Concern","Notoscopelus caudispinosus"
"987","2015","LC","Least Concern","Notoscopelus resplendens"
"988","2015","LC","Least Concern","Symbolophorus rufinus"
"989","2015","LC","Least Concern","Symbolophorus veranyi"
"990","2015","LC","Least Concern","Taaningichthys bathyphilus"
"991","2015","LC","Least Concern","Taaningichthys minimus"
"992","2015","LC","Least Concern","Cubiceps capensis"
"993","2015","LC","Least Concern","Cubiceps pauciradiatus"
"994","2015","LC","Least Concern","Nomeus gronovii"
"995","2015","LC","Least Concern","Psenes cyanophrys"
"996","2015","LC","Least Concern","Psenes pellucidus"
"997","2015","LC","Least Concern","Aldrovandia affinis"
"998","2015","LC","Least Concern","Aldrovandia gracilis"
"999","2015","LC","Least Concern","Aldrovandia phalacra"
"1000","2015","LC","Least Concern","Halosauropsis macrochir"
"1001","2015","LC","Least Concern","Halosaurus guentheri"
"1002","2015","LC","Least Concern","Notacanthus chemnitzii"
"1003","2015","LC","Least Concern","Polyacanthonotus challengeri"
"1004","2015","LC","Least Concern","Polyacanthonotus merretti"
"1005","2015","LC","Least Concern","Abyssobrotula galatheae"
"1006","2015","LC","Least Concern","Bassozetus compressus"
"1007","2015","LC","Least Concern","Bassozetus levistomatus"
"1008","2015","LC","Least Concern","Bassozetus normalis"
"1009","2015","DD","Data Deficient","Bathyonus laticeps"
"1010","2010","LC","Least Concern","Benthocometes robustus"
"1011","2015","LC","Least Concern","Dicrolene introniger"
"1012","2015","LC","Least Concern","Lamprogrammus brunswigi"
"1013","2015","DD","Data Deficient","Lamprogrammus shcherbachevi"
"1014","2015","LC","Least Concern","Lepophidium brevibarbe"
"1015","2015","LC","Least Concern","Lepophidium profundorum"
"1016","2015","LC","Least Concern","Ophidion marginatum"
"1017","2015","LC","Least Concern","Penopus microphthalmus"
"1018","2015","LC","Least Concern","Porogadus miles"
"1019","2015","LC","Least Concern","Spectrunculus grandis"
"1020","2015","LC","Least Concern","Parabrotula plagiophthalma"
"1021","2015","LC","Least Concern","Alepocephalus agassizii"
"1022","2015","LC","Least Concern","Alepocephalus australis"
"1023","2015","DD","Data Deficient","Alepocephalus bairdii"
"1024","2015","LC","Least Concern","Alepocephalus productus"
"1025","2015","LC","Least Concern","Bajacalifornia megalops"
"1026","2015","LC","Least Concern","Bathyprion danae"
"1027","2015","LC","Least Concern","Bathytroctes macrolepis"
"1028","2015","LC","Least Concern","Bathytroctes michaelsarsi"
"1029","2015","LC","Least Concern","Bathytroctes microlepis"
