"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"36",194995,194995,"Evermannella balbo",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"37",13462731,13462731,"Odontostomops normalops",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"38",194993,194993,"Chlorophthalmus agassizi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"39",20661580,20661580,"Parasudis truculenta",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"40",13462491,13462491,"Bathysaurus ferox",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"41",195001,195001,"Bathysaurus mollis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"42",18123632,18123632,"Anotopterus pharao",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"43",60469186,60469186,"Alepisaurus brevirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","deep oceanic",FALSE
"44",154820,154820,"Alepisaurus ferox",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/aulopiformes.dbf","200 m +",FALSE
"45",16441738,16441738,"Opsanus tau",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/batrachoidiformes.dbf","< 200 m",FALSE
"46",190211,190211,"Scomberesox saurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"47",15521852,15521852,"Euleptorhamphus velox",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"48",15521875,15521875,"Hemiramphus balao",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","unknown",FALSE
"49",15521927,15521927,"Hemiramphus brasiliensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","unknown",FALSE
"50",191197,191197,"Hyporhamphus meeki",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"51",15521934,15521934,"Oxyporhamphus similis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"52",190123,190123,"Cheilopogon cyanopterus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"53",198575,198575,"Cheilopogon exsiliens",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"54",190391,190391,"Cheilopogon furcatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
