"","species","rgn_id"
"212","Atlantic_herring",4
"213","Atlantic_herring",6
"214","Atlantic_herring",7
"215","Atlantic_herring",8
"216","Atlantic_herring",9
"217","Atlantic_herring",10
"218","Atlantic_herring",11
"219","Atlantic_mackerel",1
"220","Atlantic_mackerel",2
"221","Atlantic_mackerel",3
"222","Atlantic_mackerel",4
"223","Atlantic_mackerel",6
"224","Atlantic_mackerel",7
"225","Atlantic_mackerel",8
"226","Atlantic_mackerel",9
"227","Atlantic_mackerel",10
"228","Atlantic_mackerel",11
"229","Atlantic_menhaden",3
"230","Atlantic_menhaden",4
"231","Atlantic_menhaden",6
"232","Atlantic_menhaden",7
"233","Atlantic_menhaden",9
"234","Atlantic_menhaden",10
"235","Atlantic_menhaden",11
"236","atlantic_puffin_normalized_AEA",1
"237","atlantic_puffin_normalized_AEA",2
"238","atlantic_puffin_normalized_AEA",3
"239","atlantic_puffin_normalized_AEA",4
"240","atlantic_puffin_normalized_AEA",6
"241","atlantic_puffin_normalized_AEA",7
"242","atlantic_puffin_normalized_AEA",8
"243","atlantic_puffin_normalized_AEA",9
"244","atlantic_puffin_normalized_AEA",10
"245","atlantic_puffin_normalized_AEA",11
"246","Atlantic_sturgeon",4
"247","Atlantic_sturgeon",10
"248","Atlantic_torpedo",1
"249","Atlantic_torpedo",2
"250","Atlantic_torpedo",3
"251","Atlantic_torpedo",4
"252","Atlantic_torpedo",6
"253","Atlantic_torpedo",7
"254","Atlantic_torpedo",8
"255","Atlantic_torpedo",9
"256","Atlantic_torpedo",11
"257","Atlantic_wolffish",2
"258","Atlantic_wolffish",3
"259","Atlantic_wolffish",6
"260","Atlantic_wolffish",7
"261","Atlantic_wolffish",9
"262","audubons_shearwater_normalized_AEA",1
"263","audubons_shearwater_normalized_AEA",4
"264","band_rumped_storm_petrel_normalized_AEA",1
"265","band_rumped_storm_petrel_normalized_AEA",2
"266","band_rumped_storm_petrel_normalized_AEA",4
"267","Barndoor_skate",1
"268","Barndoor_skate",2
"269","Barndoor_skate",3
"270","Barndoor_skate",4
"271","Barndoor_skate",6
"272","Barndoor_skate",7
"273","Bay_anchovy",4
"274","Bay_anchovy",7
"275","Bay_anchovy",8
"276","Bay_anchovy",10
"277","Bay_anchovy",11
"278","black_capped_petrel_normalized_AEA",1
"279","black_guillemot_normalized_AEA",1
"280","black_guillemot_normalized_AEA",2
"281","black_guillemot_normalized_AEA",3
"282","black_guillemot_normalized_AEA",4
"283","black_guillemot_normalized_AEA",6
"284","black_guillemot_normalized_AEA",7
"285","black_guillemot_normalized_AEA",8
"286","black_guillemot_normalized_AEA",9
"287","black_guillemot_normalized_AEA",10
"288","black_guillemot_normalized_AEA",11
"289","black_legged_kittiwake_normalized_AEA",1
"290","black_legged_kittiwake_normalized_AEA",2
"291","black_legged_kittiwake_normalized_AEA",3
"292","black_legged_kittiwake_normalized_AEA",4
"293","black_legged_kittiwake_normalized_AEA",6
"294","black_legged_kittiwake_normalized_AEA",7
"295","black_legged_kittiwake_normalized_AEA",8
"296","black_legged_kittiwake_normalized_AEA",9
"297","black_legged_kittiwake_normalized_AEA",10
"298","black_legged_kittiwake_normalized_AEA",11
"299","black_scoter_normalized_AEA",1
"300","black_scoter_normalized_AEA",2
"301","black_scoter_normalized_AEA",3
"302","black_scoter_normalized_AEA",4
"303","black_scoter_normalized_AEA",6
"304","black_scoter_normalized_AEA",7
"305","black_scoter_normalized_AEA",8
"306","black_scoter_normalized_AEA",9
"307","black_scoter_normalized_AEA",10
"308","black_scoter_normalized_AEA",11
"309","Black_sea_bass",1
"310","Black_sea_bass",2
"311","Black_sea_bass",3
"312","Black_sea_bass",4
"313","Black_sea_bass",6
"314","Black_sea_bass",7
"315","Black_sea_bass",8
"316","Black_sea_bass",9
"317","Black_sea_bass",10
"318","Black_sea_bass",11
"319","Blackbelly_rosefish",1
"320","Blackbelly_rosefish",2
"321","Blackbelly_rosefish",3
"322","Blackbelly_rosefish",4
"323","Blainvilles beaked whale",1
"324","Blainvilles beaked whale",2
"325","Blainvilles beaked whale",4
"326","Blueback_herring",1
"327","Blueback_herring",2
"328","Blueback_herring",3
"329","Blueback_herring",4
"330","Blueback_herring",6
"331","Blueback_herring",7
"332","Blueback_herring",8
"333","Blueback_herring",9
"334","Blueback_herring",10
"335","Blueback_herring",11
"336","Bluefish",1
"337","Bluefish",2
"338","Bluefish",3
"339","Bluefish",4
"340","Bluefish",7
"341","Bluefish",8
"342","Bluefish",10
"343","Bluefish",11
"344","bonapartes_gull_normalized_AEA",1
"345","bonapartes_gull_normalized_AEA",2
"346","bonapartes_gull_normalized_AEA",3
"347","bonapartes_gull_normalized_AEA",4
"348","bonapartes_gull_normalized_AEA",6
"349","bonapartes_gull_normalized_AEA",7
"350","bonapartes_gull_normalized_AEA",8
"351","bonapartes_gull_normalized_AEA",9
"352","bonapartes_gull_normalized_AEA",10
"353","bonapartes_gull_normalized_AEA",11
"354","Bottlenose dolphin",1
"355","Bottlenose dolphin",2
"356","Bottlenose dolphin",3
"357","Bottlenose dolphin",4
"358","Bottlenose dolphin",6
"359","Bottlenose dolphin",7
"360","Bottlenose dolphin",8
"361","Bottlenose dolphin",9
"362","Bottlenose dolphin",10
"363","Bottlenose dolphin",11
"364","bridled_tern_normalized_AEA",1
"365","bridled_tern_normalized_AEA",2
"366","bridled_tern_normalized_AEA",3
"367","bridled_tern_normalized_AEA",4
"368","bridled_tern_normalized_AEA",7
"369","brown_pelican_normalized_AEA",1
"370","brown_pelican_normalized_AEA",2
"371","brown_pelican_normalized_AEA",3
"372","brown_pelican_normalized_AEA",4
"373","brown_pelican_normalized_AEA",6
"374","brown_pelican_normalized_AEA",7
"375","brown_pelican_normalized_AEA",8
"376","brown_pelican_normalized_AEA",10
"377","brown_pelican_normalized_AEA",11
"378","Bullnose_ray",4
"379","Butterfish",1
"380","Butterfish",2
"381","Butterfish",3
"382","Butterfish",4
"383","Butterfish",6
"384","Butterfish",7
"385","Butterfish",8
"386","Butterfish",9
"387","Butterfish",10
"388","Butterfish",11
"389","Clearnose_skate",4
"390","Clearnose_skate",10
"391","Clearnose_skate",11
"392","common_eider_normalized_AEA",1
"393","common_eider_normalized_AEA",2
"394","common_eider_normalized_AEA",3
"395","common_eider_normalized_AEA",4
"396","common_eider_normalized_AEA",6
"397","common_eider_normalized_AEA",7
