nmfs_original_species,stock_assessment_species_name,stock_assessment_species_location,stockid,source,stock,rgn_id,rgn_name
"HAKE, WHITE",white hake,Gulf of Maine / Georges Bank,HKWGMMA,NMFS,White Hake,9,New Hampshire
"HAKE, WHITE",white hake,Gulf of Maine / Georges Bank,HKWGMMA,NMFS,White Hake,10,New York
"HAKE, WHITE",white hake,Gulf of Maine / Georges Bank,HKWGMMA,NMFS,White Hake,11,Rhode Island
"HAKE, WHITE",white hake,Gulf of Maine / Georges Bank,HKWGMMA,NMFS,White Hake,12,Northeast
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,1,Offshore
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,2,Georges Bank
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,3,Gulf of Maine
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,6,Maine
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,7,Massachusetts-North
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,8,Massachusetts-South
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,9,New Hampshire
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Gulf of Maine / Georges Bank,FLGMGBSS,NMFS,Northern Windowpane,12,Northeast
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,1,Offshore
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,2,Georges Bank
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,4,Mid-Atlantic Bight
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,5,Connecticut
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,8,Massachusetts-South
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,10,New York
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,11,Rhode Island
"FLOUNDER, SAND-DAB / WINDOWPANE / BRILL",windowpane,Southern New England / Mid-Atlantic,FLDSNEMA,NMFS,Southern Windowpane,12,Northeast
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Gulf of Maine,FLWGMSS,NMFS,GOM Winter Flounder,3,Gulf of Maine
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Gulf of Maine,FLWGMSS,NMFS,GOM Winter Flounder,6,Maine
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Gulf of Maine,FLWGMSS,NMFS,GOM Winter Flounder,7,Massachusetts-North
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Gulf of Maine,FLWGMSS,NMFS,GOM Winter Flounder,9,New Hampshire
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Gulf of Maine,FLWGMSS,NMFS,GOM Winter Flounder,12,Northeast
