"","year","stock","indicator","value"
"76",2014,"Silver hake - Gulf of Maine / Northern Georges Bank","f_fmsy",0.0500000007450581
"77",2014,"Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status","f_fmsy",0.112999998033047
"78",2014,"Winter flounder - Georges Bank","f_fmsy",0.681999981403351
"79",2014,"Winter flounder - Gulf of Maine","f_fmsy",0.261000007390976
"80",2015,"Atlantic herring - Northwestern Atlantic Coast","f_fmsy",0.666999995708466
"81",2015,"Sea scallop - Northwestern Atlantic Coast","f_fmsy",0.896000027656555
"82",2015,"Acadian redfish - Gulf of Maine / Georges Bank","f_fmsy",0.389999985694885
"83",2015,"American plaice - Gulf of Maine / Georges Bank","f_fmsy",0.589999973773956
"84",2015,"Atlantic cod - Eastern Georges Bank | Asmt","f_fmsy",0.363999992609024
"85",2015,"Atlantic wolffish - Gulf of Maine / Georges Bank","f_fmsy",0.00999999977648258
"86",2015,"Haddock - Eastern Georges Bank | Asmt","f_fmsy",0.884999990463257
"87",2015,"Haddock - Georges Bank","f_fmsy",0.620000004768372
"88",2015,"Haddock - Gulf of Maine","f_fmsy",0.550000011920929
"89",2015,"Ocean pout - Northwestern Atlantic Coast","f_fmsy",0.354999989271164
"90",2015,"Pollock - Gulf of Maine / Georges Bank","f_fmsy",0.25
"91",2015,"Red hake - Gulf of Maine / Northern Georges Bank","f_fmsy",0.551999986171722
"92",2015,"Red hake - Southern Georges Bank / Mid-Atlantic","f_fmsy",0.629000008106232
"93",2015,"White hake - Gulf of Maine / Georges Bank","f_fmsy",0.400000005960464
"94",2015,"Windowpane - Gulf of Maine / Georges Bank","f_fmsy",0.870000004768372
"95",2015,"Windowpane - Southern New England / Mid-Atlantic","f_fmsy",0.649999976158142
"96",2015,"Winter flounder - Georges Bank","f_fmsy",1.45000004768372
"97",2015,"Winter flounder - Gulf of Maine","f_fmsy",0.391000002622604
"98",2015,"Winter flounder - Southern New England / Mid-Atlantic","f_fmsy",0.490000009536743
"99",2015,"Witch flounder - Northwestern Atlantic Coast","f_fmsy",2.46000003814697
"100",2015,"Yellowtail flounder - Cape Cod / Gulf of Maine","f_fmsy",2.28999996185303
"101",2015,"Yellowtail flounder - Georges Bank","f_fmsy",0.284000009298325
"102",2015,"Yellowtail flounder - Southern New England / Mid-Atlantic","f_fmsy",4.69999980926514
"103",2016,"Atlantic cod - Eastern Georges Bank | Asmt","f_fmsy",0.455000013113022
"104",2016,"Haddock - Eastern Georges Bank | Asmt","f_fmsy",0.884999990463257
"105",2016,"Yellowtail flounder - Georges Bank","f_fmsy",0.200000002980232
"106",2017,"Acadian redfish - Gulf of Maine / Georges Bank","f_fmsy",0.275000005960464
"107",2017,"American plaice - Gulf of Maine / Georges Bank","f_fmsy",0.504999995231628
"108",2017,"Atlantic cod - Eastern Georges Bank | Asmt","f_fmsy",0.455000013113022
"109",2017,"Atlantic wolffish - Gulf of Maine / Georges Bank","f_fmsy",0.00899999961256981
"110",2017,"Haddock - Eastern Georges Bank | Asmt","f_fmsy",0.384999990463257
"111",2017,"Haddock - Georges Bank","f_fmsy",0.883000016212463
"112",2017,"Haddock - Gulf of Maine","f_fmsy",0.298000007867813
"113",2017,"Ocean pout - Northwestern Atlantic Coast","f_fmsy",0.291000008583069
"114",2017,"Pollock - Gulf of Maine / Georges Bank","f_fmsy",0.137999996542931
"115",2017,"Red hake - Gulf of Maine / Northern Georges Bank","f_fmsy",0.551999986171722
"116",2017,"Red hake - Southern Georges Bank / Mid-Atlantic","f_fmsy",1.35899996757507
"117",2017,"Silver hake - Gulf of Maine / Northern Georges Bank","f_fmsy",0.0540000014007092
"118",2017,"Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status","f_fmsy",0.171000003814697
"119",2017,"White hake - Gulf of Maine / Georges Bank","f_fmsy",0.358999997377396
"120",2017,"Windowpane - Gulf of Maine / Georges Bank","f_fmsy",0.652999997138977
"121",2017,"Windowpane - Southern New England / Mid-Atlantic","f_fmsy",0.902999997138977
"122",2017,"Winter flounder - Georges Bank","f_fmsy",0.224999994039536
"123",2017,"Winter flounder - Gulf of Maine","f_fmsy",0.374000012874603
"124",2017,"Winter flounder - Southern New England / Mid-Atlantic","f_fmsy",0.617999970912933
"125",2017,"Yellowtail flounder - Cape Cod / Gulf of Maine","f_fmsy",1.14999997615814
"126",2017,"Yellowtail flounder - Southern New England / Mid-Atlantic","f_fmsy",3.20600008964539
"127",2018,"Atlantic herring - Northwestern Atlantic Coast","f_fmsy",0.882000029087067
"128",2018,"Sea scallop - Northwestern Atlantic Coast","f_fmsy",0.187999993562698
"129",2007,"Goosefish - Gulf of Maine / Northern Georges Bank","f_fmsy",0.28999999165535
"130",2007,"Goosefish - Southern Georges Bank / Mid-Atlantic","f_fmsy",0.300000011920929
"131",2008,"Spiny dogfish - Atlantic Coast","f_fmsy",0.386999994516373
"132",2010,"Goosefish - Gulf of Maine / Northern Georges Bank","f_fmsy",0.232999995350838
"133",2010,"Goosefish - Southern Georges Bank / Mid-Atlantic","f_fmsy",0.151999995112419
"134",2010,"Spiny dogfish - Atlantic Coast","f_fmsy",0.337999999523163
"135",2011,"Spiny dogfish - Atlantic Coast","f_fmsy",0.381000012159348
"136",2013,"Goosefish - Gulf of Maine / Northern Georges Bank","f_fmsy",0.181999996304512
"137",2013,"Goosefish - Southern Georges Bank / Mid-Atlantic","f_fmsy",0.296999990940094
"138",2013,"Spiny dogfish - Atlantic Coast","f_fmsy",0.611000001430511
"139",2015,"Spiny dogfish - Atlantic Coast","f_fmsy",0.876999974250793
"140",2016,"Goosefish - Gulf of Maine / Northern Georges Bank","f_fmsy",0.181999996304512
"141",2016,"Goosefish - Southern Georges Bank / Mid-Atlantic","f_fmsy",0.296999990940094
"142",2016,"Spiny dogfish - Atlantic Coast","f_fmsy",0.876999974250793
"143",2018,"Spiny dogfish - Atlantic Coast","f_fmsy",0.828000009059906
"144",2004,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.11500000953674
"145",2005,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.45000004768372
"146",2006,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.91999995708466
"147",2007,"Bluefish - Atlantic Coast","f_fmsy",0.790000021457672
"148",2007,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.26999998092651
"149",2008,"Bluefish - Atlantic Coast","f_fmsy",0.788999974727631
"150",2008,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.929000020027161
"151",2009,"Atlantic surfclam - Mid-Atlantic Coast","f_fmsy",0.180000007152557
"152",2009,"Bluefish - Atlantic Coast","f_fmsy",0.632000029087067
"153",2009,"Black sea bass - Mid-Atlantic Coast","f_fmsy",0.666999995708466
"154",2009,"Scup - Atlantic Coast","f_fmsy",0.270999997854233
"155",2009,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.805999994277954
"156",2009,"Tilefish - Mid-Atlantic Coast","f_fmsy",0.375
"157",2010,"Bluefish - Atlantic Coast","f_fmsy",0.526000022888184
"158",2010,"Black sea bass - Mid-Atlantic Coast","f_fmsy",0.689999997615814
"159",2010,"Scup - Atlantic Coast","f_fmsy",0.243000000715256
"160",2010,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.764999985694885
"161",2011,"Bluefish - Atlantic Coast","f_fmsy",0.736999988555908
