year,stock,indicator,value
1961,Sailfish Western Atlantic,F/Fmsy,0.219263109
1962,Sailfish Western Atlantic,F/Fmsy,0.243625677
1963,Sailfish Western Atlantic,F/Fmsy,0.219263109
1964,Sailfish Western Atlantic,F/Fmsy,0.341075947
1965,Sailfish Western Atlantic,F/Fmsy,0.657789327
1966,Sailfish Western Atlantic,F/Fmsy,0.511613921
1967,Sailfish Western Atlantic,F/Fmsy,0.487251353
1968,Sailfish Western Atlantic,F/Fmsy,0.633426759
1969,Sailfish Western Atlantic,F/Fmsy,0.560339056
1970,Sailfish Western Atlantic,F/Fmsy,0.925777571
1971,Sailfish Western Atlantic,F/Fmsy,0.950140139
1972,Sailfish Western Atlantic,F/Fmsy,0.682151895
1973,Sailfish Western Atlantic,F/Fmsy,0.511613921
1974,Sailfish Western Atlantic,F/Fmsy,0.584701624
1975,Sailfish Western Atlantic,F/Fmsy,0.560339056
1976,Sailfish Western Atlantic,F/Fmsy,0.682151895
1977,Sailfish Western Atlantic,F/Fmsy,0.682151895
1978,Sailfish Western Atlantic,F/Fmsy,0.609064192
1979,Sailfish Western Atlantic,F/Fmsy,0.657789327
1980,Sailfish Western Atlantic,F/Fmsy,0.657789327
1981,Sailfish Western Atlantic,F/Fmsy,0.779602165
1982,Sailfish Western Atlantic,F/Fmsy,0.828327301
1983,Sailfish Western Atlantic,F/Fmsy,0.974502707
1984,Sailfish Western Atlantic,F/Fmsy,0.950140139
1985,Sailfish Western Atlantic,F/Fmsy,0.852689868
1986,Sailfish Western Atlantic,F/Fmsy,1.04759041
1987,Sailfish Western Atlantic,F/Fmsy,0.998865274
1988,Sailfish Western Atlantic,F/Fmsy,1.023227842
1989,Sailfish Western Atlantic,F/Fmsy,0.901415004
1990,Sailfish Western Atlantic,F/Fmsy,1.096315545
1991,Sailfish Western Atlantic,F/Fmsy,1.071952977
1992,Sailfish Western Atlantic,F/Fmsy,1.291216087
1993,Sailfish Western Atlantic,F/Fmsy,1.36430379
1994,Sailfish Western Atlantic,F/Fmsy,1.218128384
1995,Sailfish Western Atlantic,F/Fmsy,1.291216087
1996,Sailfish Western Atlantic,F/Fmsy,1.266853519
1997,Sailfish Western Atlantic,F/Fmsy,1.315578654
1998,Sailfish Western Atlantic,F/Fmsy,1.559204331
1999,Sailfish Western Atlantic,F/Fmsy,1.632292034
2000,Sailfish Western Atlantic,F/Fmsy,1.900280278
2001,Sailfish Western Atlantic,F/Fmsy,1.924642846
2002,Sailfish Western Atlantic,F/Fmsy,2.777332714
2003,Sailfish Western Atlantic,F/Fmsy,2.168268523
2004,Sailfish Western Atlantic,F/Fmsy,2.241356226
2005,Sailfish Western Atlantic,F/Fmsy,2.484981902
2006,Sailfish Western Atlantic,F/Fmsy,1.973367981
2007,Sailfish Western Atlantic,F/Fmsy,2.265718793
2008,Sailfish Western Atlantic,F/Fmsy,NA
2009,Scup - Atlantic Coast,F/Fmsy,0.270999997854233
2010,Scup - Atlantic Coast,F/Fmsy,0.243000000715256
2011,Scup - Atlantic Coast,F/Fmsy,0.225999996066093
2012,Scup - Atlantic Coast,F/Fmsy,0.19200000166893
2015,Scup - Atlantic Coast,F/Fmsy,0.57700002193450906
2017,Scup - Atlantic Coast,F/Fmsy,0.632000029087067
2005,Scup - Atlantic Coast,B/Bmsy,0.25
2009,Scup - Atlantic Coast,B/Bmsy,2.04299998283386
2010,Scup - Atlantic Coast,B/Bmsy,1.67900002002716
2011,Scup - Atlantic Coast,B/Bmsy,2.0239999294281
2012,Scup - Atlantic Coast,B/Bmsy,2.06900000572205
2015,Scup - Atlantic Coast,B/Bmsy,2.09500002861023
2017,Scup - Atlantic Coast,B/Bmsy,2.06100010871887
2010,Sea scallop - Northwestern Atlantic Coast,F/Fmsy,0.995000004768372
2014,Sea scallop - Northwestern Atlantic Coast,F/Fmsy,0.666999995708466
2015,Sea scallop - Northwestern Atlantic Coast,F/Fmsy,0.896000027656555
2018,Sea scallop - Northwestern Atlantic Coast,F/Fmsy,0.187999993562698
2004,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,1.35199999809265
2007,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,1.52999997138977
2010,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,1.0349999666214
2014,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,1.37399995326996
2015,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,2.03900003433228
2018,Sea scallop - Northwestern Atlantic Coast,B/Bmsy,2.71799993515015
2011,Silver hake - Gulf of Maine / Northern Georges Bank,F/Fmsy,0.0729999989271164
2014,Silver hake - Gulf of Maine / Northern Georges Bank,F/Fmsy,0.0500000007450581
2017,Silver hake - Gulf of Maine / Northern Georges Bank,F/Fmsy,0.0540000014007092
2005,Silver hake - Gulf of Maine / Northern Georges Bank,B/Bmsy,1.01400005817413
2011,Silver hake - Gulf of Maine / Northern Georges Bank,B/Bmsy,0.966000020503998
2014,Silver hake - Gulf of Maine / Northern Georges Bank,B/Bmsy,2.44899988174438
2017,Silver hake - Gulf of Maine / Northern Georges Bank,B/Bmsy,3.1029999256134
2011,Silver hake - Southern Georges Bank / Mid-Atlantic,F/Fmsy,0.172000005841255
2014,Silver hake - Southern Georges Bank / Mid-Atlantic,F/Fmsy,0.112999998033047
2017,Silver hake - Southern Georges Bank / Mid-Atlantic,F/Fmsy,0.171000003814697
2005,Silver hake - Southern Georges Bank / Mid-Atlantic,B/Bmsy,0.769999980926514
2011,Silver hake - Southern Georges Bank / Mid-Atlantic,B/Bmsy,0.672999978065491
2014,Silver hake - Southern Georges Bank / Mid-Atlantic,B/Bmsy,1.02999997138977
2017,Silver hake - Southern Georges Bank / Mid-Atlantic,B/Bmsy,0.635999977588654
1950,Skipjack tuna Western Atlantic,B/Bmsy,2
1951,Skipjack tuna Western Atlantic,B/Bmsy,2
1952,Skipjack tuna Western Atlantic,B/Bmsy,2
1953,Skipjack tuna Western Atlantic,B/Bmsy,1.98
1954,Skipjack tuna Western Atlantic,B/Bmsy,1.98
1955,Skipjack tuna Western Atlantic,B/Bmsy,1.98
1956,Skipjack tuna Western Atlantic,B/Bmsy,1.98
1957,Skipjack tuna Western Atlantic,B/Bmsy,1.98
1958,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1959,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1960,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1961,Skipjack tuna Western Atlantic,B/Bmsy,1.95
1962,Skipjack tuna Western Atlantic,B/Bmsy,1.95
1963,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1964,Skipjack tuna Western Atlantic,B/Bmsy,1.94
1965,Skipjack tuna Western Atlantic,B/Bmsy,1.92
1966,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1967,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1968,Skipjack tuna Western Atlantic,B/Bmsy,1.96
1969,Skipjack tuna Western Atlantic,B/Bmsy,1.96
1970,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1971,Skipjack tuna Western Atlantic,B/Bmsy,1.96
1972,Skipjack tuna Western Atlantic,B/Bmsy,1.97
1973,Skipjack tuna Western Atlantic,B/Bmsy,1.95
1974,Skipjack tuna Western Atlantic,B/Bmsy,1.95
1975,Skipjack tuna Western Atlantic,B/Bmsy,1.94
1976,Skipjack tuna Western Atlantic,B/Bmsy,1.94
1977,Skipjack tuna Western Atlantic,B/Bmsy,1.94
1978,Skipjack tuna Western Atlantic,B/Bmsy,1.95
1979,Skipjack tuna Western Atlantic,B/Bmsy,1.89
1980,Skipjack tuna Western Atlantic,B/Bmsy,1.89
1981,Skipjack tuna Western Atlantic,B/Bmsy,1.8
1982,Skipjack tuna Western Atlantic,B/Bmsy,1.6
1983,Skipjack tuna Western Atlantic,B/Bmsy,1.35
1984,Skipjack tuna Western Atlantic,B/Bmsy,1.25
1985,Skipjack tuna Western Atlantic,B/Bmsy,1.09
1986,Skipjack tuna Western Atlantic,B/Bmsy,0.768
1987,Skipjack tuna Western Atlantic,B/Bmsy,0.652
1988,Skipjack tuna Western Atlantic,B/Bmsy,0.838
1989,Skipjack tuna Western Atlantic,B/Bmsy,1.1
1990,Skipjack tuna Western Atlantic,B/Bmsy,1.24
1991,Skipjack tuna Western Atlantic,B/Bmsy,1.33
1992,Skipjack tuna Western Atlantic,B/Bmsy,1.2
1993,Skipjack tuna Western Atlantic,B/Bmsy,1.21
1994,Skipjack tuna Western Atlantic,B/Bmsy,1.13
1995,Skipjack tuna Western Atlantic,B/Bmsy,1.16
1996,Skipjack tuna Western Atlantic,B/Bmsy,1.39
1997,Skipjack tuna Western Atlantic,B/Bmsy,1.37
1998,Skipjack tuna Western Atlantic,B/Bmsy,1.27
1999,Skipjack tuna Western Atlantic,B/Bmsy,1.27
2000,Skipjack tuna Western Atlantic,B/Bmsy,1.32
2001,Skipjack tuna Western Atlantic,B/Bmsy,1.3
2002,Skipjack tuna Western Atlantic,B/Bmsy,1.23
2003,Skipjack tuna Western Atlantic,B/Bmsy,1.44
2004,Skipjack tuna Western Atlantic,B/Bmsy,1.45
2005,Skipjack tuna Western Atlantic,B/Bmsy,1.4
2006,Skipjack tuna Western Atlantic,B/Bmsy,1.36
2007,Skipjack tuna Western Atlantic,B/Bmsy,1.38
2008,Skipjack tuna Western Atlantic,B/Bmsy,1.42
2009,Skipjack tuna Western Atlantic,B/Bmsy,1.51
2010,Skipjack tuna Western Atlantic,B/Bmsy,1.46
2011,Skipjack tuna Western Atlantic,B/Bmsy,1.5
2012,Skipjack tuna Western Atlantic,B/Bmsy,1.31
2013,Skipjack tuna Western Atlantic,B/Bmsy,1.2
2014,Skipjack tuna Western Atlantic,B/Bmsy,1.29
1950,Skipjack tuna Western Atlantic,F/Fmsy,0
1951,Skipjack tuna Western Atlantic,F/Fmsy,0
1952,Skipjack tuna Western Atlantic,F/Fmsy,0.019456388
1953,Skipjack tuna Western Atlantic,F/Fmsy,0.020422447
1954,Skipjack tuna Western Atlantic,F/Fmsy,0.021896284
1955,Skipjack tuna Western Atlantic,F/Fmsy,0.022375764
1956,Skipjack tuna Western Atlantic,F/Fmsy,0.023974033
1957,Skipjack tuna Western Atlantic,F/Fmsy,0.031380455
1958,Skipjack tuna Western Atlantic,F/Fmsy,0.026509266
1959,Skipjack tuna Western Atlantic,F/Fmsy,0.029350054
1960,Skipjack tuna Western Atlantic,F/Fmsy,0.052284795
1961,Skipjack tuna Western Atlantic,F/Fmsy,0.053484425
1962,Skipjack tuna Western Atlantic,F/Fmsy,0.03263423
1963,Skipjack tuna Western Atlantic,F/Fmsy,0.063733272
1964,Skipjack tuna Western Atlantic,F/Fmsy,0.082281197
1965,Skipjack tuna Western Atlantic,F/Fmsy,0.02552521
1966,Skipjack tuna Western Atlantic,F/Fmsy,0.028758537
1967,Skipjack tuna Western Atlantic,F/Fmsy,0.044746803
1968,Skipjack tuna Western Atlantic,F/Fmsy,0.042637671
1969,Skipjack tuna Western Atlantic,F/Fmsy,0.030040177
1970,Skipjack tuna Western Atlantic,F/Fmsy,0.03984423
1971,Skipjack tuna Western Atlantic,F/Fmsy,0.032083571
1972,Skipjack tuna Western Atlantic,F/Fmsy,0.047556017
1973,Skipjack tuna Western Atlantic,F/Fmsy,0.046919005
1974,Skipjack tuna Western Atlantic,F/Fmsy,0.056626386
1975,Skipjack tuna Western Atlantic,F/Fmsy,0.05790187
1976,Skipjack tuna Western Atlantic,F/Fmsy,0.061425765
1977,Skipjack tuna Western Atlantic,F/Fmsy,0.054842404
1978,Skipjack tuna Western Atlantic,F/Fmsy,0.117104906
1979,Skipjack tuna Western Atlantic,F/Fmsy,0.109961188
1980,Skipjack tuna Western Atlantic,F/Fmsy,0.207537098
1981,Skipjack tuna Western Atlantic,F/Fmsy,0.405768501
1982,Skipjack tuna Western Atlantic,F/Fmsy,0.641788801
1983,Skipjack tuna Western Atlantic,F/Fmsy,0.747099657
1984,Skipjack tuna Western Atlantic,F/Fmsy,0.901932982
1985,Skipjack tuna Western Atlantic,F/Fmsy,1.172388198
1986,Skipjack tuna Western Atlantic,F/Fmsy,1.325664137
1987,Skipjack tuna Western Atlantic,F/Fmsy,1.174593029
1988,Skipjack tuna Western Atlantic,F/Fmsy,0.895744548
1989,Skipjack tuna Western Atlantic,F/Fmsy,0.758445796
1990,Skipjack tuna Western Atlantic,F/Fmsy,0.664901926
1991,Skipjack tuna Western Atlantic,F/Fmsy,0.791812803
1992,Skipjack tuna Western Atlantic,F/Fmsy,0.793460809
1993,Skipjack tuna Western Atlantic,F/Fmsy,0.869803347
1994,Skipjack tuna Western Atlantic,F/Fmsy,0.840665062
1995,Skipjack tuna Western Atlantic,F/Fmsy,0.597520856
1996,Skipjack tuna Western Atlantic,F/Fmsy,0.62691506
1997,Skipjack tuna Western Atlantic,F/Fmsy,0.729021848
1998,Skipjack tuna Western Atlantic,F/Fmsy,0.725298733
1999,Skipjack tuna Western Atlantic,F/Fmsy,0.679255677
2000,Skipjack tuna Western Atlantic,F/Fmsy,0.699435669
2001,Skipjack tuna Western Atlantic,F/Fmsy,0.766473242
2002,Skipjack tuna Western Atlantic,F/Fmsy,0.553320683
2003,Skipjack tuna Western Atlantic,F/Fmsy,0.543636471
2004,Skipjack tuna Western Atlantic,F/Fmsy,0.598125738
2005,Skipjack tuna Western Atlantic,F/Fmsy,0.642609595
2006,Skipjack tuna Western Atlantic,F/Fmsy,0.61712955
2007,Skipjack tuna Western Atlantic,F/Fmsy,0.581238435
2008,Skipjack tuna Western Atlantic,F/Fmsy,0.491245159
2009,Skipjack tuna Western Atlantic,F/Fmsy,0.541976979
2010,Skipjack tuna Western Atlantic,F/Fmsy,0.497902023
2011,Skipjack tuna Western Atlantic,F/Fmsy,0.683737229
2012,Skipjack tuna Western Atlantic,F/Fmsy,0.789770166
2013,Skipjack tuna Western Atlantic,F/Fmsy,0.488687783
2014,Skipjack tuna Western Atlantic,F/Fmsy,NA
2006,Smooth skate - Gulf of Maine,B/Bmsy,0.563000023365021
2008,Smooth skate - Gulf of Maine,B/Bmsy,0.448000013828278
2009,Smooth skate - Gulf of Maine,B/Bmsy,0.448000013828278
2011,Smooth skate - Gulf of Maine,B/Bmsy,0.555000007152557
2012,Smooth skate - Gulf of Maine,B/Bmsy,0.851999998092651
2013,Smooth skate - Gulf of Maine,B/Bmsy,0.851999998092651
2014,Smooth skate - Gulf of Maine,B/Bmsy,0.814999997615814
2015,Smooth skate - Gulf of Maine,B/Bmsy,0.703999996185303
2016,Smooth skate - Gulf of Maine,B/Bmsy,0.769999980926514
2017,Smooth skate - Gulf of Maine,B/Bmsy,0.925999999046326
2018,Smooth skate - Gulf of Maine,B/Bmsy,1.05599999427795
2008,Spiny dogfish - Atlantic Coast,F/Fmsy,0.386999994516373
2010,Spiny dogfish - Atlantic Coast,F/Fmsy,0.337999999523163
2011,Spiny dogfish - Atlantic Coast,F/Fmsy,0.381000012159348
2013,Spiny dogfish - Atlantic Coast,F/Fmsy,0.611000001430511
2015,Spiny dogfish - Atlantic Coast,F/Fmsy,0.876999974250793
2016,Spiny dogfish - Atlantic Coast,F/Fmsy,0.876999974250793
2018,Spiny dogfish - Atlantic Coast,F/Fmsy,0.828000009059906
2008,Spiny dogfish - Atlantic Coast,B/Bmsy,1.1599999666214
2010,Spiny dogfish - Atlantic Coast,B/Bmsy,1.02499997615814
2011,Spiny dogfish - Atlantic Coast,B/Bmsy,1.06400001049042
2013,Spiny dogfish - Atlantic Coast,B/Bmsy,1.35399997234344
2015,Spiny dogfish - Atlantic Coast,B/Bmsy,0.873000025749207
2016,Spiny dogfish - Atlantic Coast,B/Bmsy,0.873000025749207
2018,Spiny dogfish - Atlantic Coast,B/Bmsy,0.670000016689301
1982,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.068527217
1983,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.056369163
1984,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.063415308
1985,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.076540481
1986,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.080132633
1987,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.097264438
1988,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.142304504
1989,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.236253109
1990,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.298424979
1991,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.363360044
1992,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.454545455
1993,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.552638851
1994,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.639679469
1995,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.801326333
1996,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.917380492
1997,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.94224924
1998,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.827576679
1999,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.838629456
2000,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.985078751
2001,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.986460348
2002,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,1.092843327
2003,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,1.124620061
2004,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,1.0956065210000001
2005,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,1.10113291
2006,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,1.025145068
2007,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.993368334
2008,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.965736391
2009,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.938104449
2010,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.910472506
2011,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.906327715
2012,Striped bass Gulf of Maine / Cape Hatteras,B/Bmsy,0.849682233
1982,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,5.411428571
1983,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.914285714
1984,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.057142857
1985,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.645714286
1986,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.405142857
1987,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.189142857
1988,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.277142857
1989,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.276571429
1990,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.487428571
1991,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.409714286
1992,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.321714286
1993,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.426857143
1994,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.5
1995,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.691428571
1996,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.64
1997,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.022857143
1998,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.925714286
1999,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.794285714
2000,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.011428571
2001,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.948571429
2002,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,0.908571429
2003,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.057142857
2004,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.245714286
2005,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.308571429
2006,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.502857143
2007,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.32
2008,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.348571429
2009,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.114285714
2010,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.085714286
2011,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.302857143
2012,Striped bass Gulf of Maine / Cape Hatteras,F/Fmsy,1.074285714
2004,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.11500000953674
2005,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.45000004768372
2006,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.91999995708466
2007,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.26999998092651
2008,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.929000020027161
2009,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.805999994277954
2010,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.764999985694885
2011,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.697000026702881
2012,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.77700001001358
2013,Summer flounder - Mid-Atlantic Coast,F/Fmsy,0.921999990940094
2015,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.16199994087219
2016,Summer flounder - Mid-Atlantic Coast,F/Fmsy,1.26199996471405
2004,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.63400000333786
2005,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.592999994754791
2006,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.519999980926514
2007,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.469999998807907
2008,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.722000002861023
2009,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.765999972820282
2010,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.889999985694885
2011,Summer flounder - Mid-Atlantic Coast,B/Bmsy,1.00300002098083
2012,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.949000000953674
2013,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.820999979972839
2015,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.646000027656555
2016,Summer flounder - Mid-Atlantic Coast,B/Bmsy,0.580999970436096
1950,Swordfish North Atlantic,B/Bmsy,1.7
1951,Swordfish North Atlantic,B/Bmsy,1.74
1952,Swordfish North Atlantic,B/Bmsy,1.79
1953,Swordfish North Atlantic,B/Bmsy,1.82
1954,Swordfish North Atlantic,B/Bmsy,1.83
1955,Swordfish North Atlantic,B/Bmsy,1.85
1956,Swordfish North Atlantic,B/Bmsy,1.85
1957,Swordfish North Atlantic,B/Bmsy,1.86
1958,Swordfish North Atlantic,B/Bmsy,1.85
1959,Swordfish North Atlantic,B/Bmsy,1.83
1960,Swordfish North Atlantic,B/Bmsy,1.81
1961,Swordfish North Atlantic,B/Bmsy,1.82
1962,Swordfish North Atlantic,B/Bmsy,1.82
1963,Swordfish North Atlantic,B/Bmsy,1.81
1964,Swordfish North Atlantic,B/Bmsy,1.74
1965,Swordfish North Atlantic,B/Bmsy,1.67
1966,Swordfish North Atlantic,B/Bmsy,1.66
1967,Swordfish North Atlantic,B/Bmsy,1.64
1968,Swordfish North Atlantic,B/Bmsy,1.62
1969,Swordfish North Atlantic,B/Bmsy,1.61
1970,Swordfish North Atlantic,B/Bmsy,1.6
1971,Swordfish North Atlantic,B/Bmsy,1.59
1972,Swordfish North Atlantic,B/Bmsy,1.64
1973,Swordfish North Atlantic,B/Bmsy,1.69
1974,Swordfish North Atlantic,B/Bmsy,1.7
1975,Swordfish North Atlantic,B/Bmsy,1.71
1976,Swordfish North Atlantic,B/Bmsy,1.68
1977,Swordfish North Atlantic,B/Bmsy,1.69
1978,Swordfish North Atlantic,B/Bmsy,1.7
1979,Swordfish North Atlantic,B/Bmsy,1.64
1980,Swordfish North Atlantic,B/Bmsy,1.58
1981,Swordfish North Atlantic,B/Bmsy,1.52
1982,Swordfish North Atlantic,B/Bmsy,1.51
1983,Swordfish North Atlantic,B/Bmsy,1.46
1984,Swordfish North Atlantic,B/Bmsy,1.41
1985,Swordfish North Atlantic,B/Bmsy,1.39
1986,Swordfish North Atlantic,B/Bmsy,1.35
1987,Swordfish North Atlantic,B/Bmsy,1.26
1988,Swordfish North Atlantic,B/Bmsy,1.15
1989,Swordfish North Atlantic,B/Bmsy,1.06
1990,Swordfish North Atlantic,B/Bmsy,1
1991,Swordfish North Atlantic,B/Bmsy,0.969
1992,Swordfish North Atlantic,B/Bmsy,0.949
1993,Swordfish North Atlantic,B/Bmsy,0.921
1994,Swordfish North Atlantic,B/Bmsy,0.872
1995,Swordfish North Atlantic,B/Bmsy,0.839
1996,Swordfish North Atlantic,B/Bmsy,0.782
1997,Swordfish North Atlantic,B/Bmsy,0.746
1998,Swordfish North Atlantic,B/Bmsy,0.743
1999,Swordfish North Atlantic,B/Bmsy,0.751
2000,Swordfish North Atlantic,B/Bmsy,0.771
2001,Swordfish North Atlantic,B/Bmsy,0.795
2002,Swordfish North Atlantic,B/Bmsy,0.844
2003,Swordfish North Atlantic,B/Bmsy,0.902
2004,Swordfish North Atlantic,B/Bmsy,0.935
2005,Swordfish North Atlantic,B/Bmsy,0.957
2006,Swordfish North Atlantic,B/Bmsy,0.975
2007,Swordfish North Atlantic,B/Bmsy,1.01
2008,Swordfish North Atlantic,B/Bmsy,1.03
2009,Swordfish North Atlantic,B/Bmsy,1.07
2010,Swordfish North Atlantic,B/Bmsy,1.09
2011,Swordfish North Atlantic,B/Bmsy,1.12
2012,Swordfish North Atlantic,B/Bmsy,1.14
1950,Swordfish North Atlantic,F/Fmsy,0.156157691
1951,Swordfish North Atlantic,F/Fmsy,0.107475221
1952,Swordfish North Atlantic,F/Fmsy,0.121360908
1953,Swordfish North Atlantic,F/Fmsy,0.132808363
1954,Swordfish North Atlantic,F/Fmsy,0.1209175
1955,Swordfish North Atlantic,F/Fmsy,0.138509732
1956,Swordfish North Atlantic,F/Fmsy,0.131870423
1957,Swordfish North Atlantic,F/Fmsy,0.179751945
1958,Swordfish North Atlantic,F/Fmsy,0.193913625
1959,Swordfish North Atlantic,F/Fmsy,0.24861915
1960,Swordfish North Atlantic,F/Fmsy,0.154138191
1961,Swordfish North Atlantic,F/Fmsy,0.176272918
1962,Swordfish North Atlantic,F/Fmsy,0.214908079
1963,Swordfish North Atlantic,F/Fmsy,0.410498577
1964,Swordfish North Atlantic,F/Fmsy,0.474890511
1965,Swordfish North Atlantic,F/Fmsy,0.376862653
1966,Swordfish North Atlantic,F/Fmsy,0.411132063
1967,Swordfish North Atlantic,F/Fmsy,0.408137033
1968,Swordfish North Atlantic,F/Fmsy,0.410825093
1969,Swordfish North Atlantic,F/Fmsy,0.416094543
1970,Swordfish North Atlantic,F/Fmsy,0.433794217
1971,Swordfish North Atlantic,F/Fmsy,0.240641634
1972,Swordfish North Atlantic,F/Fmsy,0.211703527
1973,Swordfish North Atlantic,F/Fmsy,0.262053218
1974,Swordfish North Atlantic,F/Fmsy,0.272099428
1975,Swordfish North Atlantic,F/Fmsy,0.378201092
1976,Swordfish North Atlantic,F/Fmsy,0.291905176
1977,Swordfish North Atlantic,F/Fmsy,0.276731652
1978,Swordfish North Atlantic,F/Fmsy,0.504838561
1979,Swordfish North Atlantic,F/Fmsy,0.5331318
1980,Swordfish North Atlantic,F/Fmsy,0.627039898
1981,Swordfish North Atlantic,F/Fmsy,0.537249871
